nameOfIssuer,sprice,sshPrnamt
ALLIANCE DATA SYSTEMS CORP,276.57033208,306432
ALLIANCE HEALTHCARE SRVCS IN,9.15264245645,16935
ALLIANCE HOLDINGS GP LP,20.1800028125,469326
ALLIANCE RES PARTNER L P,13.4904525194,1534122
ALLIANCEBERNSTEIN HOLDING LP,23.8505598051,1040898
ALLIANCEBERNSTEIN INCOME FUN,7.66952853704,563268
ALLIANT ENERGY CORP,62.4508486109,537879
ALLIED HEALTHCARE PRODS INC,1.12243135901,23164
ALLIED WRLD ASSUR COM HLDG A,37.1903844623,917307
ALLISON TRANSMISSION HLDGS I,25.8895236747,2033757
ALLSCRIPTS HEALTHCARE SOLUTN,15.3799598384,4682587
ALLSTATE CORP,62.0895554388,1865660
ALLY FINL INC,18.6401736006,7446980
ALNYLAM PHARMACEUTICALS INC,94.1381459295,393135
ALON USA ENERGY INC,14.8401485535,1841491
ALPHA & OMEGA SEMICONDUCTOR,9.19876652903,38266
ALPHA PRO TECH LTD,1.76144942124,27818
ALPHABET INC,772.45110191,4357481
ALPHATEC HOLDINGS INC,0.29667721519,70784
ALPINE GLOBAL PREMIER PPTYS,5.75276197947,15297
ALPINE TOTAL DYNAMIC DIVID F,7.6610828426,17491
ALPS ETF TR,12.2668592882,16452296
ALTISOURCE ASSET MGMT CORP,17.1650145205,61637
ALTISOURCE PORTFOLIO SOLNS S,27.813364889,102253
ALTISOURCE RESIDENTIAL CORP,12.409720833,144967
ALTRA INDL MOTION CORP,25.0761884194,41673
ALTRIA GROUP INC,58.2100857391,6784649
ALUMINUM CORP CHINA LTD,8.25609076635,19743
AMAG PHARMACEUTICALS INC,30.1948974374,175990
AMARIN CORP PLC,1.89052834115,446965
AMAYA INC,12.5931276887,92749
AMAZON COM INC,675.890532537,2999357
AMBAC FINL GROUP INC,14.0893574284,763697
AMBARELLA INC,55.7403136119,223716
AMBEV SA,4.45997169636,13006809
AMC NETWORKS INC,74.6803938299,564914
AMDOCS LTD,54.5700724858,1293218
AMEC FOSTER WHEELER PLC,6.44306752874,44544
AMEDICA CORP,0.113459083818,70510
AMEDISYS INC,39.3268246398,40049
AMERCO,389.492981793,71457
AMEREN CORP,43.2298794326,4117615
AMERESCO INC,6.22200099552,16072
AMERICA MOVIL SAB DE CV,14.0601663321,2987518
AMERICAN AIRLS GROUP INC,42.3498696724,1892922
AMERICAN ASSETS TR INC,38.3711824589,22986
AMERICAN AXLE & MFG HLDGS IN,18.940345212,1150771
AMERICAN CAMPUS CMNTYS INC,41.3414024956,574533
AMERICAN CAP LTD,13.7899563259,2480646
AMERICAN CAP MTG INVT CORP,13.9605551042,1410474
AMERICAN CAPITAL AGENCY CORP,17.3398872336,3859483
AMERICAN DG ENERGY INC,0.317965023847,28305
AMERICAN EAGLE OUTFITTERS NE,15.4996088349,1625912
AMERICAN ELEC PWR INC,58.2702162312,1812504
AMERICAN EQTY INVT LIFE HLD,24.0300644697,3114640
AMERICAN EXPRESS CO,69.5501748729,2972444
AMERICAN FINL GROUP INC OHIO,72.0805397607,471320
AMERICAN HOMES 4 RENT,16.6586958504,537377
AMERICAN INTL GROUP INC,61.8572744239,11688795
AMERICAN NATL INS CO,102.250560457,34347
AMERICAN RAILCAR INDS INC,46.292651912,33029
AMERICAN RESIDENTIAL PPTYS I,18.9349112426,10985
AMERICAN SOFTWARE INC,10.2138804016,11455
AMERICAN STS WTR CO,41.956434973,82681
AMERICAN SUPERCONDUCTOR CORP,6.38286063163,18017
AMERICAN TOWER CORP NEW,96.9732980163,9500605
AMERICAN VANGUARD CORP,14.0226628895,14120
AMERICAN WOODMARK CORP,79.9929984246,17139
AMERICAN WTR WKS CO INC NEW,59.7499975251,707113
AMERIGAS PARTNERS L P,34.2694016741,1006408
AMERIPRISE FINL INC,106.420398887,1855866
AMERIS BANCORP,33.9834618471,85983
AMERISAFE INC,50.9015178925,464328
AMERISERV FINL INC,3.19518842214,10641
AMERISOURCEBERGEN CORP,103.710142071,2231990
AMETEK INC NEW,53.5903568206,2334002
AMGEN INC,162.330491873,2896985
AMICUS THERAPEUTICS INC,9.6999987141,1399794
AMIRA NATURE FOODS LTD,9.11368477902,133316
AMKOR TECHNOLOGY INC,6.08180956447,276398
AMN HEALTHCARE SERVICES INC,31.0468684107,68767
AMPCO-PITTSBURGH CORP,10.2546215556,14335
AMPHASTAR PHARMACEUTICALS IN,14.2366747386,37579
AMPHENOL CORP NEW,52.2302074373,4424566
AMPIO PHARMACEUTICALS INC,3.4926871862,22905
AMPLIFY SNACK BRANDS,11.5316291813,33213
AMSURG CORP,75.99972501,770937
AMTRUST FINL SVCS INC,61.580388017,1498594
AMYRIS INC,1.62177129069,25281
ANACOR PHARMACEUTICALS INC,112.970146386,385146
ANADARKO PETE CORP,47.8888347824,4899806
ANALOG DEVICES INC,55.3197369471,1541439
ANALOGIC CORP,82.6331555491,13687
ANDERSONS INC,31.6174470272,33083
ANGIES LIST INC,9.34690014198,16904
ANGLOGOLD ASHANTI LTD,7.09988037922,672124
ANHEUSER BUSCH INBEV SA/NV,125.0,406600
ANI PHARMACEUTICALS INC,45.1151962752,12457
ANIKA THERAPEUTICS INC,38.1745120551,17420
ANIXTER INTL INC,60.3907074245,725095
ANNALY CAP MGMT INC,9.3800060928,2412685
ANSYS INC,92.5000919557,543740
ANTARES PHARMA INC,1.20773952807,120059
ANTERO MIDSTREAM PARTNERS LP,22.8199573916,11411371
ANTERO RES CORP,21.7999787387,6989227
ANTHEM INC,139.439743298,1489353
ANTHERA PHARMACEUTICALS INC,4.63861485806,124175
ANWORTH MORTGAGE ASSET CP,4.35003597526,1211944
AON PLC,92.2098591749,703710
APACHE CORP,44.4704495378,2873796
APARTMENT INVT & MGMT CO,40.0300154523,1664476
API TECHNOLOGIES CORP,1.37534799632,90159
APIGEE CORP,8.05220777854,19001
APOGEE ENTERPRISES INC,43.5084197943,67757
APOLLO COML REAL EST FIN INC,17.230228999,3421893
APOLLO ED GROUP INC,7.67018123228,1025921
APOLLO GLOBAL MGMT LLC,15.1799221967,6138042
APOLLO INVT CORP,5.21912578801,296793
APOLLO RESIDENTIAL MTG INC,11.9500984898,45690
APPLE HOSPITALITY REIT INC,19.9694439487,638826
APPLE INC,105.260023651,47808055
APPLIED DNA SCIENCES INC,3.27951564077,11892
APPLIED INDL TECHNOLOGIES IN,40.4948163387,36943
APPLIED MATLS INC,18.670026767,4545896
APPLIED MICRO CIRCUITS CORP,6.38469245428,50903
APPROACH RESOURCES INC,1.84150602913,514253
APRICUS BIOSCIENCES INC,0.995024875622,15075
APTARGROUP INC,72.6499867165,319945
AQUA AMERICA INC,29.7995563953,632996
AQUINOX PHARMACEUTICALS INC,12.4688279302,18045
ARADIGM CORP,3.97173794891,23919
ARAMARK,32.2501067706,1297174
ARATANA THERAPEUTICS INC,5.58627800169,53345
ARBOR RLTY TR INC,7.12825619791,19079
ARBUTUS BIOPHARMA CORP,4.45000118509,675056
ARC DOCUMENT SOLUTIONS INC,4.43592552026,18260
ARC LOGISTICS PARTNERS LP,13.2697794705,778762
ARCADIA BIOSCIENCES INC,3.01507537688,11940
ARCBEST CORP,21.3936615106,99235
ARCELORMITTAL SA LUXEMBOURG,4.31159057503,11604998
ARCH CAP GROUP LTD,69.7492628446,623003
ARCH COAL INC,0.98561527362,380473
ARCHER DANIELS MIDLAND CO,36.6797527843,3055146
ARCHROCK INC,7.52030844399,1661501
ARCHROCK PARTNERS L P,12.3095199418,609447
ARCOS DORADOS HOLDINGS INC,3.0935808198,27153
ARCTIC CAT INC,16.3973957077,20735
ARDMORE SHIPPING CORP,12.7078339611,26283
ARENA PHARMACEUTICALS INC,1.89980751479,279502
ARES CAP CORP,14.2497767739,3188471
ARES COML REAL ESTATE CORP,11.4369501466,54560
