Date,Open,High,Low,Close,Adj Close,Volume
2/14/14,1828.459961,1841.650024,1825.589966,1838.630005,1838.630005,3114750000
2/18/14,1839.030029,1842.869995,1835.01001,1840.76001,1840.76001,3421110000
2/19/14,1838.900024,1847.5,1826.98999,1828.75,1828.75,3661570000
2/20/14,1829.23999,1842.790039,1824.579956,1839.780029,1839.780029,3404980000
2/21/14,1841.069946,1846.130005,1835.599976,1836.25,1836.25,3403880000
2/24/14,1836.780029,1858.709961,1836.780029,1847.609985,1847.609985,4014530000
2/25/14,1847.660034,1852.910034,1840.189941,1845.119995,1845.119995,3515560000
2/26/14,1845.790039,1852.650024,1840.660034,1845.160034,1845.160034,3716730000
2/27/14,1844.900024,1854.530029,1841.130005,1854.290039,1854.290039,3547460000
2/28/14,1855.119995,1867.920044,1847.670044,1859.449951,1859.449951,3917450000
3/3/14,1857.680054,1857.680054,1834.439941,1845.72998,1845.72998,3428220000
3/4/14,1849.22998,1876.22998,1849.22998,1873.910034,1873.910034,3765770000
3/5/14,1874.050049,1876.530029,1871.109985,1873.810059,1873.810059,3392990000
3/6/14,1874.180054,1881.939941,1874.180054,1877.030029,1877.030029,3360450000
3/7/14,1878.52002,1883.569946,1870.560059,1878.040039,1878.040039,3564740000
3/10/14,1877.859985,1877.869995,1867.040039,1877.170044,1877.170044,3021350000
3/11/14,1878.26001,1882.349976,1863.880005,1867.630005,1867.630005,3392400000
3/12/14,1866.150024,1868.380005,1854.380005,1868.199951,1868.199951,3270860000
3/13/14,1869.060059,1874.400024,1841.859985,1846.339966,1846.339966,3670990000
3/14/14,1845.069946,1852.439941,1839.569946,1841.130005,1841.130005,3285460000
3/17/14,1842.810059,1862.300049,1842.810059,1858.829956,1858.829956,2860490000
3/18/14,1858.920044,1873.76001,1858.920044,1872.25,1872.25,2930190000
3/19/14,1872.25,1874.140015,1850.349976,1860.77002,1860.77002,3289210000
3/20/14,1860.089966,1873.48999,1854.630005,1872.01001,1872.01001,3327540000
3/21/14,1874.530029,1883.969971,1863.459961,1866.52002,1866.52002,5270710000
3/24/14,1867.670044,1873.339966,1849.689941,1857.439941,1857.439941,3409000000
3/25/14,1859.47998,1871.869995,1855.959961,1865.619995,1865.619995,3200560000
3/26/14,1867.089966,1875.920044,1852.560059,1852.560059,1852.560059,3480850000
3/27/14,1852.109985,1855.550049,1842.109985,1849.040039,1849.040039,3733430000
3/28/14,1850.069946,1866.630005,1850.069946,1857.619995,1857.619995,2955520000
3/31/14,1859.160034,1875.180054,1859.160034,1872.339966,1872.339966,3274300000
4/1/14,1873.959961,1885.839966,1873.959961,1885.52002,1885.52002,3336190000
4/2/14,1886.609985,1893.170044,1883.790039,1890.900024,1890.900024,3131660000
4/3/14,1891.430054,1893.800049,1882.650024,1888.77002,1888.77002,3055600000
4/4/14,1890.25,1897.280029,1863.26001,1865.089966,1865.089966,3583750000
4/7/14,1863.920044,1864.040039,1841.47998,1845.040039,1845.040039,3801540000
