nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
1 800 FLOWERS COM,CMN,68243Q106,232,29379,SH,DFND,1,29379,0,0,
1 800 FLOWERS COM,CMN,68243Q106,12,1500,SH,DFND,1,1500,0,0,Call
1ST CENTURY BANCSHARES INC,CMN,31943X102,124,11344,SH,DFND,1,11344,0,0,
1ST SOURCE CORP,CMN,336901103,583,18309,SH,DFND,2,18309,0,0,
21VIANET GROUP INC,CMN,90138A103,377,18870,SH,DFND,1,18870,0,0,
2U INC,CMN,90214J101,920,40717,SH,DFND,1,40717,0,0,
2U INC,CMN,90214J101,373,16500,SH,DFND,1,16500,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,11610,750491,SH,DFND,1,750491,0,0,
3-D SYS CORP DEL,CMN,88554D205,26697,1725700,SH,DFND,1,1725700,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,2678,173100,SH,DFND,1,173100,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,429,27754,SH,DFND,2,27754,0,0,
3M CO,CMN,88579Y101,150952,905912,SH,DFND,1,849858,0,56054,
3M CO,CMN,88579Y101,32976,197900,SH,DFND,1,197900,0,0,Call
3M CO,CMN,88579Y101,34559,207400,SH,DFND,1,207400,0,0,Put
3M CO,CMN,88579Y101,191618,1149961,SH,DFND,2,1041589,0,108372,
3M CO,CMN,88579Y101,3299,19796,SH,DFND,6,19796,0,0,
3M CO,CMN,88579Y101,394,2366,SH,OTR,"6,2",0,2366,0,
500 COM LTD,CMN,33829R100,393,23519,SH,DFND,1,23519,0,0,
500 COM LTD,CMN,33829R100,419,25100,SH,DFND,1,25100,0,0,Put
500 COM LTD,CMN,33829R100,157,9400,SH,DFND,1,9400,0,0,Call
51JOB INC,CMN,316827104,434,13992,SH,DFND,1,13992,0,0,
58 COM INC,CMN,31680Q104,43241,777016,SH,DFND,1,777016,0,0,
58 COM INC,CMN,31680Q104,256,4600,SH,DFND,1,4600,0,0,Put
58 COM INC,CMN,31680Q104,902,16200,SH,DFND,1,16200,0,0,Call
58 COM INC,CMN,31680Q104,14604,262422,SH,DFND,2,262422,0,0,
58 COM INC,CMN,31680Q104,207,3724,SH,DFND,7,3724,0,0,
8POINT3 ENERGY PARTNERS LP,CMN,282539105,294,20017,SH,DFND,1,20017,0,0,
8X8 INC NEW,CMN,282914100,630,62618,SH,DFND,1,62618,0,0,
8X8 INC NEW,CMN,282914100,138,13698,SH,DFND,2,13698,0,0,
A H BELO CORP,CMN,001282102,82,17091,SH,DFND,1,17091,0,0,
A10 NETWORKS INC,CMN,002121101,271,45767,SH,DFND,1,45767,0,0,
A10 NETWORKS INC,CMN,002121101,173,29221,SH,DFND,2,29221,0,0,
AAC HLDGS INC,CMN,000307108,60,3041,SH,DFND,1,3041,0,0,
AAC HLDGS INC,CMN,000307108,675,34100,SH,DFND,1,34100,0,0,Put
AAC HLDGS INC,CMN,000307108,845,42700,SH,DFND,1,42700,0,0,Call
AAON INC,CMN,000360206,307,10982,SH,DFND,1,10982,0,0,
AAR CORP,CMN,000361105,367,15767,SH,DFND,1,14460,0,1307,
AAR CORP,CMN,000361105,442,18975,SH,DFND,2,18975,0,0,
AARONS INC,CMN,002535300,10398,414258,SH,DFND,1,414258,0,0,
AARONS INC,CMN,002535300,108,4300,SH,DFND,1,4300,0,0,Call
AARONS INC,CMN,002535300,133,5300,SH,DFND,1,5300,0,0,Put
AARONS INC,CMN,002535300,3146,125353,SH,DFND,2,125353,0,0,
ABAXIS INC,CMN,002567105,319,7036,SH,DFND,1,7036,0,0,
ABB LTD,CMN,000375204,22,1140,SH,DFND,1,930,0,210,
ABB LTD,CMN,000375204,320,16500,SH,DFND,1,16500,0,0,Put
ABB LTD,CMN,000375204,429,22100,SH,DFND,1,22100,0,0,Call
ABB LTD,CMN,000375204,9197,473594,SH,DFND,2,473594,0,0,
ABB LTD,CMN,000375204,286,14704,SH,DFND,5,14704,0,0,
ABB LTD,CMN,000375204,1832,94324,SH,DFND,6,94324,0,0,
ABBOTT LABS,CMN,002824100,207721,4965829,SH,DFND,1,1444288,0,3521541,
ABBOTT LABS,CMN,002824100,3472,83000,SH,DFND,1,83000,0,0,Put
ABBOTT LABS,CMN,002824100,4083,97600,SH,DFND,1,97600,0,0,Call
ABBOTT LABS,CMN,002824100,515696,12328374,SH,DFND,2,10860255,0,1468119,
ABBOTT LABS,CMN,002824100,64943,1552535,SH,DFND,3,38,0,1552497,
ABBOTT LABS,CMN,002824100,3588,85770,SH,DFND,4,0,0,85770,
ABBOTT LABS,CMN,002824100,43655,1043629,SH,DFND,5,3358,0,1040271,
ABBOTT LABS,CMN,002824100,4872,116478,SH,DFND,6,116478,0,0,
ABBOTT LABS,CMN,002824100,2776,66358,SH,OTR,"6,2",0,66358,0,
ABBVIE INC,CMN,00287Y109,171831,3008254,SH,DFND,1,1520046,0,1488208,
ABBVIE INC,CMN,00287Y109,11270,197300,SH,DFND,1,197300,0,0,Put
ABBVIE INC,CMN,00287Y109,45468,796000,SH,DFND,1,796000,0,0,Call
ABBVIE INC,CMN,00287Y109,164298,2876372,SH,DFND,2,2820069,0,56303,
ABBVIE INC,CMN,00287Y109,4402,77074,SH,DFND,6,77074,0,0,
ABBVIE INC,CMN,00287Y109,1331,23306,SH,OTR,"6,2",0,23306,0,
ABENGOA SA,CMN,00289R201,225,157565,SH,DFND,1,157565,0,0,
ABENGOA SA,CMN,00289R201,158,110200,SH,DFND,3,110200,0,0,
ABEONA THERAPEUTICS INC,CMN,00289Y107,31,12129,SH,DFND,1,12129,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,39877,1264342,SH,DFND,1,1264342,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,3315,105100,SH,DFND,1,105100,0,0,Put
ABERCROMBIE & FITCH CO,CMN,002896207,8601,272700,SH,DFND,1,272700,0,0,Call
