,Company,0217price,0217amt,0517price,0517amt,0817price,0817amt,1117price,1117amt,0217-0517chng,0517-0817chng
0,21VIANET GROUP INC,7.01588427732,25371,5.48135902902,22987,5.03916579354,20043,5.65601848164,12553,-2384,-2944
1,2U INC,30.1385400632,24686,39.660834514,91047,46.922062877,250330,56.037494593,210377,66361,159283
2,3-D SYS CORP DEL,13.2901038103,840475,14.9588187487,724723,18.7005609307,1160393,13.3893329386,324288,-115752,435670
3,3M CO,178.570538193,2045679,191.329818607,2205767,208.190236741,2539951,209.900152223,2906925,160088,334184
4,500 COM LTD,15.3350191503,67623,13.4078720116,66006,10.8869946831,11849,11.0460251046,5975,-1617,-54157
5,51JOB INC,33.8111150193,22744,36.653031469,24691,44.7305480637,58953,60.6280193237,20700,1947,34262
6,58 COM INC,28.0010320404,720902,35.3896416832,601758,44.1098059252,673297,63.1399739536,687235,-119144,71539
7,8X8 INC NEW,14.3008474576,200128,15.2496927718,232726,14.5480253726,254605,13.5004753853,427022,32598,21879
8,A10 NETWORKS INC,8.31169629277,130178,9.14714182582,121896,8.43526693769,111674,7.55561774171,185822,-8282,-10222
9,AAON INC,33.0575970971,65038,35.3805073431,28462,36.8098159509,17441,34.4848375234,49761,-36576,-11021
10,AAR CORP,33.0529461124,97722,33.6306301662,58191,34.7645984589,89804,37.7790116602,180100,-39531,31613
11,AARONS INC,31.9892885683,944785,29.7406716678,860068,38.9001698075,842130,43.6310178821,933281,-84717,-17938
12,ABAXIS INC,52.7908430089,30403,48.5176707052,35822,52.9930539296,25626,44.6549162615,59232,5419,-10196
13,ABB LTD,21.0706481258,567899,23.4001273229,659740,24.9002183575,697022,24.7482515802,665744,91841,37282
14,ABBOTT LABS,38.4100355078,24272693,44.4100300122,23833670,48.6099962948,18725058,53.359990388,17378264,-439023,-5108612
15,ABBVIE INC,62.619919876,7703060,65.1601042889,8219861,72.509975725,9674986,88.8598974924,9820538,516801,1455125
16,ABEONA THERAPEUTICS INC,4.84868751045,11962,5.0,116000,6.42054574639,10591,17.0513489991,143625,104038,-105409
17,ABERCROMBIE & FITCH CO,12.0002162897,517824,11.930339825,811712,12.4404118759,572891,14.440581876,1335611,293888,-238821
18,ABIOMED INC,112.679276698,511709,125.199513159,511871,143.299493949,551921,168.599338113,500085,162,40050
19,ABM INDS INC,40.8402245017,2058069,43.6002832511,1923382,41.5203604205,1774816,41.709912752,6139284,-134687,-148566
20,ABRAXAS PETE CORP,2.57212155501,190893,2.0196056251,362447,1.62003407297,382708,1.87795442473,186373,171554,20261
21,ACACIA COMMUNICATIONS INC,61.8048711812,7103,58.6291991721,25124,41.4722821016,31081,47.1037416821,45835,18021,5957
22,ACACIA RESH CORP,6.49953574745,110931,5.74640013678,134519,4.09843400447,111750,4.55239705206,67437,23588,-22769
23,ACADIA HEALTHCARE COMPANY IN,33.099874954,2384722,43.5999191835,4271407,49.3800270241,4375352,47.759948779,4096759,1886685,103945
24,ACADIA PHARMACEUTICALS INC,28.8397405097,1544258,34.3797616705,1122899,27.8904609509,1908251,37.6700701761,1820278,-421359,785352
25,ACADIA RLTY TR,32.6798570972,5017678,30.0601215384,4632117,27.8000595042,5750851,28.6199091379,6831014,-385561,1118734
26,ACCELERON PHARMA INC,25.5189371155,473805,26.4699397544,503439,30.388976593,520057,37.3205454249,632681,29634,16618
27,ACCENTURE PLC IRELAND,117.130089407,3075162,119.879873671,3501647,123.679972987,4406728,135.070024701,4671066,426485,905081
28,ACCESS NATL CORP,27.7543445251,11854,30.0455235205,16475,26.5175056971,9654,28.6969527014,10698,4621,-6821
29,ACCO BRANDS CORP,13.0510925924,203278,13.1472369313,181483,11.6499488795,180945,11.8993309002,263040,-21795,-538
30,ACCURAY INC,4.58781362007,13950,4.73933649289,30173,4.74935896871,226978,4.00025585892,203237,16223,196805
31,ACETO CORP,21.9795682886,71066,15.8090899679,96590,15.4399271098,40609,11.2336958422,114388,25524,-55981
32,ACHILLION PHARMACEUTICALS IN,4.13001494595,4452042,4.20998441353,3725667,4.59003999785,3613694,4.4899063005,2706738,-726375,-111973
33,ACI WORLDWIDE INC,18.1499209915,476531,21.3878440862,333928,22.3686999518,533111,22.7788023734,538966,-142603,199183
34,ACORDA THERAPEUTICS INC,18.8009767797,344397,20.9984505549,302689,19.6988163513,534956,23.649123846,540316,-41708,232267
35,ACTIVISION BLIZZARD INC,36.1102580879,3963029,49.8599673583,5415166,57.5700340473,5405121,64.5100544542,4991718,1452137,-10045
36,ACTUA CORP,13.996772862,26649,14.0440343209,24708,14.0528304106,68029,15.3042275527,78083,-1941,43321
