nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
ENCORE WIRE CORP,CMN,292562105,540,14684,SH,DFND,2,14684,0,0,
ENDO INTL PLC,CMN,G30401106,21156,1049944,SH,DFND,1,1048412,0,1532,
ENDO INTL PLC,CMN,G30401106,22939,1138400,SH,DFND,1,1138400,0,0,Call
ENDO INTL PLC,CMN,G30401106,202,10000,SH,DFND,1,10000,0,0,Put
ENDO INTL PLC,CMN,G30401106,5340,265033,SH,DFND,2,246622,0,18411,
ENDOCHOICE HLDGS INC,CMN,29272U103,14486,1815346,SH,DFND,1,1815346,0,0,
ENDOCYTE INC,CMN,29269A102,160,51744,SH,DFND,1,51744,0,0,
ENDOLOGIX INC,CMN,29266S106,623,48684,SH,DFND,1,48684,0,0,
ENDOLOGIX INC,CMN,29266S106,20718,1618569,SH,DFND,2,1521949,0,96620,
ENDURANCE INTL GROUP HLDGS I,CMN,29272B105,134562,15378521,SH,DFND,1,15378521,0,0,
ENDURANCE SPECIALTY HLDGS LT,CMN,G30397106,9435,144156,SH,DFND,1,144156,0,0,
ENDURANCE SPECIALTY HLDGS LT,CMN,G30397106,141642,2164121,SH,DFND,2,2107681,0,56440,
ENDURO RTY TR,CMN,29269K100,479,135308,SH,DFND,1,1400,0,133908,
ENERGEN CORP,CMN,29265N108,17150,297116,SH,DFND,1,297116,0,0,
ENERGEN CORP,CMN,29265N108,25880,448366,SH,DFND,2,440633,0,7733,
ENERGEN CORP,CMN,29265N108,24,417,SH,DFND,6,417,0,0,
ENERGEN CORP,CMN,29265N108,178,3090,SH,OTR,"6,2",0,3090,0,
ENERGIZER HLDGS INC NEW,CMN,29272W109,15583,311918,SH,DFND,1,311918,0,0,
ENERGIZER HLDGS INC NEW,CMN,29272W109,190,3800,SH,DFND,1,3800,0,0,Call
ENERGIZER HLDGS INC NEW,CMN,29272W109,145,2900,SH,DFND,1,2900,0,0,Put
ENERGIZER HLDGS INC NEW,CMN,29272W109,1336,26751,SH,DFND,2,25815,0,936,
ENERGIZER HLDGS INC NEW,CMN,29272W109,419,8383,SH,DFND,6,8383,0,0,
ENERGOUS CORP,CMN,29272C103,1602,81671,SH,DFND,1,81671,0,0,
ENERGOUS CORP,CMN,29272C103,490,25000,SH,DFND,1,25000,0,0,Call
ENERGOUS CORP,CMN,29272C103,981,50000,SH,DFND,1,50000,0,0,Put
ENERGY FOCUS INC,CMN,29268T300,71,14477,SH,DFND,1,14477,0,0,
ENERGY FUELS INC,CMN,292671708,116,72792,SH,DFND,1,72792,0,0,
ENERGY RECOVERY INC,CMN,29270J100,546,34157,SH,DFND,1,34157,0,0,
ENERGY TRANSFER EQUITY L P,CMN,29273V100,755247,44981978,SH,DFND,1,44973483,0,8495,
ENERGY TRANSFER EQUITY L P,CMN,29273V100,27653,1647000,SH,DFND,1,1647000,0,0,Call
ENERGY TRANSFER EQUITY L P,CMN,29273V100,8330,496100,SH,DFND,1,496100,0,0,Put
ENERGY TRANSFER EQUITY L P,CMN,29273V100,100722,5998909,SH,DFND,2,5998909,0,0,
ENERGY TRANSFER PRTNRS L P,CMN,29273R109,217304,5873076,SH,DFND,1,5734698,0,138378,
ENERGY TRANSFER PRTNRS L P,CMN,29273R109,17316,468000,SH,DFND,1,468000,0,0,Call
ENERGY TRANSFER PRTNRS L P,CMN,29273R109,9661,261100,SH,DFND,1,261100,0,0,Put
ENERGY TRANSFER PRTNRS L P,CMN,29273R109,490926,13268267,SH,DFND,2,13268267,0,0,
ENERGY TRANSFER PRTNRS L P,CMN,29273R109,1065,28789,SH,DFND,6,28789,0,0,
ENERNOC INC,CMN,292764107,364,67196,SH,DFND,1,67196,0,0,
ENERPLUS CORP,CMN,292766102,483,75309,SH,DFND,1,75309,0,0,
ENERPLUS CORP,CMN,292766102,310,48300,SH,DFND,1,48300,0,0,Call
ENERPLUS CORP,CMN,292766102,101,15800,SH,DFND,1,15800,0,0,Put
ENERPLUS CORP,CMN,292766102,734,114500,SH,DFND,2,114500,0,0,
ENERSIS AMERICAS S A,CMN,29274F104,6415,783276,SH,DFND,1,783276,0,0,
ENERSIS AMERICAS S A,CMN,29274F104,203,24752,SH,DFND,2,24752,0,0,
ENERSIS CHILE SA,CMN,29278D105,207,43520,SH,DFND,1,43520,0,0,
ENERSYS,CMN,29275Y102,10657,154019,SH,DFND,1,154019,0,0,
ENERSYS,CMN,29275Y102,1336,19307,SH,DFND,2,19307,0,0,
ENERSYS,CMN,29275Y102,977,14120,SH,DFND,6,14120,0,0,
ENGILITY HLDGS INC NEW,CMN,29286C107,3155,100168,SH,DFND,1,100168,0,0,
ENI S P A,CMN,26874R108,7042,243908,SH,DFND,2,243908,0,0,
ENI S P A,CMN,26874R108,909,31496,SH,DFND,6,31496,0,0,
ENLINK MIDSTREAM LLC,CMN,29336T100,1508,90033,SH,DFND,1,90033,0,0,
ENLINK MIDSTREAM LLC,CMN,29336T100,8,500,SH,DFND,1,500,0,0,Put
ENLINK MIDSTREAM LLC,CMN,29336T100,534,31875,SH,DFND,2,31875,0,0,
ENLINK MIDSTREAM PARTNERS LP,CMN,29336U107,6898,389485,SH,DFND,1,389485,0,0,
ENNIS INC,CMN,293389102,3453,204952,SH,DFND,1,204952,0,0,
ENNIS INC,CMN,293389102,3782,224448,SH,DFND,2,224448,0,0,
ENOVA INTL INC,CMN,29357K103,326,33679,SH,DFND,1,33679,0,0,
ENOVA INTL INC,CMN,29357K103,285,29417,SH,DFND,2,29417,0,0,
ENPHASE ENERGY INC,CMN,29355A107,71,60145,SH,DFND,1,60145,0,0,
ENPRO INDS INC,CMN,29355X107,1505,26491,SH,DFND,1,26491,0,0,
ENSCO PLC,CMN,G3157S106,15459,1818686,SH,DFND,1,1818386,0,300,
ENSCO PLC,CMN,G3157S106,2477,291400,SH,DFND,1,291400,0,0,Call
ENSCO PLC,CMN,G3157S106,3589,422200,SH,DFND,1,422200,0,0,Put
ENSCO PLC,CMN,G3157S106,966,113616,SH,DFND,2,99585,0,14031,
ENSERVCO CORP,CMN,29358Y102,8,13018,SH,DFND,1,13018,0,0,
ENSIGN GROUP INC,CMN,29358P101,881,43768,SH,DFND,1,43768,0,0,
ENSTAR GROUP LIMITED,CMN,G3075P101,52969,322061,SH,DFND,1,322061,0,0,
ENSTAR GROUP LIMITED,CMN,G3075P101,21003,127704,SH,DFND,2,122482,0,5222,
ENSYNC INC,CMN,29359T102,48,48411,SH,DFND,1,48411,0,0,
ENTEGRIS INC,CMN,29362U104,2273,130501,SH,DFND,1,130501,0,0,
ENTEGRIS INC,CMN,29362U104,70009,4018881,SH,DFND,2,3804313,0,214568,
ENTEGRIS INC,CMN,29362U104,2643,151725,SH,DFND,6,151725,0,0,
ENTERCOM COMMUNICATIONS CORP,CMN,293639100,861,66556,SH,DFND,1,19508,0,47048,
ENTERCOM COMMUNICATIONS CORP,CMN,293639100,2261,174707,SH,DFND,2,174707,0,0,
ENTERGY CORP NEW,CMN,29364G103,107338,1398911,SH,DFND,1,1392209,0,6702,
ENTERGY CORP NEW,CMN,29364G103,529,6900,SH,DFND,1,6900,0,0,Call
ENTERGY CORP NEW,CMN,29364G103,307,4000,SH,DFND,1,4000,0,0,Put
ENTERGY CORP NEW,CMN,29364G103,28043,365481,SH,DFND,2,350731,0,14750,
ENTERGY CORP NEW,CMN,29364G103,793,10333,SH,DFND,6,10333,0,0,
ENTEROMEDICS INC,CMN,29365M307,4,32139,SH,DFND,1,32139,0,0,
ENTERPRISE FINL SVCS CORP,CMN,293712105,673,21531,SH,DFND,1,21531,0,0,
ENTERPRISE PRODS PARTNERS L,CMN,293792107,131029,4742276,SH,DFND,1,3297209,0,1445067,
ENTERPRISE PRODS PARTNERS L,CMN,293792107,4274,154700,SH,DFND,1,154700,0,0,Put
ENTERPRISE PRODS PARTNERS L,CMN,293792107,20126,728400,SH,DFND,1,728400,0,0,Call
ENTERPRISE PRODS PARTNERS L,CMN,293792107,858749,31080314,SH,DFND,2,31080314,0,0,
ENTERPRISE PRODS PARTNERS L,CMN,293792107,382,13812,SH,DFND,5,13812,0,0,
ENTERPRISE PRODS PARTNERS L,CMN,293792107,5249,189985,SH,DFND,6,189985,0,0,
ENTERTAINMENT GAMING ASIA IN,CMN,29383V305,25,13310,SH,DFND,1,13310,0,0,
ENTRAVISION COMMUNICATIONS C,CMN,29382R107,407,53322,SH,DFND,1,53322,0,0,
ENTRAVISION COMMUNICATIONS C,CMN,29382R107,69,9100,SH,DFND,1,9100,0,0,Call
ENVESTNET INC,CMN,29404K106,6266,171912,SH,DFND,1,171912,0,0,
ENVESTNET INC,CMN,29404K106,369,10123,SH,DFND,2,10123,0,0,
