nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
1 800 FLOWERS COM,CMN,68243Q106,213,37785,SH,DFND,1,37785,0,0,
1ST SOURCE CORP,CMN,336901103,386,12034,SH,DFND,1,12034,0,0,
1ST SOURCE CORP,CMN,336901103,1229,38302,SH,DFND,2,38302,0,0,
1ST UNITED BANCORP INC FLA,CMN,33740N105,96,12585,SH,DFND,1,12585,0,0,
21VIANET GROUP INC,CMN,90138A103,243,8474,SH,DFND,1,8474,0,0,
3-D SYS CORP DEL,CMN,88554D205,81975,1385880,SH,DFND,1,1385880,0,0,
3-D SYS CORP DEL,CMN,88554D205,22057,372900,SH,DFND,1,372900,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,82446,1393850,SH,DFND,1,1393850,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,1103,18651,SH,DFND,2,18651,0,0,
3M CO,CMN,88579Y101,196482,1448342,SH,DFND,1,1388496,0,59846,
3M CO,CMN,88579Y101,36723,270700,SH,DFND,1,270700,0,0,Put
3M CO,CMN,88579Y101,55539,409400,SH,DFND,1,409400,0,0,Call
3M CO,CMN,88579Y101,122425,902438,SH,DFND,2,838598,0,63840,
3M CO,CMN,88579Y101,217,1597,SH,DFND,6,1597,0,0,
3M CO,CMN,88579Y101,2842,20953,SH,OTR,"6,2",0,20953,0,
500 COM LTD,CMN,33829R100,1715,46473,SH,DFND,1,46473,0,0,
51JOB INC,CMN,316827104,226,3173,SH,DFND,1,1173,0,2000,
51JOB INC,CMN,316827104,214,3000,SH,DFND,1,3000,0,0,Call
58 COM INC,CMN,31680Q104,1892,45447,SH,DFND,1,45447,0,0,
58 COM INC,CMN,31680Q104,291,7000,SH,DFND,1,7000,0,0,Put
58 COM INC,CMN,31680Q104,400,9600,SH,DFND,1,9600,0,0,Call
8X8 INC NEW,CMN,282914100,189,17497,SH,DFND,1,17497,0,0,
A H BELO CORP,CMN,001282102,352,30368,SH,DFND,1,30368,0,0,
AAON INC,CMN,000360206,505,18106,SH,DFND,1,18106,0,0,
AAON INC,CMN,000360206,2698,96790,SH,DFND,2,96790,0,0,
AAR CORP,CMN,000361105,4065,156653,SH,DFND,2,156653,0,0,
AARONS INC,CMN,002535300,4293,141980,SH,DFND,1,141980,0,0,
AARONS INC,CMN,002535300,6470,213971,SH,DFND,2,198444,0,15527,
ABB LTD,CMN,000375204,10980,425764,SH,DFND,1,403224,0,22540,
ABB LTD,CMN,000375204,1826,70800,SH,DFND,1,70800,0,0,Call
ABB LTD,CMN,000375204,1060,41100,SH,DFND,1,41100,0,0,Put
ABB LTD,CMN,000375204,9023,349876,SH,DFND,2,349876,0,0,
ABBOTT LABS,CMN,002824100,258231,6705548,SH,DFND,1,3317146,0,3388402,
ABBOTT LABS,CMN,002824100,16971,440700,SH,DFND,1,440700,0,0,Put
ABBOTT LABS,CMN,002824100,19856,515600,SH,DFND,1,515600,0,0,Call
ABBOTT LABS,CMN,002824100,300914,7813921,SH,DFND,2,6312216,0,1501705,
ABBOTT LABS,CMN,002824100,41454,1076455,SH,DFND,3,16430,0,1060025,
ABBOTT LABS,CMN,002824100,4069,105651,SH,DFND,4,0,0,105651,
ABBOTT LABS,CMN,002824100,36113,937760,SH,DFND,5,0,0,937760,
ABBOTT LABS,CMN,002824100,58,1500,SH,DFND,6,1500,0,0,
ABBOTT LABS,CMN,002824100,2315,60122,SH,OTR,"6,2",0,60122,0,
ABBOTT LABS,CMN,002824100,200,5203,SH,DFND,7,5203,0,0,
ABBVIE INC,CMN,00287Y109,271828,5288475,SH,DFND,1,3484229,0,1804246,
ABBVIE INC,CMN,00287Y109,21485,418000,SH,DFND,1,418000,0,0,Call
ABBVIE INC,CMN,00287Y109,12418,241600,SH,DFND,1,241600,0,0,Put
ABBVIE INC,CMN,00287Y109,100867,1962388,SH,DFND,2,1895560,0,66828,
