nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
1 800 FLOWERS COM,CMN,68243Q106,146,20247,SH,DFND,1,20247,0,0,
1ST SOURCE CORP,CMN,336901103,1091,38302,SH,DFND,2,38302,0,0,
1ST UNITED BANCORP INC FLA,CMN,33740N105,173,20331,SH,DFND,1,20331,0,0,
21VIANET GROUP INC,CMN,90138A103,1920,106648,SH,DFND,1,106648,0,0,
21VIANET GROUP INC,CMN,90138A103,1850,102800,SH,DFND,1,102800,0,0,Put
22ND CENTY GROUP INC,CMN,90137F103,104,41331,SH,DFND,1,41331,0,0,
22ND CENTY GROUP INC,CMN,90137F103,126,50000,SH,DFND,1,50000,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,81524,1758116,SH,DFND,1,1758116,0,0,
3-D SYS CORP DEL,CMN,88554D205,104490,2253400,SH,DFND,1,2253400,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,27368,590200,SH,DFND,1,590200,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,913,19684,SH,DFND,2,19684,0,0,
3M CO,CMN,88579Y101,133612,943054,SH,DFND,1,881225,0,61829,
3M CO,CMN,88579Y101,29526,208400,SH,DFND,1,208400,0,0,Put
3M CO,CMN,88579Y101,47945,338400,SH,DFND,1,338400,0,0,Call
3M CO,CMN,88579Y101,164645,1162090,SH,DFND,2,1056751,0,105339,
3M CO,CMN,88579Y101,226,1597,SH,DFND,6,1597,0,0,
3M CO,CMN,88579Y101,2757,19457,SH,OTR,"6,2",0,19457,0,
500 COM LTD,CMN,33829R100,3403,100901,SH,DFND,1,100901,0,0,
58 COM INC,CMN,31680Q104,85048,2283176,SH,DFND,1,2283176,0,0,
58 COM INC,CMN,31680Q104,1952,52400,SH,DFND,1,52400,0,0,Call
58 COM INC,CMN,31680Q104,2075,55700,SH,DFND,1,55700,0,0,Put
58 COM INC,CMN,31680Q104,11151,299362,SH,DFND,2,299362,0,0,
8X8 INC NEW,CMN,282914100,109,16359,SH,DFND,1,16359,0,0,
A H BELO CORP,CMN,001282102,123,11514,SH,DFND,1,11514,0,0,
A10 NETWORKS INC,CMN,002121101,4526,496819,SH,DFND,2,496819,0,0,
AAON INC,CMN,000360206,186,10928,SH,DFND,1,10928,0,0,
AAR CORP,CMN,000361105,572,23705,SH,DFND,1,22398,0,1307,
AAR CORP,CMN,000361105,2724,112805,SH,DFND,2,112805,0,0,
AARONS INC,CMN,002535300,2833,116495,SH,DFND,1,83145,0,33350,
AARONS INC,CMN,002535300,102,4200,SH,DFND,1,4200,0,0,Put
AARONS INC,CMN,002535300,105,4300,SH,DFND,1,4300,0,0,Call
AARONS INC,CMN,002535300,315,12967,SH,DFND,2,12967,0,0,
ABAXIS INC,CMN,002567105,270,5322,SH,DFND,1,5322,0,0,
ABB LTD,CMN,000375204,9541,425750,SH,DFND,1,409290,0,16460,
ABB LTD,CMN,000375204,627,28000,SH,DFND,1,28000,0,0,Put
ABB LTD,CMN,000375204,1470,65600,SH,DFND,1,65600,0,0,Call
ABB LTD,CMN,000375204,9135,407637,SH,DFND,2,407637,0,0,
ABBOTT LABS,CMN,002824100,242391,5828102,SH,DFND,1,2120972,0,3707130,
ABBOTT LABS,CMN,002824100,9038,217300,SH,DFND,1,217300,0,0,Put
ABBOTT LABS,CMN,002824100,13525,325200,SH,DFND,1,325200,0,0,Call
ABBOTT LABS,CMN,002824100,285581,6866581,SH,DFND,2,5843757,0,1022824,
ABBOTT LABS,CMN,002824100,69087,1661148,SH,DFND,3,6148,0,1655000,
ABBOTT LABS,CMN,002824100,5985,143896,SH,DFND,4,0,0,143896,
ABBOTT LABS,CMN,002824100,39640,953112,SH,DFND,5,0,0,953112,
ABBOTT LABS,CMN,002824100,216,5195,SH,DFND,7,5195,0,0,
ABBVIE INC,CMN,00287Y109,241286,4177381,SH,DFND,1,2599536,0,1577845,
ABBVIE INC,CMN,00287Y109,28158,487500,SH,DFND,1,487500,0,0,Put
ABBVIE INC,CMN,00287Y109,57974,1003700,SH,DFND,1,1003700,0,0,Call
ABBVIE INC,CMN,00287Y109,325812,5640786,SH,DFND,2,4986081,0,654705,
ABBVIE INC,CMN,00287Y109,15337,265526,SH,DFND,3,265126,0,400,
ABBVIE INC,CMN,00287Y109,2743,47483,SH,OTR,"6,2",0,47483,0,
ABBVIE INC,CMN,00287Y109,300,5192,SH,DFND,7,5192,0,0,
ABENGOA YIELD PLC,CMN,G00349103,398,11193,SH,DFND,1,11193,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,8095,222762,SH,DFND,1,222697,0,65,
ABERCROMBIE & FITCH CO,CMN,002896207,5902,162400,SH,DFND,1,162400,0,0,Call
ABERCROMBIE & FITCH CO,CMN,002896207,8122,223500,SH,DFND,1,223500,0,0,Put
ABERCROMBIE & FITCH CO,CMN,002896207,3024,83215,SH,DFND,2,83215,0,0,
ABERDEEN ASIA PACIFIC INCOM,CMN,003009107,160,27043,SH,DFND,1,27043,0,0,
ABIOMED INC,CMN,003654100,805,32426,SH,DFND,2,32426,0,0,
ABM INDS INC,CMN,000957100,837,32566,SH,DFND,1,32566,0,0,
ABRAXAS PETE CORP,CMN,003830106,933,176755,SH,DFND,1,176755,0,0,
ACACIA RESH CORP,CMN,003881307,468,30229,SH,DFND,1,30229,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,341,7038,SH,DFND,1,7038,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,25527,526337,SH,DFND,2,526337,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,5471,220957,SH,DFND,1,220957,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,77969,3149000,SH,DFND,1,3149000,0,0,Call
