nameOfIssuer,sprice,sshPrnamt
1 800 FLOWERS COM,9.17506734264,85013
1ST SOURCE CORP,35.7055647503,36857
21VIANET GROUP INC,7.94304057947,48596
2U INC,38.2888333199,37191
3-D SYS CORP DEL,17.9495061823,484693
3M CO,176.230090725,2476484
500 COM LTD,17.6347249171,63908
51JOB INC,33.3874071,26507
58 COM INC,47.660258096,627441
8POINT3 ENERGY PARTNERS LP,14.4001525844,10486
8X8 INC NEW,15.4313796672,184559
A H BELO CORP,7.34689499839,55942
A10 NETWORKS INC,10.6903488543,509525
AAON INC,28.8237085152,9853
AAR CORP,31.3143669688,95643
AARONS INC,25.4201546711,893897
ABAXIS INC,51.5733272748,8803
ABB LTD,22.5091868184,674880
ABBOTT LABS,42.2899859762,23323252
ABBVIE INC,63.0700311478,6826491
ABEONA THERAPEUTICS INC,6.00420732776,68452
ABERCROMBIE & FITCH CO,15.8898850629,1067975
ABIOMED INC,128.580836072,587677
ABM INDS INC,39.6999692492,1973931
ABRAXAS PETE CORP,1.67421705732,20308
AC IMMUNE SA,16.4542612758,29111
ACACIA COMMUNICATIONS INC,103.243808859,8601
ACACIA RESH CORP,6.52014417119,530203
ACADIA HEALTHCARE COMPANY IN,49.5497977484,1760431
ACADIA PHARMACEUTICALS INC,31.8099442754,1179191
ACADIA RLTY TR,36.2400360639,3218733
ACCELERATE DIAGNOSTICS INC,27.2391505078,17328
ACCELERON PHARMA INC,36.1905856356,835383
ACCENTURE PLC IRELAND,122.170388728,3815851
ACCO BRANDS CORP,9.63830831938,676156
ACCURAY INC,6.35740826753,34448
ACCURIDE CORP NEW,2.55673656995,34810
ACELRX PHARMACEUTICALS INC,3.89721491714,31561
ACETO CORP,18.9964411134,42429
ACHAOGEN INC,4.79598336393,26689
ACHILLION PHARMACEUTICALS IN,8.09984652425,5499240
ACI WORLDWIDE INC,19.3783507993,308695
ACORDA THERAPEUTICS INC,20.8796697444,724772
ACTIVE POWER INC,0.267568755614,52323
ACTIVISION BLIZZARD INC,44.3000146783,4550924
ACTUA CORP,12.9533678756,28950
ACTUANT CORP,23.2400229819,325473
ACUITY BRANDS INC,264.599429609,192850
ACXIOM CORP,26.6553720175,177075
ADAMAS PHARMACEUTICALS INC,16.4327057415,15031
ADCARE HEALTH SYSTEMS INC,2.07969511952,1130935
ADECOAGRO S A,11.3760217984,14680
ADEPTUS HEALTH INC,43.050519975,439925
ADOBE SYS INC,108.539838697,2194374
ADTRAN INC,19.1436204155,184918
ADURO BIOTECH INC,12.4398992597,26206
ADVANCE AUTO PARTS INC,149.119831504,902100
ADVANCED ENERGY INDS,47.319588354,284322
ADVANCED MICRO DEVICES INC,6.90995831565,6544902
ADVANCED SEMICONDUCTOR ENGR,5.90756399861,77697
ADVANCEPIERRE FOODS HLDGS IN,27.5597459713,1817905
ADVANTAGE OIL & GAS LTD,7.02725093943,67594
ADVERUM BIOTECHNOLOGIES INC,4.11924450005,32773
ADVISORSHARES TR,27.5746496039,19692
ADVISORY BRD CO,44.7394199658,404252
AECOM,29.730608831,860830
AEGEAN MARINE PETROLEUM NETW,9.99727400946,168746
AEGERION PHARMACEUTICALS INC,2.97051002147,218481
AEGION CORP,19.0705576224,232505
AEGLEA BIOTHERAPEUTICS INC,6.41918488464,33026
AEGON N V,3.86002529721,840409
AEMETIS INC,1.06230659092,21651
AEP INDS INC,109.359844811,20620
AERCAP HOLDINGS NV,38.4890428074,613889
AERIE PHARMACEUTICALS INC,37.7401664585,257842
AEROHIVE NETWORKS INC,6.07449856734,17450
AEROJET ROCKETDYNE HLDGS INC,17.5863261374,20243
AEROVIRONMENT INC,24.4103688117,1255573
AES CORP,12.8498674371,6604037
AETNA INC NEW,115.450358201,1854546
AFFILIATED MANAGERS GROUP,144.700534705,1671763
AFFIMED N V,2.77219617474,53748
AFLAC INC,71.8698431129,3059016
AG MTG INVT TR INC,15.7677902622,26700
AGCO CORP,49.3195537525,849663
AGENUS INC,7.18417186926,43568
AGILENT TECHNOLOGIES INC,47.0900862965,4709229
AGILYSYS INC,11.1500477859,15695
AGIOS PHARMACEUTICALS INC,52.8234415956,57607
AGNICO EAGLE MINES LTD,54.180988503,472472
AGREE REALTY CORP,49.4342695753,57713
AGRIUM INC,90.6881542645,602394
AIR INDS GROUP,4.53829767528,10797
AIR LEASE CORP,28.5802527158,372355
AIR METHODS CORP,31.4902579724,1810814
AIR PRODS & CHEMS INC,150.340215283,1725819
AIR TRANSPORT SERVICES GRP I,14.3508263522,360258
AIRCASTLE LTD,19.8621634348,256971
AIRMEDIA GROUP INC,3.37338559404,93378
AIXTRON SE,6.04686318972,17199
AK STL HLDG CORP,4.83010064183,396058
AKAMAI TECHNOLOGIES INC,52.9907590259,726655
AKEBIA THERAPEUTICS INC,9.03282661379,18156
AKORN INC,27.2597977244,847952
ALAMO GROUP INC,65.8885633339,41297
ALAMOS GOLD INC NEW,8.19903123037,791313
ALASKA AIR GROUP INC,65.8591094312,1734779
ALASKA COMMUNICATIONS SYS GR,1.73637710025,19581
ALBANY INTL CORP,42.376709235,24353
ALBANY MOLECULAR RESH INC,16.5136402669,75695
ALBEMARLE CORP,85.4902745291,779808
ALCENTRA CAP CORP,12.976039592,16569
ALCOA INC,10.3183517724,5404933
ALCOBRA LTD,2.47055190365,22667
ALDER BIOPHARMACEUTICALS INC,32.7705198615,705207
ALERE INC,43.2395534624,612356
ALEXANDER & BALDWIN INC NEW,38.4175147239,96102
ALEXANDERS INC,419.705694178,3126
ALEXANDRIA REAL ESTATE EQ IN,108.768719121,678651
ALEXCO RESOURCE CORP,1.78697865741,29659
ALEXION PHARMACEUTICALS INC,122.539783664,2065672
ALIBABA GROUP HLDG LTD,105.790059978,13667475
ALIGN TECHNOLOGY INC,93.7496177554,1226309
ALIMERA SCIENCES INC,1.49013224153,973068
ALKERMES PLC,47.0300317931,2566913
ALLEGHANY CORP DEL,525.015708451,50928
ALLEGHENY TECHNOLOGIES INC,18.0701364484,2501752
ALLEGIANT TRAVEL CO,132.075715319,77448
ALLEGION PUB LTD CO,68.9100285899,506472
ALLERGAN PLC,230.387638512,3397908
ALLETE INC,59.6173850474,255714
ALLIANCE DATA SYSTEMS CORP,214.530817766,321730
ALLIANCE HEALTHCARE SRVCS IN,6.86439205237,34526
ALLIANCE HOLDINGS GP LP,26.0514586976,152122
ALLIANCE RES PARTNER L P,22.1804208271,843672
