nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
1 800 FLOWERS COM,CMN,68243Q106,730,80956,SH,DFND,1,80956,0,0,
1 800 FLOWERS COM,CMN,68243Q106,2,200,SH,DFND,1,200,0,0,Call
1ST CENTURY BANCSHARES INC,CMN,31943X102,241,21449,SH,DFND,1,21449,0,0,
1ST SOURCE CORP,CMN,336901103,1092,33726,SH,DFND,1,33726,0,0,
1ST SOURCE CORP,CMN,336901103,717,22134,SH,DFND,2,22134,0,0,
21VIANET GROUP INC,CMN,90138A103,4073,398889,SH,DFND,1,398889,0,0,
21VIANET GROUP INC,CMN,90138A103,4540,444661,SH,DFND,2,444661,0,0,
2U INC,CMN,90214J101,1021,34729,SH,DFND,1,34729,0,0,
3-D SYS CORP DEL,CMN,88554D205,8287,605365,SH,DFND,1,605365,0,0,
3-D SYS CORP DEL,CMN,88554D205,13872,1013300,SH,DFND,1,1013300,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,2882,210500,SH,DFND,1,210500,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,403,29425,SH,DFND,2,29425,0,0,
3M CO,CMN,88579Y101,183383,1047187,SH,DFND,1,990349,0,56838,
3M CO,CMN,88579Y101,36127,206300,SH,DFND,1,206300,0,0,Call
3M CO,CMN,88579Y101,32537,185800,SH,DFND,1,185800,0,0,Put
3M CO,CMN,88579Y101,260364,1486776,SH,DFND,2,1338913,0,147863,
3M CO,CMN,88579Y101,3954,22581,SH,DFND,6,22581,0,0,
500 COM LTD,CMN,33829R100,231,13921,SH,DFND,1,13921,0,0,
500 COM LTD,CMN,33829R100,40,2400,SH,DFND,1,2400,0,0,Put
500 COM LTD,CMN,33829R100,20,1200,SH,DFND,1,1200,0,0,Call
51JOB INC,CMN,316827104,804,27436,SH,DFND,1,27436,0,0,
58 COM INC,CMN,31680Q104,39009,850044,SH,DFND,1,850044,0,0,
58 COM INC,CMN,31680Q104,574,12500,SH,DFND,1,12500,0,0,Put
58 COM INC,CMN,31680Q104,463,10100,SH,DFND,1,10100,0,0,Call
