nameOfIssuer,sshPrnamt,value
CENTRAL FD CDA LTD,100104,1456
CENTRAL GARDEN & PET CO,28625,263
CENTRAL PAC FINL CORP,47419,941
CENTURY ALUM CO,112181,1759
CENTURY CASINOS INC,51759,300
CENTURYLINK INC,2903976,105124
CEPHEID,2076658,99555
CERNER CORP,3838162,197972
CERULEAN PHARMA INC,47980,278
CERUS CORP,34253,142
CEVA INC,17559,259
CF INDS HLDGS INC,374149,89994
CHAMBERS STR PPTYS,2815585,22637
CHANNELADVISOR CORP,11287,298
CHARLES RIV LABS INTL INC,111243,5953
CHART INDS INC,19336,1600
CHARTER COMMUNICATIONS INC D,683706,108286
CHASE CORP,7056,241
CHATHAM LODGING TR,14377,315
CHC GROUP LTD,52119,440
CHECK POINT SOFTWARE TECH LT,2344468,157150
CHECKPOINT SYS INC,86935,1216
CHEESECAKE FACTORY INC,407996,18939
CHEETAH MOBILE INC,119444,2537
CHEGG INC,96536,680
CHEMED CORP NEW,15409,1444
CHEMICAL FINL CORP,35408,994
CHEMTURA CORP,609983,15939
CHENIERE ENERGY INC,673236,48271
CHENIERE ENERGY PARTNERS LP,845042,27920
CHENIERE ENERGY PTNRS LP HLD,194597,4834
CHESAPEAKE ENERGY CORP,11209968,348405
CHESAPEAKE LODGING TR,4366705,132005
CHESAPEAKE UTILS CORP,7891,563
CHEVRON CORP NEW,5730829,748160
CHICAGO BRIDGE & IRON CO N V,198173,13515
CHICOS FAS INC,493784,8374
CHILDRENS PL RETAIL STORES I,64192,3186
CHIMERA INVT CORP,18979412,60544
CHINA DISTANCE ED HLDGS LTD,714553,11976
CHINA FD INC,10828,229
CHINA HGS REAL ESTATE INC,15756,41
CHINA LIFE INS CO LTD,123331,4836
CHINA LODGING GROUP LTD,36260,910
CHINA MING YANG WIND PWR GRO,150861,517
CHINA MOBILE GAMES & ENTMT G,42453,674
CHINA MOBILE LIMITED,421401,20484
CHINA PETE & CHEM CORP,70708,6720
CHINA RECYCLING ENERGY CORP,12329,22
CHINA TELECOM CORP LTD,11228,550
CHINA UNICOM (HONG KONG) LTD,36644,562
CHINDEX INTERNATIONAL INC,14709,348
CHIPMOS TECH BERMUDA LTD,21016,507
CHIPOTLE MEXICAN GRILL INC,548618,325061
CHIQUITA BRANDS INTL INC,15140,164
CHOICE HOTELS INTL INC,32838,1547
CHRISTOPHER & BANKS CORP,15488,136
CHUBB CORP,867132,79924
CHUNGHWA TELECOM CO LTD,103958,3333
CHURCH & DWIGHT INC,2110563,147634
CHURCHILL DOWNS INC,11802,1063
CHUYS HLDGS INC,463365,16820
CIBER INC,232429,1148
CIENA CORP,294042,6369
CIGNA CORPORATION,4392342,403963
CIMAREX ENERGY CO,2309371,331302
CINCINNATI BELL INC NEW,828732,3257
CINCINNATI FINL CORP,464145,22298
CINEDIGM CORP,30649,76
CINEMARK HOLDINGS INC,222746,7876
CINTAS CORP,416385,26458
CIRCOR INTL INC,583934,45039
CIRRUS LOGIC INC,381317,8671
CISCO SYS INC,30883285,767450
CIT GROUP INC,786018,35968
CITI TRENDS INC,25088,538
CITIGROUP INC,49949207,1106745
CITIZENS INC,11920,88
CITRIX SYS INC,5234811,327437
CITY HLDG CO,49292,2224
CITY NATL CORP,229037,17352
CITY OFFICE REIT INC,48428,614
CIVEO CORP,936566,23443
CLARCOR INC,63249,3912
CLAYMORE EXCHANGE TRD FD TR,2468956,98132
CLEAN ENERGY FUELS CORP,188209,2206
CLEAN HARBORS INC,70281,4516
CLEAR CHANNEL OUTDOOR HLDGS,85675,701
CLEARFIELD INC,16218,272
CLEARWATER PAPER CORP,22562,1393
CLECO CORP NEW,1735215,102291
CLIFFS NAT RES INC,603691,9086
CLIFTON BANCORP INC,12988,165
CLOROX CO DEL,727989,66538
CLOUD PEAK ENERGY INC,396325,7300
CLOVIS ONCOLOGY INC,399500,16543
CLUBCORP HLDGS INC,20861,387
CM FIN INC,27669,403
CME GROUP INC,1036484,73539
CMS ENERGY CORP,808746,25192
CNA FINL CORP,113647,4594
CNH INDL N V,3006263,30724
CNO FINL GROUP INC,5713228,101696
CNOOC LTD,45758,8204
COACH INC,1790533,61218
COBALT INTL ENERGY INC,12662887,232364
COBIZ FINANCIAL INC,1185133,12763
COCA COLA BOTTLING CO CONS,22340,1646
COCA COLA CO,12162358,515198
COCA COLA ENTERPRISES INC NE,2888307,138002
COCA COLA FEMSA S A B DE C V,13458,1529
CODEXIS INC,20155,29
COEUR MNG INC,1604072,14725
COGENT COMMUNICATIONS HLDGS,40844,1411
COGNEX CORP,50201,1928
COGNIZANT TECHNOLOGY SOLUTIO,2934279,143516
COHEN & STEERS INC,437927,18998
COHEN & STEERS INFRASTRUCTUR,83927,2055
COHEN & STEERS QUALITY RLTY,15617,176
COHERENT INC,35845,2372
COHU INC,12144,130
COLFAX CORP,57236,4267
COLGATE PALMOLIVE CO,6381372,435083
COLONY FINL INC,119867,2783
COLUMBIA BKG SYS INC,90229,2374
COLUMBIA PPTY TR INC,414604,10784
COLUMBIA SPORTSWEAR CO,71855,5939
COLUMBUS MCKINNON CORP N Y,18532,501
COMBIMATRIX CORPORATION,10889,23
COMCAST CORP NEW,14074934,755136
COMERICA INC,2133071,106995
COMFORT SYS USA INC,1352906,21376
COMMERCE BANCSHARES INC,232954,10833
COMMERCIAL METALS CO,1773300,30696
COMMERCIAL VEH GROUP INC,20177,203
COMMONWEALTH REIT,1557215,40986
COMMSCOPE HLDG CO INC,53116,1229
COMMUNITY BK SYS INC,1125257,40734
COMMUNITY FINL CORP MD,9141,217
COMMUNITY HEALTH SYS INC NEW,285145,7723
COMMUNITY TR BANCORP INC,9710,332
COMMVAULT SYSTEMS INC,590088,29015
COMPANHIA BRASILEIRA DE DIST,67806,3141
COMPANHIA DE SANEAMENTO BASI,887920,9518
COMPANHIA ENERGETICA DE MINA,1086967,8685
COMPANHIA PARANAENSE ENERG C,23298,356
COMPANHIA SIDERURGICA NACION,1332554,5676
COMPANIA DE MINAS BUENAVENTU,1463988,17289
COMPASS DIVERSIFIED HOLDINGS,99166,1800
COMPASS MINERALS INTL INC,67900,6501
COMPUGEN LTD,22518,202
COMPUTER PROGRAMS & SYS INC,33101,2105
COMPUTER SCIENCES CORP,1204996,76156
COMPUTER TASK GROUP INC,16950,279
COMPUWARE CORP,869451,8686
COMSCORE INC,91121,3233
COMSTOCK RES INC,579317,16708
COMTECH TELECOMMUNICATIONS C,24686,922
COMVERSE INC,16460,439
CON-WAY INC,123479,6224
CONAGRA FOODS INC,6730208,199754
CONATUS PHARMACEUTICALS INC,19284,176
CONCERT PHARMACEUTICALS INC,57345,579
CONCHO RES INC,242234,35002
CONCUR TECHNOLOGIES INC,564339,52675
CONMED CORP,53899,2380
CONNECTICUT WTR SVC INC,13370,453
CONNS INC,9033,446
CONOCOPHILLIPS,5674780,486499
CONSOL ENERGY INC,1110614,51166
CONSOLIDATED COMM HLDGS INC,34455,767
CONSOLIDATED EDISON INC,1501371,86690
CONSOLIDATED WATER CO INC,15104,178
CONSTANT CONTACT INC,244433,7849
CONSTELLATION BRANDS INC,1600970,141093
CONSTELLIUM NV,2509855,80466
CONTAINER STORE GROUP INC,41392,1150
CONTANGO OIL & GAS COMPANY,71597,3029
CONTINENTAL RESOURCES INC,115564,18264
CONVERGYS CORP,2335493,50073
CONVERSANT INC,330809,8403
COOPER COS INC,62989,8536
COOPER STD HLDGS INC,25642,1696
COOPER TIRE & RUBR CO,33889,1017
COPA HOLDINGS SA,126550,18043
COPART INC,152155,5472
CORCEPT THERAPEUTICS INC,163159,457
CORE LABORATORIES N V,510176,85229
CORE MARK HOLDING CO INC,21564,984
CORELOGIC INC,143053,4343
CORENERGY INFRASTRUCTURE TR,1735980,12864
CORESITE RLTY CORP,91394,3022
CORINTHIAN COLLEGES INC,238341,71
CORIUM INTL INC,777368,6040
CORMEDIX INC,10485,19
CORNERSTONE ONDEMAND INC,387970,17854
CORNING INC,8735260,191739
CORONADO BIOSCIENCES INC,232202,399
CORP RES SVCS INC,98857,295
CORPORATE EXECUTIVE BRD CO,43720,2982
CORPORATE OFFICE PPTYS TR,1885631,52439
CORRECTIONS CORP AMER NEW,136080,4470
CORVEL CORP,27279,1233
COSAN LTD,4299,58
COSTAMARE INC,189745,4425
COSTAR GROUP INC,35749,5655
COSTCO WHSL CORP NEW,5435710,625976
COTT CORP QUE,29160,206
COTY INC,29607,507
COUPONS COM INC,123614,3252
COURIER CORP,29640,442
COUSINS PPTYS INC,715741,8911
COVANCE INC,131674,11269
COVANTA HLDG CORP,259111,5340
COVIDIEN PLC,1960881,176832
COWEN GROUP INC NEW,92995,393
CPFL ENERGIA S A,1153525,20994
CRACKER BARREL OLD CTRY STOR,9366,932
CRANE CO,2636924,196081
CRAY INC,51500,1370
CREDICORP LTD,183151,28474
CREDIT ACCEP CORP MICH,5965,734
CREDIT SUISSE GROUP,756115,21451
CREDIT SUISSE NASSAU BRH,41590,1558
CREE INC,208237,10401
CRESCENT PT ENERGY CORP,1285251,56950
CRESTWOOD EQUITY PARTNERS LP,1744972,25948
CRESTWOOD MIDSTREAM PARTNERS,3115656,68762
CRH PLC,132475,3424
CROCS INC,38823,584
CROSS CTRY HEALTHCARE INC,57970,378
CROWN CASTLE INTL CORP,1711448,127620
CROWN HOLDINGS INC,172099,8564
CROWN MEDIA HLDGS INC,47884,174
CRYOLIFE INC,15142,136
CSG SYS INTL INC,18076,472
CSS INDS INC,63406,1672
CST BRANDS INC,162567,5608
CSX CORP,2718834,83767
CTC MEDIA INC,33704,371
CTI BIOPHARMA CORP,402051,1130
CTRIP COM INTL LTD,508262,32549
CTS CORP,1574182,29437
CUBESMART,5741664,105188
CUBIC CORP,688195,30632
CUBIST PHARMACEUTICALS INC,348833,19483
CUI GLOBAL INC,46528,391
CULLEN FROST BANKERS INC,292220,23208
CULP INC,17221,300
CUMMINS INC,844816,130347
CUMULUS MEDIA INC,19102,126
CURIS INC,149343,278
CURRENCYSHARES AUSTRALIAN DL,155959,14726
CURRENCYSHARES CDN DLR TR,7320,682
CURRENCYSHARES EURO TR,751361,101524
CURRENCYSHARES SWEDISH KRONA,3212,477
CURRENCYSHARES SWISS FRANC T,77022,8491
CURRENCYSHS BRIT POUND STER,17521,2950
CURRENCYSHS JAPANESE YEN TR,54953,5289
CURTISS WRIGHT CORP,66046,4330
CUTERA INC,41344,430
CVB FINL CORP,531053,8512
CVENT INC,10946,318
CVR ENERGY INC,1379153,66461
CVR PARTNERS LP,680593,12720
CVR REFNG LP,2409969,60273
CVS CAREMARK CORPORATION,4577516,345007
CYAN INC,72233,291
CYBERONICS INC,58190,3635
CYCLACEL PHARMACEUTICALS INC,136856,420
CYNOSURE INC,28907,614
CYPRESS SEMICONDUCTOR CORP,294234,3210
CYRUSONE INC,78354,1951
CYS INVTS INC,103588,935
CYTEC INDS INC,67005,7064
CYTOKINETICS INC,14997,72
CYTORI THERAPEUTICS INC,26537,63
CYTRX CORP,8847,37
D R HORTON INC,3105433,76332
DAKTRONICS INC,120374,1435
DANA HLDG CORP,503133,12286
DANAHER CORP DEL,4376492,344562
DARDEN RESTAURANTS INC,521929,24150
DARLING INGREDIENTS INC,136568,2854
DATAWATCH CORP,54670,818
DAVITA HEALTHCARE PARTNERS I,861033,62270
DAWSON GEOPHYSICAL CO,26443,757
DBX ETF TR,164102,4365
DCP MIDSTREAM PARTNERS LP,6584650,375325
DCT INDUSTRIAL TRUST INC,3179772,26107
DDR CORP,9844662,173562
DEALERTRACK TECHNOLOGIES INC,25486,1156
DEAN FOODS CO NEW,156842,2759
DECKERS OUTDOOR CORP,56201,4852
DEERE & CO,1606452,145465
DEL FRISCOS RESTAURANT GROUP,9959,274
DELAWARE INVTS DIV & INCOME,11845,124
DELEK LOGISTICS PARTNERS LP,1534308,52857
DELEK US HLDGS INC,960895,27126
DELHAIZE GROUP,154638,2607
DELIA'S INC NEW,305656,235
DELPHI AUTOMOTIVE PLC,1641933,112866
DELTA AIR LINES INC DEL,2311794,89513
DELTA APPAREL INC,27012,387
DELTA NAT GAS INC,10234,225
DELTIC TIMBER CORP,8372,506
DELUXE CORP,102560,6008
DEMAND MEDIA INC,5850483,28200
DEMANDWARE INC,79333,5503
DENALI FD INC,108779,2334
DENBURY RES INC,1898937,35054
DENDREON CORP,496431,1142
DENISON MINES CORP,83838,103
DENNYS CORP,163395,1065
DENTSPLY INTL INC NEW,665207,31498
DEPOMED INC,185847,2583
DERMA SCIENCES INC,11369,131
DESTINATION MATERNITY CORP,14542,331
DESTINATION XL GROUP INC,50484,278
DEUTSCHE BANK AG,4796716,168748
DEVON ENERGY CORP NEW,9891939,785420
DEVRY ED GROUP INC,201218,8520
DEX MEDIA INC NEW,617446,6878
DEXCOM INC,655072,25980
DHT HOLDINGS INC,91596,659
DIAGEO P L C,153265,19506
DIAMOND FOODS INC,13026,367
DIAMOND HILL INVESTMENT GROU,3652,466
DIAMOND OFFSHORE DRILLING IN,505180,25072
DIAMOND RESORTS INTL INC,1413444,32891
DIAMONDBACK ENERGY INC,123441,10962
DIAMONDROCK HOSPITALITY CO,467295,5991
DIANA CONTAINERSHIPS INC,114522,290
DIANA SHIPPING INC,77083,840
DICKS SPORTING GOODS INC,2459328,114506
DIEBOLD INC,83880,3370
DIGI INTL INC,1168246,11004
DIGITAL RIV INC,46881,723
DIGITAL RLTY TR INC,1808581,105477
DIGITALGLOBE INC,141128,3923
DILLARDS INC,68588,7998
DIME CMNTY BANCSHARES,895446,14139
DINEEQUITY INC,31592,2511
DIODES INC,199173,5768
DIRECTV,2613600,222183
DIREXION SHS ETF TR,2102754,85772
DISCOVER FINL SVCS,2060593,127715
DISCOVERY COMMUNICATNS NEW,2684301,199100
DISCOVERY LABORATORIES INC N,138201,246
DISH NETWORK CORP,392532,25546
DISNEY WALT CO,6405582,549215
DIVERSIFIED RSTRNT HLDGS INC,50071,239
DOCUMENT SEC SYS INC,10364,14
DOLBY LABORATORIES INC,72091,3115
DOLLAR GEN CORP NEW,4922503,282354
DOLLAR TREE INC,1260813,68664
DOMINION DIAMOND CORP,88548,1280
DOMINION RES INC VA NEW,2172965,153645
DOMINOS PIZZA INC,187056,13672
DOMTAR CORP,345778,14817
DONALDSON INC,398429,16861
DONNELLEY R R & SONS CO,2141033,36312
DORAL FINL CORP,51330,222
DORCHESTER MINERALS LP,11082,338
DORIAN LPG LTD,16650,383
DORMAN PRODUCTS INC,12088,596
DOT HILL SYS CORP,74475,350
DOUGLAS EMMETT INC,1117385,31533
DOVER CORP,531110,48305
DOW CHEM CO,7419385,381801
DR PEPPER SNAPPLE GROUP INC,885409,51867
DR REDDYS LABS LTD,48539,2094
DREAMWORKS ANIMATION SKG INC,123380,2869
DRESSER-RAND GROUP INC,189889,12102
DREW INDS INC,27597,1380
DREYFUS HIGH YIELD STRATEGIE,27459,119
DRIL-QUIP INC,1941322,212070
DRYSHIPS INC,1150680,3705
DS HEALTHCARE GROUP INC,17367,30
DSP GROUP INC,58444,496
DST SYS INC DEL,101516,9356
DSW INC,209481,5853
DTE ENERGY CO,878250,68389
DTF TAX-FREE INCOME INC,19337,315
DU PONT E I DE NEMOURS & CO,4489365,293784
DUCOMMUN INC DEL,21650,566
DUKE ENERGY CORP NEW,2447239,181561
DUKE REALTY CORP,4614528,83800
DUN & BRADSTREET CORP DEL NE,1079130,118920
DUNKIN BRANDS GROUP INC,1162390,53249
DUPONT FABROS TECHNOLOGY INC,3364219,90700
DURATA THERAPEUTICS INC,6685,114
DURECT CORP,26846,49
DWS MUN INCOME TR,94677,1291
DXP ENTERPRISES INC NEW,7750,586
DYAX CORP,514804,4942
DYCOM INDS INC,28281,885
DYNAGAS LNG PARTNERS LP,2991179,72536
DYNAMIC MATLS CORP,10326,229
DYNAVAX TECHNOLOGIES CORP,57406,91
DYNEGY INC NEW DEL,1489773,45686
E HOUSE CHINA HLDGS LTD,53828,466
E M C CORP MASS,51454580,1355314
E TRADE FINANCIAL CORP,2253810,47916
E-COMMERCE CHINA DANGDANG IN,252870,3383
EAGLE BANCORP INC MD,683845,23080
EAGLE BULK SHIPPING INC,52792,163
EAGLE MATERIALS INC,99123,9346
EAGLE ROCK ENERGY PARTNERS L,617313,3074
EARTHLINK HLDGS CORP,120675,449
EAST WEST BANCORP INC,302970,10601
EASTGROUP PPTY INC,63364,4069
EASTMAN CHEM CO,1525722,133272
EASTMAN KODAK CO,63960,1565
EATON CORP PLC,1707518,131785
EATON VANCE CORP,267423,10106
EATON VANCE NEW YORK MUN BD,45099,564
EATON VANCE TAX ADVT DIV INC,19630,406
EATON VANCE TX MNG BY WRT OP,27023,399
EATON VANCE TXMGD GL BUYWR O,15639,200
EBAY INC,18685853,935415
EBIX INC,132951,1903
ECHELON CORP,88775,216
ECHOSTAR CORP,345499,18291
ECOLAB INC,1063816,118445
ECOPETROL S A,719889,25951
EDISON INTL,4272023,248247
EDUCATION MGMT CORP NEW,54368658,91883
EDUCATION RLTY TR INC,388238,4169
EDWARDS LIFESCIENCES CORP,239140,20528
EGA EMERGING GLOBAL SHS TR,19512,541
EGAIN CORP,40134,272
EHEALTH INC,13732,521
EINSTEIN NOAH REST GROUP INC,12622,203
EL PASO ELEC CO,1628405,65478
EL PASO PIPELINE PARTNERS L,2128597,77119
ELBIT IMAGING LTD,423828,78
ELBIT SYS LTD,14796,910
ELDORADO GOLD CORP NEW,1328456,10150
ELECTRO RENT CORP,52625,881
ELECTRO SCIENTIFIC INDS,16490,112
ELECTRONIC ARTS INC,2298475,82446
ELECTRONICS FOR IMAGING INC,1434753,64851
ELIZABETH ARDEN INC,123688,2649
ELLIE MAE INC,23408,728
ELLINGTON FINANCIAL LLC,30765,738
ELLINGTON RESIDENTIAL MTG RE,13995,238
ELLIS PERRY INTL INC,12117,211
EMBOTELLADORA ANDINA S A,18358,416
EMBRAER S A,152839,5568
EMCOR GROUP INC,1490835,66387
EMCORE CORP,12552,52
EMERALD OIL INC,318344,2435
EMERGE ENERGY SVCS LP,1583394,167523
EMERGENT BIOSOLUTIONS INC,289307,6498
EMERITUS CORP,69967,2215
EMERSON ELEC CO,2842949,188658
EMPIRE DIST ELEC CO,72169,1853
EMPIRE RESORTS INC,18158,130
EMPIRE ST RLTY TR INC,139972,2310
EMPLOYERS HOLDINGS INC,43436,920
EMPRESA DIST Y COMERCIAL NOR,33394,421
EMPRESA NACIONAL DE ELCTRCID,82439,3727
EMPRESAS ICA S A DE CV,11614,91
EMULEX CORP,1448825,8258
ENABLE MIDSTREAM PARTNERS LP,8089,212
ENANTA PHARMACEUTICALS INC,4999,215
ENBRIDGE ENERGY MANAGEMENT L,937225,33037
ENBRIDGE ENERGY PARTNERS L P,414663,15313
ENBRIDGE INC,1169955,55538
ENCANA CORP,1537880,36464
ENCORE CAP GROUP INC,49428,2245
ENCORE WIRE CORP,17206,844
ENDEAVOUR INTL CORP,212621,291
ENDEAVOUR SILVER CORP,23684,129
ENDO INTL PLC,2825137,197816
ENDOCYTE INC,100884,665
ENDOLOGIX INC,2439202,37101
ENDURANCE INTL GROUP HLDGS I,20852775,318839
ENDURANCE SPECIALTY HLDGS LT,890909,45962
ENDURO RTY TR,293961,4065
ENERGEN CORP,280331,24916
ENERGIZER HLDGS INC,1969923,240390
ENERGY RECOVERY INC,81216,400
ENERGY TRANSFER EQUITY L P,18700483,1102206
ENERGY TRANSFER PRTNRS L P,4061092,235421
ENERGY XXI BERMUDA LTD,314886,7441
ENERNOC INC,15417,292
ENERPLUS CORP,320438,8068
ENERSIS S A,199300,3357
ENERSYS,42500,2924
ENGILITY HLDGS INC,96912,3708
ENI S P A,766053,42057
ENLINK MIDSTREAM LLC,144334,6013
ENLINK MIDSTREAM PARTNERS LP,46286,1455
ENNIS INC,29499,450
ENPHASE ENERGY INC,10127,87
ENPRO INDS INC,72647,5315
ENSCO PLC,1043196,57971
ENSIGN GROUP INC,49901,1551
ENSTAR GROUP LIMITED,803803,121157
ENTEGRIS INC,4644347,63837
ENTERCOM COMMUNICATIONS CORP,322106,3456
ENTERGY CORP NEW,1464089,120187
ENTEROMEDICS INC,34039,53
ENTERPRISE PRODS PARTNERS L,13189312,1032591
ENTRAVISION COMMUNICATIONS C,12179,76
ENTROPIC COMMUNICATIONS INC,78905,263
ENVESTNET INC,37029,1811
ENVISION HEALTHCARE HLDGS IN,107700,3868
ENVIVIO INC,13800,33
ENZO BIOCHEM INC,100278,526
ENZON PHARMACEUTICALS INC,433520,450
ENZYMOTEC LTD,50369,684
EOG RES INC,2140841,250179
EP ENERGY CORP,182869,4215
EPAM SYS INC,44266,1937
EPIQ SYS INC,34218,480
EPIZYME INC,7160,223
EPLUS INC,7953,463
EPR PPTYS,1468279,82033
EQT CORP,510869,54612
EQT MIDSTREAM PARTNERS LP,4043143,391134
EQUIFAX INC,236416,17149
EQUINIX INC,3066500,644241
EQUITY LIFESTYLE PPTYS INC,720042,31798
EQUITY ONE,283913,6697
EQUITY RESIDENTIAL,2241638,141223
ERA GROUP INC,21922,629
ERICKSON INC,21073,342
ERICSSON,1193954,14423
ERIE INDTY CO,9811,738
ESCO TECHNOLOGIES INC,29808,1033
ESSA BANCORP INC,27389,305
ESSENT GROUP LTD,6038745,121318
ESSEX PPTY TR INC,411058,76009
ESTERLINE TECHNOLOGIES CORP,933199,107430
ETFS ASIAN GOLD TR,2160,279
ETFS GOLD TR,3512,458
ETFS PRECIOUS METALS BASKET,9358,678
ETFS SILVER TR,14005,291
ETHAN ALLEN INTERIORS INC,171102,4234
EURONET WORLDWIDE INC,101418,4892
EV ENERGY PARTNERS LP,4769,189
EVERBANK FINL CORP,61821,1247
EVERCORE PARTNERS INC,77013,4439
EVEREST RE GROUP LTD,1384754,222240
EVERTEC INC,1087497,26361
EVERYDAY HEALTH INC,1173207,21681
EVOGENE LTD,236341,3871
EVOLUTION PETROLEUM CORP,16987,186
EVRYWARE GLOBAL INC,41517,54
EXACT SCIENCES CORP,2697037,45931
EXACTECH INC,12355,312
EXAMWORKS GROUP INC,54592,1732
EXAR CORP,17177,194
EXCEL TR INC,36459,486
EXCO RESOURCES INC,395895,2332
EXELIS INC,622575,10571
EXELIXIS INC,2842003,9634
EXELON CORP,18315081,668134
EXETER RES CORP,85927,61
EXFO INC,171443,823
EXLSERVICE HOLDINGS INC,42950,1265
EXONE CO,70084,2777
EXPEDIA INC DEL,2855683,224914
EXPEDITORS INTL WASH INC,891296,39360
EXPONENT INC,20202,1497
EXPRESS INC,152633,2599
EXPRESS SCRIPTS HLDG CO,2342394,162398
EXTENDED STAY AMER INC,36448,844
EXTERRAN HLDGS INC,122172,5496
EXTERRAN PARTNERS LP,10313,292
EXTRA SPACE STORAGE INC,808970,43077
EXTREME NETWORKS INC,4138038,18373
EXXON MOBIL CORP,19497677,1963026
EZCORP INC,300039,3465
F M C CORP,427176,30411
F5 NETWORKS INC,448608,49992
FAB UNVL CORP,74501,229
FABRINET,54711,1127
FACEBOOK INC,10811885,727531
FACTSET RESH SYS INC,53325,6414
FAIR ISAAC CORP,69052,4402
FAIRCHILD SEMICONDUCTOR INTL,3124813,48747
FAIRWAY GROUP HLDGS CORP,16744,111
FALCONSTOR SOFTWARE INC,27397,47
FAMILY DLR STORES INC,640153,42340
FAMOUS DAVES AMER INC,11163,320
FARMERS CAP BK CORP,12089,273
FARMERS NATL BANC CORP,32994,257
FARO TECHNOLOGIES INC,5661,278
FASTENAL CO,799805,39582
FATE THERAPEUTICS INC,67877,428
FBL FINL GROUP INC,15548,715
FEDERAL AGRIC MTG CORP,11394,288
FEDERAL MOGUL HOLDINGS CORP,13025,263
FEDERAL REALTY INVT TR,208046,25158
FEDERATED INVS INC PA,451012,13945
FEDERATED PREM INTR MUN INC,17499,231
FEDEX CORP,1822581,275903
FEI CO,47580,4317
FELCOR LODGING TR INC,363400,3820
FERRELLGAS PARTNERS L.P.,15000,410
FERRO CORP,51798,651
FIBROCELL SCIENCE INC,62068,248
FIDELITY,72745,2079
FIDELITY & GTY LIFE,777429,18612
FIDELITY NATIONAL FINANCIAL,3131102,103452
FIDELITY NATL INFORMATION SV,1008443,55202
FIDUS INVT CORP,14526,298
FIESTA RESTAURANT GROUP INC,85523,3969
FIFTH STREET FINANCE CORP,623697,6131
FIFTH THIRD BANCORP,3561814,76045
FINANCIAL ENGINES INC,45285,2050
FINANCIAL INSTNS INC,10176,238
FINISAR CORP,92389,1824
FINISH LINE INC,229031,6812
FIREEYE INC,33395,1354
FIRST AMERN FINL CORP,227622,6326
FIRST BANCORP INC ME,20215,353
FIRST BANCORP P R,256568,1396
FIRST BUSEY CORP,67804,394
FIRST CASH FINL SVCS INC,531734,30623
FIRST CMNTY BANCSHARES INC N,10942,157
FIRST COMWLTH FINL CORP PA,194692,1795
FIRST CTZNS BANCSHARES INC N,4866,1192
FIRST DEFIANCE FINL CORP,9198,264
FIRST FINANCIAL NORTHWEST IN,38905,423
FIRST FINL BANCORP OH,148434,2554
FIRST FINL BANKSHARES,1551036,48656
FIRST FINL CORP IND,16548,533
FIRST HORIZON NATL CORP,2206491,26169
FIRST INDUSTRIAL REALTY TRUS,509166,9592
FIRST INTST BANCSYSTEM INC,179221,4871
FIRST LONG IS CORP,274834,10741
FIRST MAJESTIC SILVER CORP,239456,2588
FIRST MARBLEHEAD CORP,36811,193
FIRST MERCHANTS CORP,79138,1673
FIRST MIDWEST BANCORP DEL,1873105,31899
FIRST NBC BK HLDG CO,21970,736
FIRST NIAGARA FINL GP INC,1123566,9820
FIRST POTOMAC RLTY TR,161946,2125
FIRST REP BK SAN FRANCISCO C,5223979,287267
FIRST SEC GROUP INC,217188,471
FIRST SOLAR INC,205815,14625
FIRST SOUTH BANCORP INC VA,29334,234
FIRST TR EXCH TRD ALPHA FD I,96676,3920
FIRST TR EXCHANG TRADED FD I,50000,2500
FIRST TR EXCHANGE TRADED FD,2019975,89519
FIRST TR EXCNGE TRD ALPHADEX,64989,1884
FIRST TR HIGH INCOME L/S FD,10214,185
FIRST TR ISE REVERE NAT GAS,11187,264
FIRST TR LRG CP GRWTH ALPHAD,62195,2726
FIRST TR LRGE CP CORE ALPHA,130511,5784
FIRST TR MID CAP CORE ALPHAD,15397,823
FIRST TR MULTI CAP VALUE ALP,56773,2669
FIRST TR NAS100 EQ WEIGHTED,147104,5736
FIRST TR STOXX EURO DIV FD,53969,816
FIRST TR US IPO INDEX FD,10929,526
FIRST TR VALUE LINE DIVID IN,16053,367
FIRSTENERGY CORP,14505650,503636
FIRSTHAND TECH VALUE FD INC,16154,343
FIRSTMERIT CORP,464757,9179
FIRSTSERVICE CORP,26693,1350
FISERV INC,927667,55957
FIVE BELOW INC,4071745,162504
FIVE OAKS INVT CORP,18008,203
FIVE PRIME THERAPEUTICS INC,506789,7881
FIVE STAR QUALITY CARE INC,135767,680
FLAHERTY&CRMN PFD SEC INCOM,10351,203
FLEETCOR TECHNOLOGIES INC,1273097,167794
FLEETMATICS GROUP PLC,10975,355
FLEXSTEEL INDS INC,8820,294
FLEXTRONICS INTL LTD,3844024,42552
FLIR SYS INC,376087,13062
FLOTEK INDS INC DEL,37696,1212
FLOWERS FOODS INC,239008,5039
FLOWSERVE CORP,1366023,101564
FLUIDIGM CORP DEL,51547,1515
FLUOR CORP NEW,1007659,77489
FLUSHING FINL CORP,1281359,26332
FMC TECHNOLOGIES INC,589954,36028
FNB CORP PA,266433,3415
FOMENTO ECONOMICO MEXICANO S,445685,41739
FOOT LOCKER INC,824545,41821
FORCEFIELD ENERGY,113435,602
FORD MTR CO DEL,11223380,193491
FOREST CITY ENTERPRISES INC,369142,7335
FOREST LABS INC,868245,85956
FOREST OIL CORP,611482,1394
FORESTAR GROUP INC,14623,279
FORMFACTOR INC,94568,787
FORRESTER RESH INC,27757,1052
