nameOfIssuer,sprice,sshPrnamt
1 800 FLOWERS COM,9.01724393498,80956
1ST CENTURY BANCSHARES INC,11.2359550562,21449
1ST SOURCE CORP,32.3845327605,55860
21VIANET GROUP INC,10.2104202478,843550
2U INC,29.3990613032,34729
3-D SYS CORP DEL,13.6895666283,634790
3M CO,175.119614605,2556544
500 COM LTD,16.5936355147,13921
51JOB INC,29.3045633474,27436
58 COM INC,45.8910524329,1073085
8X8 INC NEW,14.6054278036,97498
A H BELO CORP,5.02183406114,13740
A10 NETWORKS INC,6.46588813768,81350
AAON INC,27.5445960126,7624
AAR CORP,23.3556411816,29586
AARONS INC,21.8892417191,701943
ABAXIS INC,47.278338945,7128
ABB LTD,19.8305649855,659840
ABBOTT LABS,39.3099867726,22061722
ABBVIE INC,61.9100336226,6231817
ABEONA THERAPEUTICS INC,2.33684810487,17545
ABERCROMBIE & FITCH CO,17.8097422978,1065765
ABIOMED INC,109.290967761,550384
ABM INDS INC,36.4798947243,2021360
ABRAXAS PETE CORP,1.12908523567,146136
ACACIA COMMUNICATIONS INC,39.9035663812,12029
ACACIA RESH CORP,4.39665770665,95982
ACADIA HEALTHCARE COMPANY IN,55.3999968361,1074621
ACADIA PHARMACEUTICALS INC,32.4586819753,332361
ACADIA RLTY TR,35.5197645965,3049063
ACCELERON PHARMA INC,33.9790920038,416874
ACCENTURE PLC IRELAND,113.289983055,3326084
ACCO BRANDS CORP,10.3315062398,247205
ACCURAY INC,5.1877856758,115078
ACCURIDE CORP NEW,1.24259395991,166587
ACETO CORP,21.8725368765,35524
ACHAOGEN INC,3.80863549804,25731
ACHILLION PHARMACEUTICALS IN,7.79996657229,3978735
ACI WORLDWIDE INC,19.5119208277,213408
ACORDA THERAPEUTICS INC,25.5069611039,292626
ACTIVISION BLIZZARD INC,39.6296517196,2850290
ACTUA CORP,9.03139986698,28567
ACTUANT CORP,22.6090129703,443938
ACUITY BRANDS INC,247.957341231,153966
ACXIOM CORP,21.9844951455,95067
ADAMAS PHARMACEUTICALS INC,15.1272610853,12494
ADAPTIMMUNE THERAPEUTICS PLC,8.17410851129,19574
ADCARE HEALTH SYSTEMS INC,1.83966809801,1129008
ADECOAGRO S A,10.9692299038,71108
ADEPTUS HEALTH INC,51.6596637048,653295
ADESTO TECHNOLOGIES CORP,3.31355475071,12977
ADOBE SYS INC,95.7902263252,2050324
ADTRAN INC,18.6531349214,148983
ADURO BIOTECH INC,11.2921852945,23379
ADVANCE AUTO PARTS INC,161.630198397,764226
ADVANCED DRAIN SYS INC DEL,27.3339990015,8012
ADVANCED ENERGY INDS,37.9603810852,344280
ADVANCED MICRO DEVICES INC,5.13986873711,2114840
ADVANCED SEMICONDUCTOR ENGR,5.58273614974,49259
ADVANTAGE OIL & GAS LTD,5.58744155992,78927
ADVAXIS INC,8.06913674561,20944
ADVERUM BIOTECHNOLOGIES INC,3.16455696203,67624
ADVISORSHARES TR,26.5936054695,19892
ADVISORY BRD CO,35.3905110533,69934
AECOM,31.7703049371,740251
AEGEAN MARINE PETROLEUM NETW,5.49814972075,161327
AEGERION PHARMACEUTICALS INC,1.49070874171,282416
AEGION CORP,19.5096550815,295751
AEGLEA BIOTHERAPEUTICS INC,4.85471422983,56234
AEGON N V,4.00965046698,556657
AEMETIS INC,2.27665253572,25476
AEP INDS INC,80.496054115,4435
AERCAP HOLDINGS NV,33.5902449403,1362985
AERIE PHARMACEUTICALS INC,17.5994306325,455242
AEROHIVE NETWORKS INC,6.61179328026,14822
AEROJET ROCKETDYNE HLDGS INC,18.2996919399,21749
AEROVIRONMENT INC,27.799713809,842095
AES CORP,12.4799321437,7210536
AETNA INC NEW,122.130239968,2027565
AFFILIATED MANAGERS GROUP,140.770474832,1701003
AFFIMED N V,2.482740946,62431
