nameOfIssuer,sshPrnamt,value
1 800 FLOWERS COM,20247,146
1ST SOURCE CORP,38302,1091
1ST UNITED BANCORP INC FLA,20331,173
21VIANET GROUP INC,106648,1920
22ND CENTY GROUP INC,41331,104
3-D SYS CORP DEL,1777800,82437
3M CO,2126198,301240
500 COM LTD,100901,3403
58 COM INC,2582538,96199
8X8 INC NEW,16359,109
A H BELO CORP,11514,123
A10 NETWORKS INC,496819,4526
AAON INC,10928,186
AAR CORP,136510,3296
AARONS INC,129462,3148
ABAXIS INC,5322,270
ABB LTD,833387,18676
ABBOTT LABS,15458034,642900
ABBVIE INC,10136368,585478
ABENGOA YIELD PLC,11193,398
ABERCROMBIE & FITCH CO,305977,11119
ABERDEEN ASIA PACIFIC INCOM,27043,160
ABIOMED INC,32426,805
ABM INDS INC,32566,837
ABRAXAS PETE CORP,176755,933
ACACIA RESH CORP,30229,468
ACADIA HEALTHCARE COMPANY IN,533375,25868
ACADIA PHARMACEUTICALS INC,231225,5725
ACADIA RLTY TR,2714170,74857
ACCELERATE DIAGNOSTICS INC,146336,3143
ACCENTURE PLC IRELAND,2210783,179781
ACCESS MIDSTREAM PARTNERS L,9804521,623959
ACCESS NATL CORP,21754,353
ACCO BRANDS CORP,178133,1229
ACCURAY INC,254310,1846
ACCURIDE CORP NEW,22289,84
ACE LTD,3326959,348898
ACETO CORP,12027,232
ACHILLION PHARMACEUTICALS IN,3613104,36059
ACI WORLDWIDE INC,232525,4362
ACORDA THERAPEUTICS INC,236271,8004
ACORN ENERGY INC,46697,72
ACTAVIS PLC,1262515,304620
ACTIVISION BLIZZARD INC,2477057,51499
ACTUA CORP,16751,268
ACTUANT CORP,2105089,64247
ACTUATE CORP,278544,1086
ACUITY BRANDS INC,128306,15103
ACURA PHARMACEUTICALS INC,23899,19
ACXIOM CORP,189484,3136
ADAMAS PHARMACEUTICALS INC,13988,260
ADAMIS PHARMACEUTICALS CORP,84162,394
ADAMS EXPRESS CO,91922,1281
ADEPT TECHNOLOGY INC,30000,252
ADEPTUS HEALTH INC,903118,22488
ADOBE SYS INC,2479723,171572
ADTRAN INC,1246803,25597
ADVANCE AUTO PARTS INC,510160,66474
ADVANCED DRAIN SYS INC DEL,196130,4109
ADVANCED ENERGY INDS,106741,2006
ADVANCED MICRO DEVICES INC,4202402,14330
ADVANCED SEMICONDUCTOR ENGR,116169,687
ADVANTAGE OIL & GAS LTD,51467,262
ADVENT SOFTWARE INC,139283,4396
ADVISORSHARES TR,23904,702
ADVISORY BRD CO,150888,7030
AECOM TECHNOLOGY CORP DELAWA,341914,11540
AEGERION PHARMACEUTICALS INC,301895,10077
AEGION CORP,19767,440
AEGON N V,586550,4822
AEMETIS INC,121485,1054
AERCAP HOLDINGS NV,206019,8426
AERIE PHARMACEUTICALS INC,488329,10104
AEROHIVE NETWORKS INC,673606,5402
AEROPOSTALE,87064,287
AEROVIRONMENT INC,503506,15140
AES CORP,3474556,49269
AETNA INC NEW,1708119,138358
AFFILIATED MANAGERS GROUP,458003,91766
AFFYMETRIX INC,270505,2158
AFLAC INC,834627,48617
AG MTG INVT TR INC,45373,808
AGCO CORP,346978,15773
AGENUS INC,209450,651
AGILE THERAPEUTICS INC,83824,612
AGILENT TECHNOLOGIES INC,9918733,565170
AGILYSYS INC,22438,263
AGIOS PHARMACEUTICALS INC,20412,1252
AGL RES INC,429718,22062
AGNICO EAGLE MINES LTD,548806,15933
AGRIUM INC,385125,34276
AIR LEASE CORP,261975,8514
AIR METHODS CORP,636816,35376
AIR PRODS & CHEMS INC,534142,69535
AIRCASTLE LTD,173069,2832
AIRGAS INC,1979179,218996
AIXTRON SE,139486,2110
AK STL HLDG CORP,7060945,56558
AKAMAI TECHNOLOGIES INC,574524,34356
AKORN INC,36580,1327
ALAMO GROUP INC,7298,299
ALAMOS GOLD INC,287371,2287
ALASKA AIR GROUP INC,801401,34893
ALASKA COMMUNICATIONS SYS GR,115984,182
ALBANY INTL CORP,19769,673
ALBANY MOLECULAR RESH INC,16843,372
ALBEMARLE CORP,229481,13517
ALCATEL-LUCENT,2142671,6492
ALCOA INC,3818769,64662
ALCOBRA LTD,13675,211
ALERE INC,101815,3948
ALEXANDER & BALDWIN INC NEW,76657,2757
ALEXANDERS INC,4373,1635
ALEXANDRIA REAL ESTATE EQ IN,297015,21905
ALEXION PHARMACEUTICALS INC,683724,113375
ALEXZA PHARMACEUTICALS INC,486134,1133
ALIBABA GROUP HLDG LTD,1908058,169530
ALIGN TECHNOLOGY INC,502015,25944
ALIMERA SCIENCES INC,143978,780
ALKERMES PLC,538506,23086
ALLEGHANY CORP DEL,41386,17305
ALLEGHENY TECHNOLOGIES INC,216614,8036
ALLEGIANT TRAVEL CO,20679,2557
