nameOfIssuer,sshPrnamt,value
ALLEGION PUB LTD CO,434486,20699
ALLERGAN INC,1076487,191819
ALLETE INC,1120633,49745
ALLIANCE DATA SYSTEMS CORP,119209,29596
ALLIANCE FIBER OPTIC PRODS I,16445,204
ALLIANCE HEALTHCARE SRVCS IN,11333,256
ALLIANCE HOLDINGS GP LP,808195,55151
ALLIANCE NEW YORK MUN INC FD,13822,174
ALLIANCE ONE INTL INC,179342,353
ALLIANCE RES PARTNER L P,757592,32456
ALLIANCEBERNSTEIN GBL HGH IN,10057,137
ALLIANCEBERNSTEIN HOLDING LP,782286,20347
ALLIANCEBERNSTEIN INCOME FUN,438098,3286
ALLIANT ENERGY CORP,499349,27669
ALLIANT TECHSYSTEMS INC,1315287,167884
ALLIANZGI NFJ DIVID INT & PR,21375,391
ALLIED HEALTHCARE PRODS INC,21969,44
ALLIED NEVADA GOLD CORP,2098199,6945
ALLIED WRLD ASSUR COM HLDG A,1555173,57293
ALLISON TRANSMISSION HLDGS I,139269,3967
ALLSCRIPTS HEALTHCARE SOLUTN,8356031,112096
ALLSTATE CORP,1365221,83783
ALLY FINL INC,438308,10142
ALNYLAM PHARMACEUTICALS INC,571105,44604
ALON USA ENERGY INC,1289558,18518
ALON USA PARTNERS LP,931964,16505
ALPHA & OMEGA SEMICONDUCTOR,28151,265
ALPHA NATURAL RESOURCES INC,132252,328
ALPHA PRO TECH LTD,15467,50
ALPHATEC HOLDINGS INC,99712,170
ALPINE TOTAL DYNAMIC DIVID F,34581,294
ALPS ETF TR,6861541,131535
ALTERA CORP,8725575,312201
ALTISOURCE ASSET MGMT CORP,10515,7098
ALTISOURCE PORTFOLIO SOLNS S,5475,552
ALTISOURCE RESIDENTIAL CORP,12844,308
ALTRA INDL MOTION CORP,13940,406
ALTRIA GROUP INC,6095717,280037
ALUMINUM CORP CHINA LTD,16002,162
AMAG PHARMACEUTICALS INC,95723,3055
AMARIN CORP PLC,453460,494
AMAZON COM INC,2844984,917338
AMBAC FINL GROUP INC,21481,475
AMBARELLA INC,19708,861
AMBER RD INC,2316274,40164
AMBEV SA,4821458,31580
AMC ENTMT HLDGS INC,31345,721
AMC NETWORKS INC,2895966,169183
AMDOCS LTD,467762,21461
AMEDICA CORP,82403,133
AMEDISYS INC,13546,273
AMER RLTY CAP HEALTHCAR TR I,65423,686
AMERCO,12455,3262
AMEREN CORP,1264385,48464
AMERESCO INC,14707,101
AMERICA MOVIL SAB DE CV,5036829,126928
AMERICAN AIRLS GROUP INC,1670793,59280
AMERICAN APPAREL INC,224727,184
AMERICAN ASSETS TR INC,218970,7220
AMERICAN AXLE & MFG HLDGS IN,2144734,35968
AMERICAN CAMPUS CMNTYS INC,1867284,68062
AMERICAN CAP LTD,1266277,17930
AMERICAN CAP MTG INVT CORP,37046,697
AMERICAN CAP SR FLOATING LTD,22069,287
AMERICAN CAPITAL AGENCY CORP,1466078,31154
AMERICAN EAGLE OUTFITTERS NE,363671,5280
AMERICAN ELEC PWR INC,1816546,94843
AMERICAN EQTY INVT LIFE HLD,3943098,90219
AMERICAN EXPRESS CO,2257547,197625
AMERICAN FINL GROUP INC OHIO,197599,11439
AMERICAN HOMES 4 RENT,277114,4681
AMERICAN INTL GROUP INC,12545857,677283
AMERICAN MIDSTREAM PARTNERS,980761,28511
AMERICAN NATL INS CO,7946,893
AMERICAN PUBLIC EDUCATION IN,35723,964
AMERICAN RAILCAR INDS INC,17281,1277
AMERICAN RESIDENTIAL PPTYS I,18381,337
AMERICAN RLTY CAP PPTYS INC,3807557,45919
AMERICAN SCIENCE & ENGR INC,30692,1700
AMERICAN SOFTWARE INC,17386,153
AMERICAN STS WTR CO,66408,2021
AMERICAN SUPERCONDUCTOR CORP,385213,543
AMERICAN TOWER CORP NEW,8040488,753579
AMERICAN WOODMARK CORP,21387,788
AMERICAN WTR WKS CO INC NEW,313049,15098
AMERICAS CAR MART INC,5395,214
AMERIGAS PARTNERS L P,452816,20657
AMERIPRISE FINL INC,1358671,167633
AMERIS BANCORP,25083,551
AMERISAFE INC,391895,15327
AMERISOURCEBERGEN CORP,667660,51610
AMETEK INC NEW,2752968,138227
AMGEN INC,6226510,874575
AMICUS THERAPEUTICS INC,87922,523
AMKOR TECHNOLOGY INC,186843,1572
AMN HEALTHCARE SERVICES INC,34339,539
AMPCO-PITTSBURGH CORP,18682,374
AMPHASTAR PHARMACEUTICALS IN,82223,958
AMPHENOL CORP NEW,2124488,212152
AMREIT INC NEW,11479,264
AMSURG CORP,53683,2687
AMTRUST FINL SVCS INC,222958,8879
AMYRIS INC,13006,49
ANACOR PHARMACEUTICALS INC,70677,1729
ANADARKO PETE CORP,3722624,377623
ANADIGICS INC,252248,170
ANALOG DEVICES INC,4207111,208210
ANALOGIC CORP,6733,431
ANDERSONS INC,35063,2205
ANGIES LIST INC,40845,260
ANGIODYNAMICS INC,157719,2164
ANGLOGOLD ASHANTI LTD,2954476,35454
ANHEUSER BUSCH INBEV SA/NV,578361,64112
ANIKA THERAPEUTICS INC,47790,1752
ANIXTER INTL INC,586776,49782
ANN INC,170186,7000
ANNALY CAP MGMT INC,1514055,16170
ANNIES INC,365528,16778
ANSYS INC,371679,28125
ANTARES PHARMA INC,95654,175
ANTERO RES CORP,70471,3868
ANWORTH MORTGAGE ASSET CP,816984,3913
AOL INC,2712690,121935
AON PLC,521211,45694
APACHE CORP,2743569,257539
APARTMENT INVT & MGMT CO,1150424,36606
APCO OIL & GAS INTERNATIONAL,19505,251
API TECHNOLOGIES CORP,106993,251
APOGEE ENTERPRISES INC,13928,554
APOLLO COML REAL EST FIN INC,3203865,50332
APOLLO ED GROUP INC,770256,19372
APOLLO GLOBAL MGMT LLC,1767619,42140
APOLLO INVT CORP,2952653,24123
APOLLO RESIDENTIAL MTG INC,173178,2672
APPLE INC,56739883,5716542
APPLIED INDL TECHNOLOGIES IN,993998,45376
APPLIED MATLS INC,8087795,174777
APPLIED MICRO CIRCUITS CORP,27972,196
APPROACH RESOURCES INC,56001,812
APTARGROUP INC,98936,6006
AQUA AMERICA INC,463930,10916
ARADIGM CORP,66177,635
ARAMARK,34832553,916096
ARATANA THERAPEUTICS INC,318072,3194
ARBOR RLTY TR INC,19369,131
ARC DOCUMENT SOLUTIONS INC,16880,137
ARCA BIOPHARMA INC,12151,15
ARCBEST CORP,258806,9653
ARCELORMITTAL SA LUXEMBOURG,12700169,182593
ARCH CAP GROUP LTD,254559,13929
ARCH COAL INC,2636632,5590
ARCHER DANIELS MIDLAND CO,2052996,104908
ARCOS DORADOS HOLDINGS INC,1451198,8678
ARDELYX INC,29795,423
ARENA PHARMACEUTICALS INC,190598,799
ARES CAP CORP,2445098,39513
ARES MGMT L P,11084,194
ARGAN INC,46226,1543
ARGO GROUP INTL HLDGS LTD,127543,6417
ARIAD PHARMACEUTICALS INC,843257,4553
ARISTA NETWORKS INC,2481,219
ARM HLDGS PLC,252521,11033
ARMOUR RESIDENTIAL REIT INC,409968,1578
ARMSTRONG WORLD INDS INC NEW,2567243,143766
ARQULE INC,218444,245
ARRAY BIOPHARMA INC,308759,1102
ARRIS GROUP INC NEW,310616,8807
ARROW ELECTRS INC,422177,23368
ARROW FINL CORP,15061,378
ARROWHEAD RESH CORP,78509,1160
ARTISAN PARTNERS ASSET MGMT,142487,7416
ARUBA NETWORKS INC,112663,2432
ASANKO GOLD INC,2255639,4691
ASBURY AUTOMOTIVE GROUP INC,871908,56168
ASCENA RETAIL GROUP INC,571626,7603
ASHFORD HOSPITALITY PRIME IN,50291,766
ASHFORD HOSPITALITY TR INC,174692,1785
ASHLAND INC NEW,304106,31657
ASML HOLDING N V,529855,52360
ASPEN INSURANCE HOLDINGS LTD,895675,38308
ASPEN TECHNOLOGY INC,357889,13500
ASSEMBLY BIOSCIENCES INC,14248,117
ASSOCIATED BANC CORP,902421,8784
ASSOCIATED ESTATES RLTY CORP,115031,2014
ASSURANT INC,731919,47062
ASSURED GUARANTY LTD,617966,13695
ASTORIA FINL CORP,105219,1304
ASTRAZENECA PLC,571334,40816
ASTRONICS CORP,22803,1087
AT&T INC,13302443,468778
ATHENAHEALTH INC,19868,2616
ATHERSYS INC,105829,147
ATHLON ENERGY INC,121652,7084
ATLANTIC PWR CORP,147127,351
ATLANTIC TELE NETWORK INC,10390,560
ATLAS ENERGY LP,599058,26359
ATLAS FINANCIAL HOLDINGS INC,16853,233
ATLAS PIPELINE PARTNERS LP,3605564,131459
ATLAS RESOURCE PARTNERS LP,74299,1446
ATMEL CORP,14809617,119662
ATMOS ENERGY CORP,366033,17460
ATOSSA GENETICS INC,63826,86
ATRION CORP,4817,1470
ATWOOD OCEANICS INC,369336,16136
AU OPTRONICS CORP,15995,67
AUDIENCE INC,12321,91
AURICO GOLD INC,196286,685
AURIS MED HLDG AG,18000,104
AUTODESK INC,769398,42394
AUTOLIV INC,77049,7082
AUTOMATIC DATA PROCESSING IN,2105238,174902
AUTONATION INC,363372,18281
AUTOZONE INC,144192,73489
AUXILIUM PHARMACEUTICALS INC,587927,17550
AVAGO TECHNOLOGIES LTD,497164,43254
AVALANCHE BIOTECHNOLOGIES IN,195283,6677
AVALONBAY CMNTYS INC,4138275,583373
AVANIR PHARMACEUTICALS INC,880185,10492
AVEO PHARMACEUTICALS INC,195097,217
AVERY DENNISON CORP,1120089,50012
AVG TECHNOLOGIES N V,211768,3511
AVIAT NETWORKS INC,344715,620
AVIS BUDGET GROUP,170314,9349
AVISTA CORP,146366,4469
AVIV REIT INC MD,892135,23508
AVIVA PLC,305730,5179
AVNET INC,662165,27480
AVON PRODS INC,1063965,13406
AVX CORP NEW,71828,954
AWARE INC MASS,19158,71
AXCELIS TECHNOLOGIES INC,48841,97
AXIALL CORP,666854,23881
AXIS CAPITAL HOLDINGS LTD,379548,17964
AXOGEN INC,111292,272
AXT INC,10450,25
AZZ INC,15809,660
B & G FOODS INC NEW,602794,16607
B2GOLD CORP,978105,1986
BABCOCK & WILCOX CO NEW,226625,6275
BACTERIN INTL HLDGS INC,11424,51
BADGER METER INC,107281,5412
BAIDU INC,343479,74958
BAKER HUGHES INC,1424987,92710
BALCHEM CORP,21515,1217
BALL CORP,1245979,78833
BALLARD PWR SYS INC NEW,40348,130
BALLY TECHNOLOGIES INC,68364,5516
BALTIC TRADING LIMITED,10237,42
BANC CALIF INC,22071,257
BANCFIRST CORP,11604,726
BANCO BILBAO VIZCAYA ARGENTA,1558143,18698
BANCO BRADESCO S A,3492182,49764
BANCO DE CHILE,56851,4205
BANCO MACRO SA,47652,1887
BANCO SANTANDER BRASIL S A,2097239,13717
BANCO SANTANDER CHILE NEW,218046,4816
BANCO SANTANDER SA,10689460,101550
BANCOLOMBIA S A,279719,15866
BANCORP INC DEL,22258,191
BANCORPSOUTH INC,3067047,61770
BANK AMER CORP,71652035,1225078
BANK HAWAII CORP,104595,5942
BANK MONTREAL QUE,1019185,75033
BANK MUTUAL CORP NEW,15531,100
BANK N S HALIFAX,539934,33395
BANK NEW YORK MELLON CORP,2796035,108290
BANK OF THE OZARKS INC,2776947,87529
BANKFINANCIAL CORP,21501,223
BANKRATE INC DEL,56240,639
BANKUNITED INC,189400,5775
BANNER CORP,987199,37977
BANRO CORP,89981,14
BAR HBR BANKSHARES,7645,221
BARCLAYS BANK PLC,68751,1997
BARCLAYS BK PLC,357854,9874
BARCLAYS PLC,1082343,16030
BARD C R INC,571503,81559
BARNES & NOBLE INC,139490,2753
BARNES GROUP INC,1208753,36686
BARRETT BILL CORP,373302,8228
BARRETT BUSINESS SERVICES IN,18968,749
BARRICK GOLD CORP,5623114,82435
BASIC ENERGY SVCS INC NEW,238896,5182
BASSETT FURNITURE INDS INC,17776,243
BAXANO SURGICAL INC,40680,7
BAXTER INTL INC,1296451,93046
BAY BANCORP INC,19189,89
BAYLAKE CORP,15573,185
BAYTEX ENERGY CORP,615070,23286
BAZAARVOICE INC,50013,370
BB&T CORP,1879900,69951
BBCN BANCORP INC,35109,512
BBVA BANCO FRANCES S A,64728,836
BCE INC,1485111,63503
BE AEROSPACE INC,405473,34036
BEACON ROOFING SUPPLY INC,91508,2332
BEAR ST FINL INC,36209,326
BEASLEY BROADCAST GROUP INC,15381,82
BEAZER HOMES USA INC,360758,6054
BEBE STORES INC,32387,75
BECTON DICKINSON & CO,408932,46541
BED BATH & BEYOND INC,4035687,265669
BELDEN INC,700969,44876
BELLATRIX EXPLORATION LTD,66007,406
BELMOND LTD,122087,1423
BEMIS INC,199035,7567
BENCHMARK ELECTRS INC,381395,8471
BENEFICIAL MUTUAL BANCORP IN,34536,441
BENEFITFOCUS INC,8526041,229692
BERKLEY W R CORP,486969,23277
BERKSHIRE HATHAWAY INC DEL,3821467,581862
BERKSHIRE HILLS BANCORP INC,11682,274
BERRY PLASTICS GROUP INC,2262385,57103
BEST BUY INC,932585,31326
BGC PARTNERS INC,671713,4991
BHP BILLITON LTD,2529180,148918
BHP BILLITON PLC,254051,14107
BIG 5 SPORTING GOODS CORP,47360,444
BIG LOTS INC,343415,14784
BIGLARI HLDGS INC,1172,398
BIO PATH HOLDINGS INC,66723,134
BIO RAD LABS INC,25836,2930
BIO-REFERENCE LABS INC,4122,116
BIOAMBER INC,20907,209
BIOCRYST PHARMACEUTICALS,35317,345
BIODEL INC,222979,372
BIODELIVERY SCIENCES INTL IN,29724,508
BIOGEN IDEC INC,1193447,394805
BIOLASE INC,37931,94
BIOMARIN PHARMACEUTICAL INC,452434,32647
BIOMED REALTY TRUST INC,4164315,84120
BIOSCRIP INC,47377,327
BIOSPECIFICS TECHNOLOGIES CO,10508,371
BIOTA PHARMACEUTIALS INC,174393,431
BITAUTO HLDGS LTD,1079954,84236
BJS RESTAURANTS INC,13095,471
BLACK BOX CORP DEL,8622,201
BLACK DIAMOND INC,1151607,8706
BLACK HILLS CORP,742244,35538
BLACKBAUD INC,113772,4470
BLACKBERRY LTD,1394977,13867
BLACKHAWK NETWORK HLDGS INC,321198,10376
BLACKROCK BUILD AMER BD TR,239287,5030
BLACKROCK CORPOR HI YLD FD I,128085,1515
BLACKROCK CR ALLCTN INC TR,15141,202
BLACKROCK DEBT STRAT FD INC,51774,198
BLACKROCK ENERGY & RES TR,13968,334
BLACKROCK ENH CAP & INC FD I,31883,473
BLACKROCK ENHANCED EQT DIV T,61322,503
BLACKROCK GLOBAL OPP EQTY TR,21415,302
BLACKROCK INC,364346,119622
BLACKROCK INCOME OPP TRUST I,16353,169
BLACKROCK INCOME TR INC,25417,161
BLACKROCK INTL GRWTH & INC T,11779,89
BLACKROCK KELSO CAPITAL CORP,392214,3349
BLACKROCK LONG-TERM MUNI ADV,36499,411
BLACKROCK MULTI-SECTOR INC T,15369,273
BLACKROCK MUNI INCOME INV QL,27497,389
BLACKROCK MUNI INTER DR FD I,101677,1471
BLACKROCK MUNIHLDGS NJ QLTY,46135,645
BLACKROCK MUNIHLDGS NY QLTY,59681,797
BLACKROCK MUNIHLDNGS CALI QL,122187,1739
BLACKROCK MUNIY QUALITY FD I,57546,736
BLACKROCK MUNIYIELD CALIF FD,61802,936
BLACKROCK MUNIYIELD NY QLTY,86680,1111
BLACKROCK MUNIYIELD PA QLTY,28559,402
BLACKROCK MUNIYLD INVST QLTY,29657,395
BLACKROCK MUNIYLD MICH QLTY,96502,1264
BLACKROCK REAL ASSET EQUITY,28099,238
BLACKROCK RES & COMM STRAT T,14489,163
BLACKSTONE GROUP L P,2878694,90621
BLACKSTONE MTG TR INC,2814723,76279
BLDRS INDEX FDS TR,74044,2145
BLOCK H & R INC,1290407,40015
BLOOMIN BRANDS INC,1937527,35535
BLOUNT INTL INC NEW,23302,353
BLUCORA INC,76697,1169
BLUE HILLS BANCORP INC,27981,367
BLUEBIRD BIO INC,254577,9134
BLUELINX HLDGS INC,49680,65
BLYTH INC,26747,217
BOARDWALK PIPELINE PARTNERS,2789252,52159
BOB EVANS FARMS INC,21687,1027
BOEING CO,5587230,711702
BOFI HLDG INC,3746,272
BOISE CASCADE CO DEL,39500,1191
BOK FINL CORP,141214,9388
BOLT TECHNOLOGY CORP,24374,535
BON-TON STORES INC,23135,193
BONA FILM GROUP LTD,60505,364
BONANZA CREEK ENERGY INC,240426,13680
BOOZ ALLEN HAMILTON HLDG COR,119458,2796
BORDERFREE INC,68570,885
BORGWARNER INC,561958,29564
BOSTON BEER INC,20856,4625
BOSTON PRIVATE FINL HLDGS IN,3255463,40335
BOSTON PROPERTIES INC,932893,107991
BOSTON SCIENTIFIC CORP,3434193,40557
BOTTOMLINE TECH DEL INC,23649,653
BOULDER BRANDS INC,13362,182
BOULDER GROWTH & INCOME FD I,295642,2613
BOULDER TOTAL RETURN FD INC,302609,7971
BOYD GAMING CORP,133112,1352
BP PLC,4508968,198169
BP PRUDHOE BAY RTY TR,16118,1519
BPZ RESOURCES INC,103977,199
BRADY CORP,34396,772
BRANDYWINE RLTY TR,4772937,67155
BRAVO BRIO RESTAURANT GROUP,1417225,18381
BREITBURN ENERGY PARTNERS LP,178611,3629
BRF SA,1491530,35484
BRIDGE CAP HLDGS,538104,12236
BRIDGEPOINT ED INC,127913,1427
BRIGGS & STRATTON CORP,20102,362
BRIGHT HORIZONS FAM SOL IN D,25142,1057
BRIGHTCOVE INC,13116,73
BRINKER INTL INC,218051,11075
BRINKS CO,28569,687
BRISTOL MYERS SQUIBB CO,7541350,385966
BRISTOW GROUP INC,22231,1494
BRITISH AMERN TOB PLC,223965,25326
BRIXMOR PPTY GROUP INC,5395597,120106
BROADCOM CORP,2051652,82928
BROADRIDGE FINL SOLUTIONS IN,437296,18204
BROADSOFT INC,15263,321
BROCADE COMMUNICATIONS SYS I,9151377,99475
BROOKDALE SR LIVING INC,601538,19382
BROOKFIELD ASSET MGMT INC,634568,28530
BROOKFIELD INFRAST PARTNERS,33929,1289
BROOKFIELD PPTY PARTNERS L P,254220,5356
BROOKLINE BANCORP INC DEL,1572694,13446
BROOKS AUTOMATION INC,234954,2469
BROWN & BROWN INC,318525,10241
BROWN FORMAN CORP,500676,45150
BROWN SHOE INC NEW,366808,9952
BRUKER CORP,802650,14861
BRUNSWICK CORP,1126412,47467
BRYN MAWR BK CORP,14230,403
BT GROUP PLC,196157,12060
BUCKEYE PARTNERS L P,3410963,271649
BUCKLE INC,150002,6808
BUFFALO WILD WINGS INC,48747,6545
BUILD A BEAR WORKSHOP,9418,123
BUILDERS FIRSTSOURCE INC,30632,167
BUNGE LIMITED,192291,16197
BURGER KING WORLDWIDE INC,97072,2879
BURLINGTON STORES INC,927658,36977
C D I CORP,66361,963
C H ROBINSON WORLDWIDE INC,1992854,132166
C&J ENERGY SVCS INC,24166,738
C1 FINL INC,14366,260
CA INC,2128595,59472
CABELAS INC,139136,8195
CABLEVISION SYS CORP,1069155,18721
CABOT CORP,172007,8733
CABOT MICROELECTRONICS CORP,1118603,46366
CABOT OIL & GAS CORP,3777112,123474
CACHE INC,13717,12
CACI INTL INC,470407,33526
CADENCE DESIGN SYSTEM INC,1150873,19806
CAE INC,265873,3225
CAESARS ACQUISITION CO,1487829,14090
CAESARS ENTMT CORP,15532,195
CAI INTERNATIONAL INC,12280,238
CAL DIVE INTL INC DEL,516988,501
CAL MAINE FOODS INC,76099,6798
CALAMOS ASSET MGMT INC,35047,395
CALAMOS STRATEGIC TOTL RETN,17740,208
CALAMP CORP,23601,416
CALAVO GROWERS INC,19201,867
CALGON CARBON CORP,49042,950
CALIFORNIA WTR SVC GROUP,41248,926
CALIX INC,1546742,14802
CALLAWAY GOLF CO,113596,822
CALLIDUS SOFTWARE INC,16025,193
CALLON PETE CO DEL,109825,968
CALPINE CORP,6897363,149673
CALUMET SPECIALTY PRODS PTNR,85381,2344
CAMBREX CORP,68127,1273
CAMDEN PPTY TR,3522543,241400
CAMECO CORP,347746,6141
CAMERON INTERNATIONAL CORP,2807160,186340
CAMPBELL SOUP CO,667826,28536
CAMPUS CREST CMNTYS INC,39526,253
CANADIAN NAT RES LTD,1947627,75646
CANADIAN NATL RY CO,595861,42283
CANADIAN PAC RY LTD,142916,29651
CANADIAN SOLAR INC,124583,4457
CANCER GENETICS INC,12288,111
CANON INC,961658,31340
CANTEL MEDICAL CORP,71384,2455
CAPE BANCORP INC,10455,99
CAPELLA EDUCATION COMPANY,20007,1252
CAPITAL BK FINL CORP,19561,467
CAPITAL ONE FINL CORP,3922582,320161
CAPITAL PRODUCT PARTNERS L P,4202412,41940
CAPITAL SOUTHWEST CORP,75784,2711
CAPITAL SR LIVING CORP,42881,910
CAPITALA FIN CORP,17985,319
CAPITOL FED FINL INC,66218,783
CAPSTEAD MTG CORP,48623,595
CAPSTONE TURBINE CORP,100961,108
CARBO CERAMICS INC,102803,6089
CARDINAL FINL CORP,54761,935
CARDINAL HEALTH INC,4596291,344354
CARDTRONICS INC,13220,465
CAREDX INC,28369,199
CAREER EDUCATION CORP,49967,254
CAREFUSION CORP,3713402,168031
CARETRUST REIT INC,26756,383
CARLISLE COS INC,1800604,144732
CARLYLE GROUP L P,64823,1975
CARMAX INC,506486,23526
CARMIKE CINEMAS INC,851436,26377
CARNIVAL CORP,2552867,102549
CARNIVAL PLC,52691,2105
CAROLINA FINL CORP NEW,7616,203
CARPENTER TECHNOLOGY CORP,94781,4280
CARRIZO OIL & GAS INC,266639,14351
CARROLS RESTAURANT GROUP INC,46554,331
CARTER INC,903323,70026
CARVER BANCORP INC,181033,1649
CASELLA WASTE SYS INC,96262,371
CASEYS GEN STORES INC,87749,6292
CASH AMER INTL INC,112351,4921
CASS INFORMATION SYS INC,11605,480
CASTLE A M & CO,155292,1326
CASTLE BRANDS INC,36510,48
CASTLIGHT HEALTH INC,11052,143
CATALENT INC,1575022,39423
CATALYST PHARM PARTNERS INC,12220,41
CATAMARAN CORP,245536,10350
CATERPILLAR INC DEL,2082494,206230
CATHAY GEN BANCORP,188045,4669
CATO CORP NEW,200125,6896
CAVCO INDS INC DEL,58448,3974
CAVIUM INC,91363,4544
CBIZ INC,33066,260
CBL & ASSOC PPTYS INC,7677870,137433
CBOE HLDGS INC,217344,11633
CBRE CLARION GLOBAL REAL EST,17416,146
CBRE GROUP INC,15914378,473293
CBS CORP NEW,7719313,412983
CBS OUTDOOR AMERS INC,722004,21617
CDK GLOBAL INC,155222,4748
CDN IMPERIAL BK COMM TORONTO,321466,28883
CDW CORP,81633,2535
CECO ENVIRONMENTAL CORP,1387742,18596
CEDAR FAIR L P,584191,27615
CEDAR REALTY TRUST INC,166803,984
CELADON GROUP INC,10375,202
CELANESE CORP DEL,3856754,225697
CELESTICA INC,154179,1564
CELGENE CORP,5370809,509046
CELLCOM ISRAEL LTD,130188,1429
CELLDEX THERAPEUTICS INC NEW,254491,3298
CELLULAR BIOMEDICINE GROUP I,20050,421
CELLULAR DYNAMICS INTL INC,37125,261
CELSION CORPORATION,56907,168
CEMEX SAB DE CV,6876768,89674
CEMPRA INC,726117,7958
CENCOSUD S A,56641,510
CENOVUS ENERGY INC,680218,18285
CENTENE CORP DEL,219492,18154
