nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
180 DEGREE CAP CORP,CMN,68235B109,19,11806,SH,DFND,1,11806,0,0,
1ST SOURCE CORP,CMN,336901103,504,10505,SH,DFND,1,10505,0,0,
21VIANET GROUP INC,CMN,90138A103,101,20043,SH,DFND,1,20043,0,0,
2U INC,CMN,90214J101,11415,243282,SH,DFND,1,243282,0,0,
2U INC,CMN,90214J101,331,7048,SH,DFND,2,7048,0,0,
3-D SYS CORP DEL,CMN,88554D205,20995,1122719,SH,DFND,1,1122719,0,0,
3-D SYS CORP DEL,CMN,88554D205,17013,909800,SH,DFND,1,909800,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,1891,101100,SH,DFND,1,101100,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,705,37674,SH,DFND,2,37674,0,0,
3M CO,CMN,88579Y101,291812,1401662,SH,DFND,1,1391310,0,10352,
3M CO,CMN,88579Y101,7849,37700,SH,DFND,1,37700,0,0,Call
3M CO,CMN,88579Y101,176191,846300,SH,DFND,1,846300,0,0,Put
3M CO,CMN,88579Y101,231635,1112612,SH,DFND,2,1061029,0,51583,
3M CO,CMN,88579Y101,760,3650,SH,DFND,5,843,0,2807,
3M CO,CMN,88579Y101,4586,22027,SH,DFND,6,22027,0,0,
500 COM LTD,CMN,33829R100,129,11849,SH,DFND,1,11849,0,0,
500 COM LTD,CMN,33829R100,1,100,SH,DFND,1,100,0,0,Put
500 COM LTD,CMN,33829R100,98,9000,SH,DFND,1,9000,0,0,Call
51JOB INC,CMN,316827104,479,10718,SH,DFND,1,10718,0,0,
51JOB INC,CMN,316827104,2158,48235,SH,DFND,2,48235,0,0,
58 COM INC,CMN,31680Q104,18996,430649,SH,DFND,1,430649,0,0,
58 COM INC,CMN,31680Q104,560,12700,SH,DFND,1,12700,0,0,Put
58 COM INC,CMN,31680Q104,181,4100,SH,DFND,1,4100,0,0,Call
58 COM INC,CMN,31680Q104,9139,207190,SH,DFND,2,207190,0,0,
58 COM INC,CMN,31680Q104,1564,35458,SH,DFND,3,33002,0,2456,
8POINT3 ENERGY PARTNERS LP,CMN,282539105,250,16536,SH,DFND,1,16536,0,0,
8X8 INC NEW,CMN,282914100,3518,241818,SH,DFND,1,241818,0,0,
8X8 INC NEW,CMN,282914100,186,12787,SH,DFND,2,12787,0,0,
A H BELO CORP,CMN,001282102,166,30173,SH,DFND,1,30173,0,0,
A10 NETWORKS INC,CMN,002121101,694,82283,SH,DFND,1,82283,0,0,
A10 NETWORKS INC,CMN,002121101,248,29391,SH,DFND,2,29391,0,0,
AAON INC,CMN,000360206,294,7986,SH,DFND,1,7986,0,0,
AAON INC,CMN,000360206,348,9455,SH,DFND,2,9455,0,0,
AAR CORP,CMN,000361105,2426,69794,SH,DFND,1,68487,0,1307,
AAR CORP,CMN,000361105,696,20010,SH,DFND,2,20010,0,0,
AARONS INC,CMN,002535300,18606,478310,SH,DFND,1,478310,0,0,
AARONS INC,CMN,002535300,14153,363820,SH,DFND,2,363820,0,0,
ABAXIS INC,CMN,002567105,1145,21605,SH,DFND,1,21605,0,0,
ABAXIS INC,CMN,002567105,213,4021,SH,DFND,2,4021,0,0,
ABB LTD,CMN,000375204,813,32658,SH,DFND,1,32448,0,210,
ABB LTD,CMN,000375204,27,1100,SH,DFND,1,1100,0,0,Put
ABB LTD,CMN,000375204,14768,593083,SH,DFND,2,593083,0,0,
ABB LTD,CMN,000375204,250,10036,SH,DFND,5,10036,0,0,
ABB LTD,CMN,000375204,1525,61245,SH,DFND,6,61245,0,0,
ABBOTT LABS,CMN,002824100,278461,5728471,SH,DFND,1,3930846,0,1797625,
ABBOTT LABS,CMN,002824100,17329,356500,SH,DFND,1,356500,0,0,Put
ABBOTT LABS,CMN,002824100,14636,301100,SH,DFND,1,301100,0,0,Call
ABBOTT LABS,CMN,002824100,494256,10167785,SH,DFND,2,9851718,0,316067,
ABBOTT LABS,CMN,002824100,84792,1744328,SH,DFND,3,188,0,1744140,
ABBOTT LABS,CMN,002824100,5119,105315,SH,DFND,4,0,0,105315,
ABBOTT LABS,CMN,002824100,41345,850550,SH,DFND,5,34889,0,815661,
ABBOTT LABS,CMN,002824100,6252,128609,SH,DFND,6,128609,0,0,
ABBVIE INC,CMN,00287Y109,446043,6151475,SH,DFND,1,4697295,0,1454180,
ABBVIE INC,CMN,00287Y109,24023,331300,SH,DFND,1,331300,0,0,Put
ABBVIE INC,CMN,00287Y109,35450,488900,SH,DFND,1,488900,0,0,Call
ABBVIE INC,CMN,00287Y109,240000,3309890,SH,DFND,2,3295080,0,14810,
ABBVIE INC,CMN,00287Y109,8744,120593,SH,DFND,3,93520,0,27073,
ABBVIE INC,CMN,00287Y109,728,10034,SH,DFND,5,4069,0,5965,
ABBVIE INC,CMN,00287Y109,6018,82994,SH,DFND,6,82994,0,0,
ABEONA THERAPEUTICS INC,CMN,00289Y107,68,10591,SH,DFND,1,10591,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,6540,525689,SH,DFND,1,525689,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,2313,185900,SH,DFND,1,185900,0,0,Call
ABERCROMBIE & FITCH CO,CMN,002896207,1290,103700,SH,DFND,1,103700,0,0,Put
ABERCROMBIE & FITCH CO,CMN,002896207,587,47202,SH,DFND,2,47202,0,0,
ABERDEEN ASIA PACIFIC INCOM,CMN,003009107,68,13596,SH,DFND,1,13596,0,0,
ABIOMED INC,CMN,003654100,33552,234138,SH,DFND,1,234138,0,0,
ABIOMED INC,CMN,003654100,45538,317783,SH,DFND,2,316393,0,1390,
ABM INDS INC,CMN,000957100,1043,25109,SH,DFND,1,25109,0,0,
ABM INDS INC,CMN,000957100,72648,1749707,SH,DFND,2,1678178,0,71529,
ABRAXAS PETE CORP,CMN,003830106,541,333650,SH,DFND,1,333650,0,0,
ABRAXAS PETE CORP,CMN,003830106,79,49058,SH,DFND,2,49058,0,0,
AC IMMUNE SA,CMN,H00263105,127,14475,SH,DFND,1,14475,0,0,
ACACIA COMMUNICATIONS INC,CMN,00401C108,1289,31081,SH,DFND,1,31081,0,0,
ACACIA RESH CORP,CMN,003881307,179,43649,SH,DFND,1,43649,0,0,
ACACIA RESH CORP,CMN,003881307,279,68101,SH,DFND,2,68101,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,85172,1724819,SH,DFND,1,1724819,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,3279,66400,SH,DFND,1,66400,0,0,Put
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,11308,229000,SH,DFND,1,229000,0,0,Call
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,130511,2642991,SH,DFND,2,2596906,0,46085,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,372,7542,SH,DFND,6,7542,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,9902,355036,SH,DFND,1,355036,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,43227,1549896,SH,DFND,2,1534257,0,15639,
ACADIA PHARMACEUTICALS INC,CMN,004225108,93,3319,SH,OTR,"6,2",0,3319,0,
ACADIA RLTY TR,CMN,004239109,13529,486657,SH,DFND,1,486657,0,0,
ACADIA RLTY TR,CMN,004239109,146128,5256395,SH,DFND,2,5040255,0,216140,
ACADIA RLTY TR,CMN,004239109,217,7799,SH,DFND,6,7799,0,0,
ACCELERATE DIAGNOSTICS INC,CMN,00430H102,2024,74013,SH,DFND,1,74013,0,0,
ACCELERON PHARMA INC,CMN,00434H108,1828,60167,SH,DFND,1,60167,0,0,
ACCELERON PHARMA INC,CMN,00434H108,13976,459890,SH,DFND,2,459890,0,0,
ACCENTURE PLC IRELAND,CMN,G1151C101,363454,2938665,SH,DFND,1,2893011,0,45654,
ACCENTURE PLC IRELAND,CMN,G1151C101,61358,496100,SH,DFND,1,496100,0,0,Put
ACCENTURE PLC IRELAND,CMN,G1151C101,7829,63300,SH,DFND,1,63300,0,0,Call
ACCENTURE PLC IRELAND,CMN,G1151C101,177345,1433902,SH,DFND,2,1423410,0,10492,
ACCENTURE PLC IRELAND,CMN,G1151C101,4225,34161,SH,DFND,6,34161,0,0,
ACCESS NATL CORP,CMN,004337101,256,9654,SH,DFND,1,9654,0,0,
ACCO BRANDS CORP,CMN,00081T108,778,66748,SH,DFND,1,66748,0,0,
ACCO BRANDS CORP,CMN,00081T108,833,71525,SH,DFND,2,71525,0,0,
ACCO BRANDS CORP,CMN,00081T108,497,42672,SH,DFND,6,42672,0,0,
ACCURAY INC,CMN,004397105,1078,226978,SH,DFND,1,226978,0,0,
ACCURAY INC,CMN,004397105,598,125900,SH,DFND,1,125900,0,0,Put
ACELRX PHARMACEUTICALS INC,CMN,00444T100,530,246611,SH,DFND,1,246611,0,0,
ACETO CORP,CMN,004446100,342,22145,SH,DFND,1,22145,0,0,
ACETO CORP,CMN,004446100,285,18464,SH,DFND,2,18464,0,0,
ACHAOGEN INC,CMN,004449104,423,19449,SH,DFND,2,19449,0,0,
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,16587,3613694,SH,DFND,1,3613694,0,0,
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,196,42700,SH,DFND,1,42700,0,0,Put
ACHILLION PHARMACEUTICALS IN,CMN,00448Q201,123,26900,SH,DFND,1,26900,0,0,Call
ACI WORLDWIDE INC,CMN,004498101,9393,419903,SH,DFND,1,419903,0,0,
ACI WORLDWIDE INC,CMN,004498101,2532,113208,SH,DFND,2,113208,0,0,
ACLARIS THERAPEUTICS INC,CMN,00461U105,2170,80028,SH,DFND,1,80028,0,0,
ACLARIS THERAPEUTICS INC,CMN,00461U105,3661,135000,SH,DFND,1,135000,0,0,Call
ACORDA THERAPEUTICS INC,CMN,00484M106,10328,524281,SH,DFND,1,524281,0,0,
ACORDA THERAPEUTICS INC,CMN,00484M106,210,10675,SH,DFND,2,10675,0,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,170478,2961237,SH,DFND,1,2961237,0,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,6477,112500,SH,DFND,1,112500,0,0,Call
ACTIVISION BLIZZARD INC,CMN,00507V109,14300,248400,SH,DFND,1,248400,0,0,Put
ACTIVISION BLIZZARD INC,CMN,00507V109,137244,2383944,SH,DFND,2,2310163,0,73781,
ACTIVISION BLIZZARD INC,CMN,00507V109,954,16569,SH,DFND,6,16569,0,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,1302,22622,SH,OTR,"6,2",0,22622,0,
ACTIVISION BLIZZARD INC,CMN,00507V109,1195,20749,SH,DFND,7,20749,0,0,
ACTUA CORP,CMN,005094107,813,57866,SH,DFND,1,57866,0,0,
ACTUA CORP,CMN,005094107,143,10163,SH,DFND,2,10163,0,0,
ACTUANT CORP,CMN,00508X203,3311,134581,SH,DFND,1,134581,0,0,
ACTUANT CORP,CMN,00508X203,224,9100,SH,DFND,1,9100,0,0,Put
ACTUANT CORP,CMN,00508X203,453,18410,SH,DFND,2,18410,0,0,
ACTUANT CORP,CMN,00508X203,203,8263,SH,DFND,6,8263,0,0,
ACUITY BRANDS INC,CMN,00508Y102,73822,363155,SH,DFND,1,356696,0,6459,
ACUITY BRANDS INC,CMN,00508Y102,17428,85735,SH,DFND,2,84251,0,1484,
ACUITY BRANDS INC,CMN,00508Y102,1622,7981,SH,DFND,3,1,0,7980,
ACUITY BRANDS INC,CMN,00508Y102,487,2395,SH,DFND,4,0,0,2395,
ACUSHNET HOLDINGS CORP,CMN,005098108,1168,58873,SH,DFND,1,58873,0,0,
ACUSHNET HOLDINGS CORP,CMN,005098108,251,12669,SH,DFND,6,12669,0,0,
ACXIOM CORP,CMN,005125109,5532,212925,SH,DFND,1,212925,0,0,
ACXIOM CORP,CMN,005125109,55,2100,SH,DFND,1,2100,0,0,Call
ACXIOM CORP,CMN,005125109,3046,117252,SH,DFND,2,117252,0,0,
ACXIOM CORP,CMN,005125109,357,13736,SH,DFND,6,13736,0,0,
ADAMAS PHARMACEUTICALS INC,CMN,00548A106,996,56939,SH,DFND,1,56939,0,0,
ADAPTIMMUNE THERAPEUTICS PLC,CMN,00653A107,46,10251,SH,DFND,1,10251,0,0,
ADCARE HEALTH SYSTEMS INC,CMN,00650W300,692,720468,SH,DFND,1,720468,0,0,
ADDUS HOMECARE CORP,CMN,006739106,213,5732,SH,DFND,1,5732,0,0,
ADECOAGRO S A,CMN,L00849106,7723,773100,SH,DFND,1,773100,0,0,
ADECOAGRO S A,CMN,L00849106,999,100000,SH,DFND,1,100000,0,0,Call
ADECOAGRO S A,CMN,L00849106,246,24661,SH,DFND,3,24661,0,0,
ADIENT PLC,CMN,G0084W101,12378,189325,SH,DFND,1,188613,0,712,
ADIENT PLC,CMN,G0084W101,1134,17345,SH,DFND,1,17345,0,0,Call
ADIENT PLC,CMN,G0084W101,1197,18310,SH,DFND,1,18310,0,0,Put
ADIENT PLC,CMN,G0084W101,5018,76756,SH,DFND,2,76756,0,0,
ADOBE SYS INC,CMN,00724F101,219481,1551757,SH,DFND,1,1549733,0,2024,
ADOBE SYS INC,CMN,00724F101,38755,274000,SH,DFND,1,274000,0,0,Call
ADOBE SYS INC,CMN,00724F101,38387,271400,SH,DFND,1,271400,0,0,Put
ADOBE SYS INC,CMN,00724F101,348049,2460753,SH,DFND,2,2286803,0,173950,
ADOBE SYS INC,CMN,00724F101,263,1856,SH,DFND,5,1617,0,239,
ADOBE SYS INC,CMN,00724F101,3182,22496,SH,DFND,6,22496,0,0,
ADOBE SYS INC,CMN,00724F101,1552,10970,SH,OTR,"6,2",0,10970,0,
ADTALEM GLOBAL ED INC,CMN,00737L103,9210,242690,SH,DFND,1,242690,0,0,
ADTALEM GLOBAL ED INC,CMN,00737L103,205,5400,SH,DFND,1,5400,0,0,Put
ADTALEM GLOBAL ED INC,CMN,00737L103,152,4000,SH,DFND,1,4000,0,0,Call
ADTALEM GLOBAL ED INC,CMN,00737L103,11999,316182,SH,DFND,2,304014,0,12168,
ADTRAN INC,CMN,00738A106,2706,131024,SH,DFND,1,131024,0,0,
ADTRAN INC,CMN,00738A106,70,3400,SH,DFND,1,3400,0,0,Put
ADTRAN INC,CMN,00738A106,314,15200,SH,DFND,1,15200,0,0,Call
ADTRAN INC,CMN,00738A106,254,12323,SH,DFND,2,12323,0,0,
ADTRAN INC,CMN,00738A106,221,10681,SH,DFND,6,10681,0,0,
ADURO BIOTECH INC,CMN,00739L101,2391,209755,SH,DFND,1,209755,0,0,
ADURO BIOTECH INC,CMN,00739L101,129,11321,SH,DFND,2,11321,0,0,
ADVANCE AUTO PARTS INC,CMN,00751Y106,66092,566878,SH,DFND,1,566868,0,10,
ADVANCE AUTO PARTS INC,CMN,00751Y106,20706,177600,SH,DFND,1,177600,0,0,Call
ADVANCE AUTO PARTS INC,CMN,00751Y106,16486,141400,SH,DFND,1,141400,0,0,Put
ADVANCE AUTO PARTS INC,CMN,00751Y106,68295,585774,SH,DFND,2,574148,0,11626,
ADVANCE AUTO PARTS INC,CMN,00751Y106,118,1015,SH,DFND,6,1015,0,0,
ADVANCE AUTO PARTS INC,CMN,00751Y106,221,1899,SH,OTR,"6,2",0,1899,0,
ADVANCED DISP SVCS INC DEL,CMN,00790X101,3038,133654,SH,DFND,1,133654,0,0,
ADVANCED DISP SVCS INC DEL,CMN,00790X101,37437,1647046,SH,DFND,2,1584038,0,63008,
ADVANCED DRAIN SYS INC DEL,CMN,00790R104,1339,66602,SH,DFND,1,66602,0,0,
ADVANCED ENERGY INDS,CMN,007973100,5468,84526,SH,DFND,1,84526,0,0,
ADVANCED ENERGY INDS,CMN,007973100,7601,117494,SH,DFND,2,117494,0,0,
ADVANCED MICRO DEVICES INC,CNV,007903BD8,22567,12886000,PRN,DFND,1,12886000,0,0,
ADVANCED MICRO DEVICES INC,CMN,007903107,94541,7575413,SH,DFND,1,7575413,0,0,
ADVANCED MICRO DEVICES INC,CMN,007903107,35016,2805800,SH,DFND,1,2805800,0,0,Put
ADVANCED MICRO DEVICES INC,CMN,007903107,40129,3215500,SH,DFND,1,3215500,0,0,Call
ADVANCED MICRO DEVICES INC,CMN,007903107,16161,1294915,SH,DFND,2,1283107,0,11808,
ADVANCED MICRO DEVICES INC,CMN,007903107,260,20855,SH,DFND,7,20855,0,0,
ADVANCED SEMICONDUCTOR ENGR,CMN,00756M404,369,58486,SH,DFND,1,58486,0,0,
ADVANSIX INC,CMN,00773T101,10619,339919,SH,DFND,1,339919,0,0,
ADVANSIX INC,CMN,00773T101,7,212,SH,DFND,1,212,0,0,Call
ADVANSIX INC,CMN,00773T101,1,36,SH,DFND,1,36,0,0,Put
ADVANSIX INC,CMN,00773T101,1146,36694,SH,DFND,2,36694,0,0,
ADVANTAGE OIL & GAS LTD,CMN,00765F101,289,42800,SH,DFND,2,42800,0,0,
ADVANTAGE OIL & GAS LTD,CMN,00765F101,728,107872,SH,DFND,3,107872,0,0,
ADVERUM BIOTECHNOLOGIES INC,CMN,00773U108,420,168032,SH,DFND,1,168032,0,0,
ADVISORSHARES TR,CMN,00768Y818,260,3922,SH,DFND,1,3922,0,0,
ADVISORSHARES TR,CMN,00768Y826,542,17869,SH,DFND,1,17869,0,0,
ADVISORY BRD CO,CMN,00762W107,4641,90114,SH,DFND,1,90114,0,0,
ADVISORY BRD CO,CMN,00762W107,10412,202168,SH,DFND,2,202168,0,0,
AECOM,CMN,00766T100,8887,274884,SH,DFND,1,274884,0,0,
AECOM,CMN,00766T100,385,11900,SH,DFND,1,11900,0,0,Put
AECOM,CMN,00766T100,385,11900,SH,DFND,1,11900,0,0,Call
AECOM,CMN,00766T100,7617,235600,SH,DFND,2,230434,0,5166,
AEGEAN MARINE PETROLEUM NETW,CMN,Y0017S102,333,56996,SH,DFND,1,56996,0,0,
AEGION CORP,CMN,00770F104,1610,73587,SH,DFND,1,73587,0,0,
AEGION CORP,CMN,00770F104,398,18208,SH,DFND,2,18208,0,0,
AEGON N V,CMN,007924103,469,91809,SH,DFND,1,49302,0,42507,
AEGON N V,CMN,007924103,4588,897817,SH,DFND,2,897817,0,0,
AEGON N V,CMN,007924103,258,50495,SH,DFND,6,50495,0,0,
AEMETIS INC,CMN,00770K202,17,12638,SH,DFND,1,12638,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,10132,218216,SH,DFND,1,218216,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,24394,525385,SH,DFND,2,477584,0,47801,
AERCAP HOLDINGS NV,CMN,N00985106,956,20581,SH,DFND,3,20581,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,306,6599,SH,DFND,6,6599,0,0,
AERCAP HOLDINGS NV,CMN,N00985106,165,3549,SH,OTR,"6,2",0,3549,0,
AERIE PHARMACEUTICALS INC,CMN,00771V108,10166,193460,SH,DFND,1,193460,0,0,
AERIE PHARMACEUTICALS INC,CMN,00771V108,597,11369,SH,DFND,2,11369,0,0,
AEROHIVE NETWORKS INC,CMN,007786106,70,13937,SH,DFND,1,3937,0,10000,
AEROHIVE NETWORKS INC,CMN,007786106,59,11715,SH,DFND,2,11715,0,0,
AEROJET ROCKETDYNE HLDGS INC,CMN,007800105,3104,149234,SH,DFND,1,149234,0,0,
AEROJET ROCKETDYNE HLDGS INC,CMN,007800105,346,16656,SH,DFND,2,16656,0,0,
