nameOfIssuer,sprice,sshPrnamt
180 DEGREE CAP CORP,1.42517814727,12630
21VIANET GROUP INC,5.48135902902,22987
2U INC,39.660834514,91047
3-D SYS CORP DEL,14.9588187487,724723
3M CO,191.329818607,2205767
500 COM LTD,13.4078720116,66006
51JOB INC,36.653031469,24691
58 COM INC,35.3896416832,601758
8X8 INC NEW,15.2496927718,232726
A H BELO CORP,6.14703157133,44249
A10 NETWORKS INC,9.14714182582,121896
AAC HLDGS INC,8.51030298255,25381
AAON INC,35.3805073431,28462
AAR CORP,33.6306301662,58191
AARONS INC,29.7406716678,860068
ABAXIS INC,48.5176707052,35822
ABB LTD,23.4001273229,659740
ABBOTT LABS,44.4100300122,23833670
ABBVIE INC,65.1601042889,8219861
ABEONA THERAPEUTICS INC,5.0,116000
ABERCROMBIE & FITCH CO,11.930339825,811712
ABIOMED INC,125.199513159,511871
ABM INDS INC,43.6002832511,1923382
ABRAXAS PETE CORP,2.0196056251,362447
ACACIA COMMUNICATIONS INC,58.6291991721,25124
ACACIA RESH CORP,5.74640013678,134519
ACADIA HEALTHCARE COMPANY IN,43.5999191835,4271407
ACADIA PHARMACEUTICALS INC,34.3797616705,1122899
ACADIA RLTY TR,30.0601215384,4632117
ACCELERATE DIAGNOSTICS INC,24.2118786441,20238
ACCELERON PHARMA INC,26.4699397544,503439
ACCENTURE PLC IRELAND,119.879873671,3501647
ACCESS NATL CORP,30.0455235205,16475
ACCO BRANDS CORP,13.1472369313,181483
ACCURAY INC,4.73933649289,30173
ACETO CORP,15.8090899679,96590
ACHAOGEN INC,25.2307742982,121439
ACHILLION PHARMACEUTICALS IN,4.20998441353,3725667
ACI WORLDWIDE INC,21.3878440862,333928
ACLARIS THERAPEUTICS INC,29.8073323158,34723
ACORDA THERAPEUTICS INC,20.9984505549,302689
ACRE RLTY INVS INC,1.16331096197,22350
ACTIVISION BLIZZARD INC,49.8599673583,5415166
ACTUA CORP,14.0440343209,24708
ACTUANT CORP,26.3425455218,54095
ACUITY BRANDS INC,204.000676429,348891
ACUSHNET HOLDINGS CORP,17.2878235073,58654
ACXIOM CORP,28.4692346588,241278
ADAMAS PHARMACEUTICALS INC,17.504967404,60897
ADCARE HEALTH SYSTEMS INC,1.25953905715,743129
ADDUS HOMECARE CORP,31.9935475198,7439
ADECOAGRO S A,11.4603433588,332189
ADEPTUS HEALTH INC,1.80235851486,174771
ADIENT PLC,72.6710475454,191438
ADOBE SYS INC,130.129918224,3505051
ADTRAN INC,20.7529877782,162579
ADURO BIOTECH INC,10.7510529273,236721
ADVANCE AUTO PARTS INC,148.261054783,1143193
ADVANCED DISP SVCS INC DEL,22.599711757,1563958
ADVANCED EMISSIONS SOLUTS IN,9.54539898434,89991
ADVANCED ENERGY INDS,68.5625375242,236514
