nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
1 800 FLOWERS COM,CMN,68243Q106,178,30648,SH,DFND,1,30648,0,0,
1ST SOURCE CORP,CMN,336901103,281,9181,SH,DFND,1,9181,0,0,
1ST SOURCE CORP,CMN,336901103,1173,38302,SH,DFND,2,38302,0,0,
21VIANET GROUP INC,CMN,90138A103,626,20875,SH,DFND,2,20875,0,0,
22ND CENTY GROUP INC,CMN,90137F103,196,63850,SH,DFND,1,63850,0,0,
2U INC,CMN,90214J101,600,35716,SH,DFND,1,35716,0,0,
3-D SYS CORP DEL,CMN,88554D205,129232,2161075,SH,DFND,1,2161075,0,0,
3-D SYS CORP DEL,CMN,88554D205,129775,2170150,SH,DFND,1,2170150,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,13401,224100,SH,DFND,1,224100,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,1087,18177,SH,DFND,2,18177,0,0,
3M CO,CMN,88579Y101,235298,1642686,SH,DFND,1,1577607,0,65079,
3M CO,CMN,88579Y101,40766,284600,SH,DFND,1,284600,0,0,Call
3M CO,CMN,88579Y101,35939,250900,SH,DFND,1,250900,0,0,Put
3M CO,CMN,88579Y101,163098,1138637,SH,DFND,2,1037672,0,100965,
3M CO,CMN,88579Y101,229,1597,SH,DFND,6,1597,0,0,
3M CO,CMN,88579Y101,2925,20422,SH,OTR,"6,2",0,20422,0,
500 COM LTD,CMN,33829R100,1866,50423,SH,DFND,1,50423,0,0,
51JOB INC,CMN,316827104,84,1277,SH,DFND,1,1277,0,0,
51JOB INC,CMN,316827104,198,3000,SH,DFND,1,3000,0,0,Call
58 COM INC,CMN,31680Q104,90818,1679956,SH,DFND,1,1679956,0,0,
58 COM INC,CMN,31680Q104,1216,22500,SH,DFND,1,22500,0,0,Put
58 COM INC,CMN,31680Q104,951,17600,SH,DFND,1,17600,0,0,Call
8X8 INC NEW,CMN,282914100,147,18236,SH,DFND,1,18236,0,0,
