nameOfIssuer,sprice,sshPrnamt
1 800 FLOWERS COM,7.89679703189,29379
1ST CENTURY BANCSHARES INC,10.9308885755,11344
1ST SOURCE CORP,31.8422633677,18309
21VIANET GROUP INC,19.9788023317,18870
2U INC,22.5949848957,40717
3-D SYS CORP DEL,15.4694215832,778245
3M CO,166.63001345,2078035
500 COM LTD,16.7098941282,23519
51JOB INC,31.017724414,13992
58 COM INC,55.6500332642,1043162
8POINT3 ENERGY PARTNERS LP,14.6875156117,20017
8X8 INC NEW,10.0634205147,76316
A H BELO CORP,4.79784681996,17091
A10 NETWORKS INC,5.92094735158,74988
AAC HLDGS INC,19.7303518579,3041
AAON INC,27.9548351848,10982
AAR CORP,23.2859363307,34742
AARONS INC,25.0995624626,539611
ABAXIS INC,45.3382603752,7036
ABB LTD,19.4205857867,583762
ABBOTT LABS,41.8300575133,20158973
ABBVIE INC,57.1197422358,5985006
ABENGOA SA,1.43035871006,267765
ABEONA THERAPEUTICS INC,2.55585786132,12129
ABERCROMBIE & FITCH CO,31.5393972833,1362962
ABILITY INC,6.14536180465,106259
ABIOMED INC,94.8084430004,513372
ABM INDS INC,32.3100761094,2067157
ABRAXAS PETE CORP,1.00023689821,37991
ACACIA RESH CORP,3.79336730541,122846
ACADIA HEALTHCARE COMPANY IN,55.1100541197,1066339
ACADIA PHARMACEUTICALS INC,27.9621912262,304268
ACADIA RLTY TR,35.1301270862,3165175
ACCELERATE DIAGNOSTICS INC,14.3648321218,11556
ACCELERON PHARMA INC,26.3888058088,217327
ACCENTURE PLC IRELAND,115.399807179,3060863
ACCO BRANDS CORP,8.97616936499,182706
ACCURAY INC,5.77991948438,297582
ACCURIDE CORP NEW,1.55041430516,58049
ACELRX PHARMACEUTICALS INC,3.07441441747,58873
ACETO CORP,23.5571506072,47926
ACHAOGEN INC,2.75492489999,26498
ACHILLION PHARMACEUTICALS IN,7.72014912986,2590494
ACI WORLDWIDE INC,20.7917442057,177330
ACORDA THERAPEUTICS INC,26.4472390052,284680
ACTIVISION BLIZZARD INC,33.8397356316,3072985
ACTUA CORP,9.04490576563,25097
ACTUANT CORP,24.7110492594,221318
ACUITY BRANDS INC,218.138321792,277975
ACXIOM CORP,21.4321391273,66069
ADCARE HEALTH SYSTEMS INC,2.32028416844,1130034
ADECOAGRO S A,11.5478548489,104002
ADEPTUS HEALTH INC,55.5400852504,1052195
ADOBE SYS INC,93.7993664179,1773093
ADTRAN INC,20.2225932109,179700
ADURO BIOTECH INC,12.8037518936,48189
ADVANCE AUTO PARTS INC,160.338947165,1086305
ADVANCED DRAIN SYS INC DEL,21.2842712843,30492
ADVANCED ENERGY INDS,34.7898361434,421100
ADVANCED MICRO DEVICES INC,2.84943461865,732426
ADVANCED SEMICONDUCTOR ENGR,5.84482284689,69121
ADVANTAGE OIL & GAS LTD,5.48666739822,63791
ADVAXIS INC,9.06102157004,12471
ADVISORSHARES TR,27.6326709955,20483
ADVISORY BRD CO,32.2397166421,38679
AECOM,30.7912283931,282548
AEGEAN MARINE PETROLEUM NETW,7.56989147896,86527
AEGERION PHARMACEUTICALS INC,3.69878957959,294691
AEGION CORP,21.0875663314,223876
AEGON N V,5.50156237723,661812
AEMETIS INC,2.03412471917,32938
AEP INDS INC,65.9432387312,4792
AERCAP HOLDINGS NV,38.7602376963,1783116
AERIE PHARMACEUTICALS INC,12.1602713791,420961
AEROHIVE NETWORKS INC,4.99532956991,24623
AEROJET ROCKETDYNE HLDGS INC,16.3777517813,37612
AEROPOSTALE,0.202963263649,88686
AEROVIRONMENT INC,28.3200127332,615713
AES CORP,11.7999769327,7092302
AETNA INC NEW,112.350032211,2340836
AFFILIATED MANAGERS GROUP,162.39944421,1491212
AFFIMED N V,3.72192783245,15852
AFFYMETRIX INC,14.0082589136,119144
AFLAC INC,63.1398594771,1487729
AG MTG INVT TR INC,13.0719930681,66937
AGCO CORP,49.6999867619,649638
AGENUS INC,4.16304589455,49483
AGILENT TECHNOLOGIES INC,39.8500135638,4814302
AGILYSYS INC,10.1919115255,18446
AGIOS PHARMACEUTICALS INC,40.5835610257,39893
AGL RES INC,65.1401111278,832375
AGNICO EAGLE MINES LTD,36.1604656021,689344
AGREE REALTY CORP,38.4938319447,15483
AGRIUM INC,88.2892383878,436180
AGROFRESH SOLUTIONS,6.39658848614,60970
AIMMUNE THERAPEUTICS INC,13.5558539549,15639
AIR LEASE CORP,32.1163925538,110660
AIR METHODS CORP,36.2200191268,1994063
AIR PRODS & CHEMS INC,144.049449472,1453605
AIR TRANSPORT SERVICES GRP I,15.3752917939,44552
AIRCASTLE LTD,22.2325922469,60002
AIRGAS INC,141.639941333,2502931
AIRMEDIA GROUP INC,5.60020470115,343916
AIXTRON SE,4.84881425752,279656
AK STL HLDG CORP,4.12831739791,111910
AKAMAI TECHNOLOGIES INC,55.5702413187,809552
AKEBIA THERAPEUTICS INC,8.99697757784,14227
AKERS BIOSCIENCES INC,1.64967006599,13336
AKORN INC,23.5277981286,298923
ALAMO GROUP INC,55.7067276809,138547
ALAMOS GOLD INC NEW,5.29720713207,88726
ALARM COM HLDGS INC,23.6893920748,16252
ALASKA AIR GROUP INC,82.0205407027,780207
ALASKA COMMUNICATIONS SYS GR,1.76151761518,14760
ALBANY INTL CORP,37.5362669246,16544
ALBANY MOLECULAR RESH INC,15.2819663422,63997
ALBEMARLE CORP,63.9300055957,770233
ALCOA INC,9.58004956768,5382540
ALCOBRA LTD,3.79042611726,16357
ALDER BIOPHARMACEUTICALS INC,24.4913051517,367804
ALERE INC,50.6102884062,872866
ALEXANDER & BALDWIN INC NEW,36.6841220674,143986
ALEXANDERS INC,380.428488709,3454
ALEXANDRIA REAL ESTATE EQ IN,90.8905101448,689863
ALEXCO RESOURCE CORP,0.959023539669,11470
ALEXION PHARMACEUTICALS INC,139.220249284,934196
ALEXZA PHARMACEUTICALS INC,0.485187906345,432822
ALIBABA GROUP HLDG LTD,79.0299945921,10774909
ALIGN TECHNOLOGY INC,72.6883907404,477903
ALIMERA SCIENCES INC,1.74977551293,2124844
ALKERMES PLC,34.1901586621,2365593
ALLEGHANY CORP DEL,496.215131111,23911
ALLEGHENY TECHNOLOGIES INC,16.2998298202,229757
ALLEGIANCE BANCSHARES INC,18.389865141,12235
ALLEGIANT TRAVEL CO,178.069645537,51317
ALLEGION PUB LTD CO,63.7102790739,790830
ALLERGAN PLC,269.348127905,3648906
ALLETE INC,56.0704733857,232939
ALLIANCE DATA SYSTEMS CORP,220.001203713,398766
ALLIANCE FIBER OPTIC PRODS I,14.8100450741,10871
ALLIANCE HEALTHCARE SRVCS IN,7.17640230067,18951
ALLIANCE ONE INTL INC,17.5355450237,12660
ALLIANCE RES PARTNER L P,11.6534839925,132750
ALLIANCEBERNSTEIN HOLDING LP,23.4306509817,392392
ALLIANCEBERNSTEIN INCOME FUN,7.85033201419,433867
ALLIANT ENERGY CORP,74.278294181,525214
ALLIED HEALTHCARE PRODS INC,0.689164044015,43531
ALLIED WRLD ASSUR COM HLDG A,34.9399904222,1213223
ALLISON TRANSMISSION HLDGS I,26.9798660442,1971396
ALLSCRIPTS HEALTHCARE SOLUTN,13.2101142931,5856346
ALLSTATE CORP,67.370001197,1854594
ALLY FINL INC,18.7199787254,3609940
ALNYLAM PHARMACEUTICALS INC,62.770886498,641874
ALON USA ENERGY INC,10.320045115,2287490
ALON USA PARTNERS LP,13.1400591994,36149
ALPHA & OMEGA SEMICONDUCTOR,11.8557650961,32558
ALPHA PRO TECH LTD,1.82658214247,37228
ALPHABET INC,757.852022586,4226618
ALPHATEC HOLDINGS INC,0.240868503002,58123
ALPINE TOTAL DYNAMIC DIVID F,7.48204911603,16573
ALPS ETF TR,11.0285666156,38598307
ALTISOURCE PORTFOLIO SOLNS S,24.1469191177,75579
ALTISOURCE RESIDENTIAL CORP,12.0116927983,37630
ALTRA INDL MOTION CORP,27.7699485247,67411
ALTRIA GROUP INC,62.6600650536,6870644
ALUMINUM CORP CHINA LTD,7.97342192691,18060
AMAG PHARMACEUTICALS INC,23.3985851516,278051
AMARIN CORP PLC,1.52957471479,283739
AMAYA INC,13.382813852,52007
AMAZON COM INC,593.640178484,2949957
AMBAC FINL GROUP INC,15.7998193051,1638120
AMBARELLA INC,44.6988080073,272401
AMBER RD INC,5.38599640934,16710
AMBEV SA,5.17990618739,6080419
AMC ENTMT HLDGS INC,27.9583875163,12304
AMC NETWORKS INC,64.9405772496,431148
AMDOCS LTD,60.4199097618,1492273
AMEC FOSTER WHEELER PLC,6.39839654641,155664
AMEDISYS INC,48.3404780462,61584
AMERCO,357.310676429,109812
AMEREN CORP,50.0999122191,4735657
AMERICA MOVIL SAB DE CV,15.5303264473,1504347
AMERICAN AIRLS GROUP INC,41.0095334902,2260767
AMERICAN ASSETS TR INC,39.8924401784,29379
AMERICAN AXLE & MFG HLDGS IN,15.3902961803,346647
AMERICAN CAMPUS CMNTYS INC,47.0885188886,616456
AMERICAN CAP LTD,15.239943845,7282704
AMERICAN CAP MTG INVT CORP,14.6803345023,370700
AMERICAN CAPITAL AGENCY CORP,18.6301177771,2938092
AMERICAN CARESOURCE HLDGS IN,0.484027105518,14462
AMERICAN DG ENERGY INC,0.334425790917,44853
AMERICAN EAGLE OUTFITTERS NE,16.6700244176,1861365
AMERICAN ELEC PWR INC,66.4001876421,2246831
AMERICAN EQTY INVT LIFE HLD,16.7997629274,3371119
AMERICAN EXPRESS CO,61.4000580583,8536246
AMERICAN FINL GROUP INC OHIO,70.369812695,571154
AMERICAN HOMES 4 RENT,15.8999779216,1123272
AMERICAN INTL GROUP INC,53.8089580512,5055162
AMERICAN MIDSTREAM PARTNERS,6.92353194235,74384
AMERICAN NATL INS CO,115.484292877,41287
AMERICAN PUBLIC EDUCATION IN,20.6271337178,34857
AMERICAN RAILCAR INDS INC,40.7487066209,17203
AMERICAN SCIENCE & ENGR INC,27.6604604128,16811
AMERICAN SOFTWARE INC,9.00292595093,35544
AMERICAN STS WTR CO,39.3619225192,178599
AMERICAN SUPERCONDUCTOR CORP,7.56227758007,2248
AMERICAN TOWER CORP NEW,102.370001669,8898095
AMERICAN VANGUARD CORP,15.7644259369,13448
AMERICAN WOODMARK CORP,74.6030595229,13793
AMERICAN WTR WKS CO INC NEW,68.9302883108,1993855
AMERICAS CAR MART INC,25.0280486752,11587
AMERIGAS PARTNERS L P,43.4703051408,1071145
AMERIPRISE FINL INC,94.0104893876,1507619
AMERIS BANCORP,29.5794385482,597273
AMERISAFE INC,52.5397883859,428894
AMERISERV FINL INC,3.02489723106,12893
AMERISOURCEBERGEN CORP,86.5499165618,1315345
AMETEK INC NEW,49.9800585245,2484771
AMGEN INC,149.929853495,3402878
AMICUS THERAPEUTICS INC,8.45052734964,1067034
AMIRA NATURE FOODS LTD,9.76932281175,132046
AMKOR TECHNOLOGY INC,5.89123172317,239169
AMN HEALTHCARE SERVICES INC,33.6122365803,208555
AMPCO-PITTSBURGH CORP,13.9015113265,29709
AMPHASTAR PHARMACEUTICALS IN,11.9902617164,49290
AMPHENOL CORP NEW,57.8200806677,4548783
AMPLIFY SNACK BRANDS,14.3234672304,132440
