nameOfIssuer,sprice,sshPrnamt
180 DEGREE CAP CORP,1.60935117737,11806
1ST SOURCE CORP,47.9771537363,10505
21VIANET GROUP INC,5.03916579354,20043
2U INC,46.922062877,250330
3-D SYS CORP DEL,18.7005609307,1160393
3M CO,208.190236741,2539951
500 COM LTD,10.8869946831,11849
51JOB INC,44.7305480637,58953
58 COM INC,44.1098059252,673297
8POINT3 ENERGY PARTNERS LP,15.1185292695,16536
8X8 INC NEW,14.5480253726,254605
A H BELO CORP,5.50160739734,30173
A10 NETWORKS INC,8.43526693769,111674
AAON INC,36.8098159509,17441
AAR CORP,34.7645984589,89804
AARONS INC,38.9001698075,842130
ABAXIS INC,52.9930539296,25626
ABB LTD,24.9002183575,697022
ABBOTT LABS,48.6099962948,18725058
ABBVIE INC,72.509975725,9674986
ABEONA THERAPEUTICS INC,6.42054574639,10591
ABERCROMBIE & FITCH CO,12.4404118759,572891
ABERDEEN ASIA PACIFIC INCOM,5.00147102089,13596
ABIOMED INC,143.299493949,551921
ABM INDS INC,41.5203604205,1774816
ABRAXAS PETE CORP,1.62003407297,382708
AC IMMUNE SA,8.77374784111,14475
ACACIA COMMUNICATIONS INC,41.4722821016,31081
ACACIA RESH CORP,4.09843400447,111750
ACADIA HEALTHCARE COMPANY IN,49.3800270241,4375352
ACADIA PHARMACEUTICALS INC,27.8904609509,1908251
ACADIA RLTY TR,27.8000595042,5750851
ACCELERATE DIAGNOSTICS INC,27.3465472282,74013
ACCELERON PHARMA INC,30.388976593,520057
ACCENTURE PLC IRELAND,123.679972987,4406728
ACCESS NATL CORP,26.5175056971,9654
ACCO BRANDS CORP,11.6499488795,180945
ACCURAY INC,4.74935896871,226978
ACELRX PHARMACEUTICALS INC,2.14913365584,246611
ACETO CORP,15.4399271098,40609
ACHAOGEN INC,21.7491901897,19449
ACHILLION PHARMACEUTICALS IN,4.59003999785,3613694
ACI WORLDWIDE INC,22.3686999518,533111
ACLARIS THERAPEUTICS INC,27.1155095716,80028
ACORDA THERAPEUTICS INC,19.6988163513,534956
ACTIVISION BLIZZARD INC,57.5700340473,5405121
ACTUA CORP,14.0528304106,68029
ACTUANT CORP,24.6009401317,161254
ACUITY BRANDS INC,203.278709942,459266
ACUSHNET HOLDINGS CORP,19.8345028095,71542
ACXIOM CORP,25.9804078357,343913
ADAMAS PHARMACEUTICALS INC,17.4924041518,56939
ADAPTIMMUNE THERAPEUTICS PLC,4.48736708614,10251
ADCARE HEALTH SYSTEMS INC,0.960486794695,720468
ADDUS HOMECARE CORP,37.1598046057,5732
ADECOAGRO S A,9.98920729391,797761
ADIENT PLC,65.3785877233,266081
ADOBE SYS INC,141.440405629,4047832
ADTALEM GLOBAL ED INC,37.9496557351,558872
ADTRAN INC,20.6520892305,154028
ADURO BIOTECH INC,11.3987949845,221076
ADVANCE AUTO PARTS INC,116.588753909,1155566
ADVANCED DISP SVCS INC DEL,22.7298253496,1780700
ADVANCED DRAIN SYS INC DEL,20.1045013663,66602
