nameOfIssuer,sprice,sshPrnamt
1ST SOURCE CORP,50.7879832554,16244
21VIANET GROUP INC,5.65601848164,12553
2U INC,56.037494593,210377
3-D SYS CORP DEL,13.3893329386,324288
3M CO,209.900152223,2906925
500 COM LTD,11.0460251046,5975
51JOB INC,60.6280193237,20700
58 COM INC,63.1399739536,687235
8POINT3 ENERGY PARTNERS LP,15.0191692028,25301
8X8 INC NEW,13.5004753853,427022
A10 NETWORKS INC,7.55561774171,185822
AAC HLDGS INC,9.9313567986,13694
AAON INC,34.4848375234,49761
AAR CORP,37.7790116602,180100
AARONS INC,43.6310178821,933281
ABAXIS INC,44.6549162615,59232
ABB LTD,24.7482515802,665744
ABBOTT LABS,53.359990388,17378264
ABBVIE INC,88.8598974924,9820538
ABEONA THERAPEUTICS INC,17.0513489991,143625
ABERCROMBIE & FITCH CO,14.440581876,1335611
ABIOMED INC,168.599338113,500085
ABM INDS INC,41.709912752,6139284
ABRAXAS PETE CORP,1.87795442473,186373
ACACIA COMMUNICATIONS INC,47.1037416821,45835
ACACIA RESH CORP,4.55239705206,67437
ACADIA HEALTHCARE COMPANY IN,47.759948779,4096759
ACADIA PHARMACEUTICALS INC,37.6700701761,1820278
ACADIA RLTY TR,28.6199091379,6831014
ACCELERATE DIAGNOSTICS INC,22.4488333771,83746
ACCELERON PHARMA INC,37.3205454249,632681
ACCENTURE PLC IRELAND,135.070024701,4671066
ACCESS NATL CORP,28.6969527014,10698
ACCO BRANDS CORP,11.8993309002,263040
ACCURAY INC,4.00025585892,203237
ACELRX PHARMACEUTICALS INC,4.62962962963,648
ACETO CORP,11.2336958422,114388
ACHAOGEN INC,15.949181408,321772
ACHILLION PHARMACEUTICALS IN,4.4899063005,2706738
ACI WORLDWIDE INC,22.7788023734,538966
ACLARIS THERAPEUTICS INC,25.8099293839,92755
ACORDA THERAPEUTICS INC,23.649123846,540316
ACTIVISION BLIZZARD INC,64.5100544542,4991718
ACTUA CORP,15.3042275527,78083
ACTUANT CORP,25.6035302959,270119
ACUITY BRANDS INC,171.28121782,465159
ACUSHNET HOLDINGS CORP,17.7610551442,49434
ACXIOM CORP,24.6384248693,296204
ADAMAS PHARMACEUTICALS INC,21.1670988159,101431
ADAPTIMMUNE THERAPEUTICS PLC,8.18548387097,49600
ADCARE HEALTH SYSTEMS INC,0.928135773005,15084
ADECOAGRO S A,10.7999090491,980749
ADIENT PLC,83.9889135914,437653
ADOBE SYS INC,149.1797121,3934838
ADOMANI INC,6.95594186902,86976
ADTALEM GLOBAL ED INC,35.8503320091,661277
ADTRAN INC,24.0023482008,149902
ADURO BIOTECH INC,10.651304474,193028
ADVANCE AUTO PARTS INC,99.2002650845,736369
ADVANCED ACCELERATOR APPLIC,67.5928182631,12309
ADVANCED DISP SVCS INC DEL,25.189664319,1159285
ADVANCED DRAIN SYS INC DEL,20.2528615435,158743
ADVANCED EMISSIONS SOLUTS IN,10.9451007644,17268
ADVANCED ENERGY INDS,80.7562781771,220924
ADVANCED MICRO DEVICES INC,12.7500022284,9984861
ADVANCED SEMICONDUCTOR ENGR,6.18537543636,75339
ADVANSIX INC,39.7525280053,245846
ADVANTAGE OIL & GAS LTD,6.30129903703,123784
ADVAXIS INC,4.18930815701,32941
ADVISORSHARES TR,32.1272991288,16528
ADVISORY BRD CO,53.6249816224,1537194
AECOM,36.8103063809,950712
AEGEAN MARINE PETROLEUM NETW,4.95271056479,67034
AEGION CORP,23.2855633215,107878
AEGON N V,5.78960480038,1019586
AERCAP HOLDINGS NV,51.1097051161,684371
AERIE PHARMACEUTICALS INC,48.60401007,167229
AEROHIVE NETWORKS INC,4.07604653239,33611
AEROJET ROCKETDYNE HLDGS INC,35.0099395899,336533
AEROVIRONMENT INC,54.1259601493,139822
AES CORP,11.0199701827,10976164
AETNA INC NEW,159.010105416,2618299
AEVI GENOMIC MEDICINE INC,1.25540048406,88418
AFFILIATED MANAGERS GROUP,189.830515477,1452227
AFFIMED N V,2.24050294275,29904
AFLAC INC,81.3898214666,4026474
AG MTG INVT TR INC,19.2416146515,209234
AGCO CORP,73.7700114229,1876928
AGENUS INC,4.41062627587,362987
AGILENT TECHNOLOGIES INC,64.1998060493,4885778
AGILYSYS INC,11.9427043265,27297
AGIOS PHARMACEUTICALS INC,66.7495569411,932156
AGNC INVT CORP,21.6800611883,5224524
AGNICO EAGLE MINES LTD,45.2089423231,460462
AGREE REALTY CORP,49.0795435981,116301
AGRIUM INC,107.21315778,182888
AIMMUNE THERAPEUTICS INC,24.7881767027,247376
AIR LEASE CORP,42.6199551466,325059
AIR PRODS & CHEMS INC,151.220165748,1089729
AIR TRANSPORT SERVICES GRP I,24.3368529488,85426
AIRCASTLE LTD,22.2857088621,105359
AK STL HLDG CORP,5.58998907849,2832027
AKAMAI TECHNOLOGIES INC,48.719881338,1779171
AKEBIA THERAPEUTICS INC,19.670404705,639997
AKORN INC,33.1899045763,4474463
ALAMO GROUP INC,107.37547014,65406
ALAMOS GOLD INC NEW,6.76084883057,1091431
ALARM COM HLDGS INC,45.2152014652,8736
ALASKA AIR GROUP INC,76.2702014537,739922
ALASKA COMMUNICATIONS SYS GR,2.25109338822,15548
ALBANY INTL CORP,57.409008845,65913
ALBEMARLE CORP,136.309506456,891794
ALCENTRA CAP CORP,10.6730769231,10400
ALCOA CORP,46.6193320326,1154757
ALCOBRA LTD,0.973192957622,11303
ALDER BIOPHARMACEUTICALS INC,12.2499660401,1516494
ALERE INC,50.9899716206,2720280
ALEXANDER & BALDWIN INC NEW,46.3291839557,271125
ALEXANDERS INC,424.100156495,3834
ALEXANDRIA REAL ESTATE EQ IN,118.969801516,2118815
ALEXCO RESOURCE CORP,1.44861014808,307191
ALEXION PHARMACEUTICALS INC,140.29009663,3458227
ALGONQUIN PWR UTILS CORP,10.5649313107,145292
ALIBABA GROUP HLDG LTD,172.70999818,15046309
ALICO INC,34.1745906914,13987
ALIGN TECHNOLOGY INC,186.269442795,1484033
ALIMERA SCIENCES INC,1.34613281283,118859
ALIO GOLD INC,4.43609022556,13300
ALJ REGIONAL HLDGS INC,3.44240590127,26435
ALKERMES PLC,50.8401661712,3426346
ALLEGHANY CORP DEL,554.006197432,54216
ALLEGHENY TECHNOLOGIES INC,23.900413722,1638298
ALLEGIANT TRAVEL CO,131.707688018,78902
ALLEGION PUB LTD CO,86.4697102982,505865
ALLERGAN PLC,210.066546798,3209621
ALLETE INC,77.2923831251,176214
ALLIANCE DATA SYSTEMS CORP,221.548320995,497765
ALLIANCE HOLDINGS GP LP,27.8104974964,439762
ALLIANCE RES PARTNER L P,19.3497189696,1324412
ALLIANCEBERNSTEIN HOLDING LP,24.299000974,696078
ALLIANT ENERGY CORP,41.5700819039,1481859
ALLISON TRANSMISSION HLDGS I,37.530096258,2996635
ALLSCRIPTS HEALTHCARE SOLUTN,14.2299478348,9012331
ALLSTATE CORP,91.9101100284,2988409
ALLY FINL INC,24.2600397491,5923156
ALMOST FAMILY INC,53.7004736729,588803
ALNYLAM PHARMACEUTICALS INC,117.490108716,1793751
ALON USA PARTNERS LP,11.5322580645,49600
ALPHA & OMEGA SEMICONDUCTOR,16.4759317807,22457
ALPHABET INC,967.306505322,4134584
ALPINE GLOBAL PREMIER PPTYS,6.64242424242,20625
ALPINE TOTAL DYNAMIC DIVID F,9.00606456767,27537
ALPS ETF TR,11.2697464315,70614721
ALTABA INC,66.2399563873,13698756
ALTERYX INC,20.366598778,64321
ALTICE USA INC,27.3099143684,2065477
ALTISOURCE ASSET MGMT CORP,80.2053433429,18116
ALTISOURCE PORTFOLIO SOLNS S,25.872342692,150199
ALTISOURCE RESIDENTIAL CORP,11.1093063705,295518
ALTRA INDL MOTION CORP,48.089827324,22354
ALTRIA GROUP INC,63.4201164402,9197681
ALUMINUM CORP CHINA LTD,22.1565731167,20987
AMAG PHARMACEUTICALS INC,18.4505701766,631471
AMARIN CORP PLC,3.50031897391,238264
AMAZON COM INC,961.350207273,3652180
AMBAC FINL GROUP INC,17.2597433107,1826099
AMBARELLA INC,49.0091229809,306698
AMBEV SA,6.59005882437,17881024
AMC ENTMT HLDGS INC,14.7012357815,227872
AMC NETWORKS INC,58.4714896704,397014
AMDOCS LTD,64.3199368669,2260621
AMEC FOSTER WHEELER PLC,6.7586414058,46607
AMEDISYS INC,55.969362269,90085
AMERCO,374.90228108,85705
AMEREN CORP,57.8400349106,3645883
AMERICA MOVIL SAB DE CV,17.7499010196,6354796
AMERICAN AIRLS GROUP INC,47.4895970889,3126769
AMERICAN ASSETS TR INC,39.7678376776,313746
AMERICAN AXLE & MFG HLDGS IN,17.5799984786,2155916
AMERICAN CAMPUS CMNTYS INC,44.1505902322,768257
AMERICAN EAGLE OUTFITTERS NE,14.3000021116,5209230
AMERICAN ELEC PWR INC,70.2400310221,2841841
AMERICAN EQTY INVT LIFE HLD,29.0800607639,819565
AMERICAN EXPRESS CO,90.4599521724,4024875
AMERICAN FINL GROUP INC OHIO,103.449227563,724655
AMERICAN HOMES 4 RENT,21.7101121883,6087624
AMERICAN INTL GROUP INC,61.0602782163,9807407
AMERICAN MIDSTREAM PARTNERS,13.649605706,79636
AMERICAN NATL INS CO,118.089149965,11576
AMERICAN OUTDOOR BRANDS CORP,15.2476908421,193144
AMERICAN PUBLIC EDUCATION IN,21.0558276458,75751
AMERICAN RAILCAR INDS INC,38.5360315234,14973
AMERICAN RENAL ASSOCIATES HO,14.9707355749,673514
AMERICAN SOFTWARE INC,11.361694415,193105
AMERICAN STS WTR CO,49.2428317822,148712
AMERICAN SUPERCONDUCTOR CORP,4.46688677413,5149
AMERICAN TOWER CORP NEW,136.540107314,8289286
AMERICAN VANGUARD CORP,22.8900951793,67977
AMERICAN WOODMARK CORP,96.2513117968,245846
AMERICAN WTR WKS CO INC NEW,80.9101060292,885699
AMERICAS CAR MART INC,41.1095972068,46972
AMERIGAS PARTNERS L P,44.9400128583,1752959
AMERIPRISE FINL INC,148.509326657,1652307
AMERIS BANCORP,47.9996410352,1092029
AMERISAFE INC,58.1990690711,593171
AMERISOURCEBERGEN CORP,82.7497328782,1343956
AMETEK INC NEW,66.0400965534,1830282
AMGEN INC,186.450124091,6890100
AMICUS THERAPEUTICS INC,15.0800186781,1177850
AMIRA NATURE FOODS LTD,6.04838709677,15872
AMKOR TECHNOLOGY INC,10.5504322009,951525
AMN HEALTHCARE SERVICES INC,45.7008005624,964447
AMPCO-PITTSBURGH CORP,17.391875041,15237
AMPHASTAR PHARMACEUTICALS IN,17.8723195205,203555
AMPHENOL CORP NEW,84.640158888,3958511
AMPLIFY SNACK BRANDS,7.06819313091,10045
AMTRUST FINL SVCS INC,13.4600630807,5161640
AMYRIS INC,3.2165227696,29535
ANADARKO PETE CORP,48.8498632356,3913665
ANALOG DEVICES INC,86.1697756943,3300496
ANALOGIC CORP,83.7380136564,40567
ANAPTYSBIO INC,34.9469613157,107563
ANDEAVOR,103.150278966,1776922
ANDEAVOR LOGISTICS LP,50.0600138148,3697482
ANDERSONS INC,34.2377622378,53625
ANGIODYNAMICS INC,17.091231178,282250
ANGLOGOLD ASHANTI LTD,9.29020830375,2204041
ANHEUSER BUSCH INBEV SA/NV,119.300224686,969797
ANI PHARMACEUTICALS INC,52.4777987392,43466
ANIKA THERAPEUTICS INC,57.99971085,159087
ANIXTER INTL INC,85.0003586265,850467
ANNALY CAP MGMT INC,12.1899602308,9679605
ANSYS INC,122.730817604,887324
ANTARES PHARMA INC,3.24058988302,334507
ANTERO MIDSTREAM GP LP,20.4701048397,5740762
ANTERO MIDSTREAM PARTNERS LP,31.5300029938,9259276
ANTERO RES CORP,19.8999581869,4068099
ANTHEM INC,189.880020235,2478918
ANWORTH MORTGAGE ASSET CP,6.00906179372,466795
AON PLC,146.100043174,1732532
APACHE CORP,45.7996908892,1501080
APARTMENT INVT & MGMT CO,43.8602277189,1273500
APOGEE ENTERPRISES INC,48.2588373364,98842
APOLLO COML REAL EST FIN INC,18.1098468447,422643
APOLLO ENDOSURGERY INC,4.71247097391,14642
APOLLO GLOBAL MGMT LLC,30.099961816,4433793
APOLLO INVT CORP,6.10930982265,538195
APPFOLIO INC,47.9542985879,99428
APPLE HOSPITALITY REIT INC,18.9103326874,794169
APPLE INC,154.120000164,31150824
APPLIED DNA SCIENCES INC,2.85424914833,10861
APPLIED INDL TECHNOLOGIES IN,65.8014303452,144161
APPLIED MATLS INC,52.0898556365,11053419
APPLIED OPTOELECTRONICS INC,64.6706419584,143218
APPROACH RESOURCES INC,2.51028303213,547747
