nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt/sshPrnamt,shrsOrPrnAmt/sshPrnamtType,investmentDiscretion,otherManager,votingAuthority/Sole,votingAuthority/Shared,votingAuthority/None,putCall
1ST SOURCE CORP,CMN,336901103,825,16244,SH,DFND,1,16244,0,0,
21VIANET GROUP INC,CMN,90138A103,71,12553,SH,DFND,1,12553,0,0,
2U INC,CMN,90214J101,11160,199149,SH,DFND,1,199149,0,0,
2U INC,CMN,90214J101,629,11228,SH,DFND,2,11228,0,0,
3-D SYS CORP DEL,CMN,88554D205,3940,294274,SH,DFND,1,294274,0,0,
3-D SYS CORP DEL,CMN,88554D205,1875,140000,SH,DFND,1,140000,0,0,Call
3-D SYS CORP DEL,CMN,88554D205,14722,1099500,SH,DFND,1,1099500,0,0,Put
3-D SYS CORP DEL,CMN,88554D205,402,30014,SH,DFND,2,30014,0,0,
3M CO,CMN,88579Y101,351972,1676856,SH,DFND,1,1666504,0,10352,
3M CO,CMN,88579Y101,12090,57600,SH,DFND,1,57600,0,0,Call
3M CO,CMN,88579Y101,106482,507300,SH,DFND,1,507300,0,0,Put
3M CO,CMN,88579Y101,252003,1200587,SH,DFND,2,1135529,0,65058,
3M CO,CMN,88579Y101,4366,20799,SH,DFND,6,20799,0,0,
3M CO,CMN,88579Y101,1823,8683,SH,DFND,7,8683,0,0,
500 COM LTD,CMN,33829R100,66,5975,SH,DFND,1,5975,0,0,
500 COM LTD,CMN,33829R100,616,56000,SH,DFND,1,56000,0,0,Call
51JOB INC,CMN,316827104,1255,20700,SH,DFND,1,20700,0,0,
58 COM INC,CMN,31680Q104,21991,348296,SH,DFND,1,348296,0,0,
58 COM INC,CMN,31680Q104,846,13400,SH,DFND,1,13400,0,0,Put
58 COM INC,CMN,31680Q104,732,11600,SH,DFND,1,11600,0,0,Call
58 COM INC,CMN,31680Q104,19118,302784,SH,DFND,2,302784,0,0,
58 COM INC,CMN,31680Q104,2283,36155,SH,DFND,3,33699,0,2456,
8POINT3 ENERGY PARTNERS LP,CMN,282539105,380,25301,SH,DFND,1,15301,0,10000,
8X8 INC NEW,CMN,282914100,5613,415754,SH,DFND,1,415754,0,0,
8X8 INC NEW,CMN,282914100,152,11268,SH,DFND,2,11268,0,0,
A10 NETWORKS INC,CMN,002121101,1194,157985,SH,DFND,1,157985,0,0,
A10 NETWORKS INC,CMN,002121101,210,27837,SH,DFND,2,27837,0,0,
AAC HLDGS INC,CMN,000307108,136,13694,SH,DFND,1,13694,0,0,
AAON INC,CMN,000360206,1716,49761,SH,DFND,1,49761,0,0,
AAR CORP,CMN,000361105,6043,159948,SH,DFND,1,158641,0,1307,
AAR CORP,CMN,000361105,761,20152,SH,DFND,2,20152,0,0,
AARONS INC,CMN,002535300,23776,544935,SH,DFND,1,544935,0,0,
AARONS INC,CMN,002535300,9,200,SH,DFND,1,200,0,0,Put
AARONS INC,CMN,002535300,79,1800,SH,DFND,1,1800,0,0,Call
AARONS INC,CMN,002535300,16944,388346,SH,DFND,2,373151,0,15195,
ABAXIS INC,CMN,002567105,2645,59232,SH,DFND,1,59232,0,0,
ABB LTD,CMN,000375204,384,15530,SH,DFND,1,15320,0,210,
ABB LTD,CMN,000375204,14287,577271,SH,DFND,2,577271,0,0,
ABB LTD,CMN,000375204,248,10036,SH,DFND,5,10036,0,0,
ABB LTD,CMN,000375204,1557,62907,SH,DFND,6,62907,0,0,
ABBOTT LABS,CMN,002824100,327173,6131428,SH,DFND,1,4390565,0,1740863,
ABBOTT LABS,CMN,002824100,19727,369700,SH,DFND,1,369700,0,0,Call
ABBOTT LABS,CMN,002824100,17555,329000,SH,DFND,1,329000,0,0,Put
ABBOTT LABS,CMN,002824100,460228,8624967,SH,DFND,2,8276830,0,348137,
ABBOTT LABS,CMN,002824100,93657,1755186,SH,DFND,3,256,0,1754930,
ABBOTT LABS,CMN,002824100,6064,113649,SH,DFND,4,0,0,113649,
ABBOTT LABS,CMN,002824100,31775,595477,SH,DFND,5,25134,0,570343,
ABBOTT LABS,CMN,002824100,7073,132558,SH,DFND,6,132558,0,0,
ABBOTT LABS,CMN,002824100,1334,24999,SH,DFND,7,24999,0,0,
ABBVIE INC,CMN,00287Y109,548014,6167165,SH,DFND,1,4705693,0,1461472,
ABBVIE INC,CMN,00287Y109,37401,420900,SH,DFND,1,420900,0,0,Put
ABBVIE INC,CMN,00287Y109,152928,1721000,SH,DFND,1,1721000,0,0,Call
ABBVIE INC,CMN,00287Y109,309703,3485291,SH,DFND,2,3440973,0,44318,
ABBVIE INC,CMN,00287Y109,4556,51276,SH,DFND,3,35278,0,15998,
ABBVIE INC,CMN,00287Y109,1114,12541,SH,DFND,5,3741,0,8800,
ABBVIE INC,CMN,00287Y109,7226,81324,SH,DFND,6,81324,0,0,
ABBVIE INC,CMN,00287Y109,2039,22941,SH,DFND,7,22941,0,0,
ABEONA THERAPEUTICS INC,CMN,00289Y107,2449,143625,SH,DFND,1,143625,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,8365,579268,SH,DFND,1,579268,0,0,
ABERCROMBIE & FITCH CO,CMN,002896207,1583,109600,SH,DFND,1,109600,0,0,Put
ABERCROMBIE & FITCH CO,CMN,002896207,3972,275100,SH,DFND,1,275100,0,0,Call
ABERCROMBIE & FITCH CO,CMN,002896207,10922,756343,SH,DFND,2,726141,0,30202,
ABIOMED INC,CMN,003654100,41681,247221,SH,DFND,1,247221,0,0,
ABIOMED INC,CMN,003654100,42633,252864,SH,DFND,2,251474,0,1390,
ABM INDS INC,CMN,000957100,192069,4604877,SH,DFND,1,4604877,0,0,
ABM INDS INC,CMN,000957100,64000,1534407,SH,DFND,2,1471092,0,63315,
ABRAXAS PETE CORP,CMN,003830106,298,158696,SH,DFND,1,158696,0,0,
ABRAXAS PETE CORP,CMN,003830106,52,27677,SH,DFND,2,27677,0,0,
ACACIA COMMUNICATIONS INC,CMN,00401C108,1782,37825,SH,DFND,1,37825,0,0,
ACACIA COMMUNICATIONS INC,CMN,00401C108,377,8010,SH,DFND,2,8010,0,0,
ACACIA RESH CORP,CMN,003881307,307,67437,SH,DFND,1,67437,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,80874,1693350,SH,DFND,1,1693350,0,0,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,113706,2380785,SH,DFND,2,2338159,0,42626,
ACADIA HEALTHCARE COMPANY IN,CMN,00404A109,1081,22624,SH,DFND,6,22624,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,14439,383293,SH,DFND,1,383293,0,0,
ACADIA PHARMACEUTICALS INC,CMN,004225108,1884,50000,SH,DFND,1,50000,0,0,Call
ACADIA PHARMACEUTICALS INC,CMN,004225108,1884,50000,SH,DFND,1,50000,0,0,Put
ACADIA PHARMACEUTICALS INC,CMN,004225108,54131,1436985,SH,DFND,2,1421580,0,15405,
ACADIA RLTY TR,CMN,004239109,45778,1599517,SH,DFND,1,1599517,0,0,
ACADIA RLTY TR,CMN,004239109,149510,5223975,SH,DFND,2,5010268,0,213707,
ACADIA RLTY TR,CMN,004239109,215,7522,SH,DFND,6,7522,0,0,
ACCELERATE DIAGNOSTICS INC,CMN,00430H102,1880,83746,SH,DFND,1,83746,0,0,
ACCELERON PHARMA INC,CMN,00434H108,2200,58950,SH,DFND,1,58950,0,0,
ACCELERON PHARMA INC,CMN,00434H108,21412,573731,SH,DFND,2,573731,0,0,
ACCENTURE PLC IRELAND,CMN,G1151C101,433241,3207528,SH,DFND,1,3164424,0,43104,
ACCENTURE PLC IRELAND,CMN,G1151C101,21868,161900,SH,DFND,1,161900,0,0,Put
ACCENTURE PLC IRELAND,CMN,G1151C101,19383,143500,SH,DFND,1,143500,0,0,Call
ACCENTURE PLC IRELAND,CMN,G1151C101,191542,1418093,SH,DFND,2,1397994,0,20099,
ACCENTURE PLC IRELAND,CMN,G1151C101,4937,36554,SH,DFND,6,36554,0,0,
ACCENTURE PLC IRELAND,CMN,G1151C101,1201,8891,SH,DFND,7,8891,0,0,
ACCESS NATL CORP,CMN,004337101,307,10698,SH,DFND,1,10698,0,0,
ACCO BRANDS CORP,CMN,00081T108,1707,143449,SH,DFND,1,143449,0,0,
ACCO BRANDS CORP,CMN,00081T108,922,77503,SH,DFND,2,77503,0,0,
ACCO BRANDS CORP,CMN,00081T108,501,42088,SH,DFND,6,42088,0,0,
ACCURAY INC,CMN,004397105,813,203237,SH,DFND,1,203237,0,0,
