nameOfIssuer,sshPrnamt,value
ALLISON TRANSMISSION HLDGS I,62650,1875
ALLSCRIPTS HEALTHCARE SOLUTN,7477173,134814
ALLSTATE CORP,1520951,86056
ALMOST FAMILY INC,82712,1911
ALNYLAM PHARMACEUTICALS INC,512589,34415
ALON USA ENERGY INC,1535776,22945
ALON USA PARTNERS LP,268242,4469
ALPHA & OMEGA SEMICONDUCTOR,59491,438
ALPHA NATURAL RESOURCES INC,562899,2392
ALPHATEC HOLDINGS INC,11043,17
ALPINE TOTAL DYNAMIC DIVID F,17750,149
ALPS ETF TR,9554669,170969
ALTERA CORP,17127896,620628
ALTISOURCE ASSET MGMT CORP,10332,11103
ALTISOURCE PORTFOLIO SOLNS S,26407,3213
ALTISOURCE RESIDENTIAL CORP,46826,1478
ALTRA INDL MOTION CORP,13305,475
ALTRIA GROUP INC,6359103,238020
ALUMINUM CORP CHINA LTD,20155,174
AMAG PHARMACEUTICALS INC,198925,3849
AMARIN CORP PLC,296706,537
AMAZON COM INC,2962977,996642
AMBAC FINL GROUP INC,17245,535
AMBARELLA INC,50683,1354
AMBEV SA,5917154,43846
AMC ENTMT HLDGS INC,67037,1626
AMC NETWORKS INC,1552645,113468
AMDOCS LTD,331980,15424
AMEDISYS INC,36301,541
AMERCO,4684,1087
AMEREN CORP,1655945,68225
AMERESCO INC,17432,132
AMERICA MOVIL SAB DE CV,5685405,113025
AMERICAN AIRLS GROUP INC,1452243,51482
AMERICAN APPAREL INC,51038,26
AMERICAN ASSETS TR INC,198500,6698
AMERICAN AXLE & MFG HLDGS IN,2226544,41236
AMERICAN CAMPUS CMNTYS INC,3214310,120054
AMERICAN CAP LTD,853001,13474
AMERICAN CAP MTG INVT CORP,489449,9187
AMERICAN CAPITAL AGENCY CORP,1367639,29390
AMERICAN EAGLE OUTFITTERS NE,728236,8913
AMERICAN ELEC PWR INC,1459408,73934
AMERICAN EQTY INVT LIFE HLD,3937476,93003
AMERICAN EXPRESS CO,2943108,264968
AMERICAN FINL GROUP INC OHIO,206089,11893
AMERICAN HOMES 4 RENT,200422,3349
AMERICAN INTL GROUP INC,16572942,828377
AMERICAN MIDSTREAM PARTNERS,1028360,26182
AMERICAN NATL INS CO,5466,618
AMERICAN PUBLIC EDUCATION IN,54888,1925
AMERICAN RAILCAR INDS INC,21421,1500
AMERICAN RESIDENTIAL PPTYS I,45252,814
AMERICAN RLTY CAP PPTYS INC,2796283,39204
AMERICAN SCIENCE & ENGR INC,30683,2061
AMERICAN SOFTWARE INC,24170,246
AMERICAN STS WTR CO,131964,4261
AMERICAN SUPERCONDUCTOR CORP,289949,467
AMERICAN TOWER CORP NEW,9532234,780404
AMERICAN WOODMARK CORP,21377,720
AMERICAN WTR WKS CO INC NEW,216498,9829
AMERICAS CAR MART INC,8128,298
AMERIGAS PARTNERS L P,361040,15254
AMERIPRISE FINL INC,1655062,182173
AMERIS BANCORP,25856,602
AMERISAFE INC,114356,5021
AMERISERV FINL INC,12461,48
AMERISOURCEBERGEN CORP,1058281,69412
AMETEK INC NEW,2045973,105347
AMGEN INC,3037465,374640
AMICUS THERAPEUTICS INC,44048,91
AMKOR TECHNOLOGY INC,385295,2643
AMN HEALTHCARE SERVICES INC,109718,1508
AMPCO-PITTSBURGH CORP,21413,404
AMPHENOL CORP NEW,2289375,209821
AMPIO PHARMACEUTICALS INC,37312,237
AMSURG CORP,4326,204
AMTRUST FINL SVCS INC,206481,7765
AMYRIS INC,17943,67
ANADARKO PETE CORP,4000037,339043
ANADIGICS INC,47106,80
ANALOG DEVICES INC,1152864,61263
ANALOGIC CORP,3500,287
ANDERSONS INC,110544,6549
ANGIES LIST INC,81291,990
ANGIODYNAMICS INC,165917,2613
ANGLOGOLD ASHANTI LTD,732331,12508
ANHEUSER BUSCH INBEV SA/NV,625431,65857
ANI PHARMACEUTICALS INC,8249,259
ANIKA THERAPEUTICS INC,30975,1273
ANIXTER INTL INC,678505,68881
ANN INC,109736,4552
ANNALY CAP MGMT INC,811544,8903
ANSYS INC,230883,17782
ANTARES PHARMA INC,98542,345
ANTERO RES CORP,939604,58819
ANWORTH MORTGAGE ASSET CP,939850,4661
AOL INC,1110422,48604
AON PLC,878003,73998
APACHE CORP,4326846,358913
APARTMENT INVT & MGMT CO,897008,27107
APCO OIL & GAS INTERNATIONAL,29588,428
API TECHNOLOGIES CORP,18137,53
APOGEE ENTERPRISES INC,40035,1331
APOLLO COML REAL EST FIN INC,3417939,56840
APOLLO ED GROUP INC,678498,23232
APOLLO GLOBAL MGMT LLC,778005,24741
APOLLO INVT CORP,2831790,23533
APOLLO RESIDENTIAL MTG INC,28341,460
APPLE INC,8392980,4504848
APPLIED INDL TECHNOLOGIES IN,911011,43947
APPLIED MATLS INC,11309096,230875
APPLIED MICRO CIRCUITS CORP,40129,397
APPROACH RESOURCES INC,1239714,25923
APRICUS BIOSCIENCES INC,12816,28
APTARGROUP INC,141085,9325
AQUA AMERICA INC,380244,9532
ARABIAN AMERN DEV CO,44173,479
ARAMARK HLDGS CORP,39871940,1153096
ARATANA THERAPEUTICS INC,318392,5909
ARBOR RLTY TR INC,60717,420
ARC DOCUMENT SOLUTIONS INC,16533,123
ARCELORMITTAL SA LUXEMBOURG,12958122,222965
ARCH CAP GROUP LTD,235259,13537
ARCH COAL INC,2782945,13413
ARCHER DANIELS MIDLAND CO,3104285,134695
ARCOS DORADOS HOLDINGS INC,1080994,10896
ARCTIC CAT INC,741496,35436
ARDMORE SHIPPING CORP,11502,153
ARENA PHARMACEUTICALS INC,1394962,8788
ARES CAP CORP,1954241,34433
ARGO GROUP INTL HLDGS LTD,41423,1899
ARIAD PHARMACEUTICALS INC,401565,3237
ARKANSAS BEST CORP DEL,102708,3795
ARLINGTON ASSET INVT CORP,15982,423
ARM HLDGS PLC,236930,12077
ARMOUR RESIDENTIAL REIT INC,389839,1606
ARMSTRONG WORLD INDS INC NEW,2647187,140963
ARQULE INC,150581,309
ARRAY BIOPHARMA INC,342498,1610
ARRIS GROUP INC NEW,148822,4194
ARROW ELECTRS INC,245696,14585
ARROW FINL CORP,25012,661
ARROWHEAD RESH CORP,15995,263
ARTHROCARE CORP,38474,1854
ARTISAN PARTNERS ASSET MGMT,37596,2415
ARUBA NETWORKS INC,186193,3491
ASANKO GOLD INC,15947,33
ASBURY AUTOMOTIVE GROUP INC,801933,44355
ASCENA RETAIL GROUP INC,462819,7997
ASCENT CAP GROUP INC,17646,1333
ASHFORD HOSPITALITY PRIME IN,24344,368
ASHFORD HOSPITALITY TR INC,132598,1494
ASHLAND INC NEW,1284964,127829
ASML HOLDING N V,500664,46742
ASPEN INSURANCE HOLDINGS LTD,363722,14439
ASPEN TECHNOLOGY INC,344401,14589
ASSOCIATED BANC CORP,1080572,12373
ASSOCIATED ESTATES RLTY CORP,114970,1948
ASSURANT INC,829419,53879
ASSURED GUARANTY LTD,1724294,43659
ASTEC INDS INC,8737,384
ASTORIA FINL CORP,116005,1603
ASTRAZENECA PLC,532214,34530
ASTRONICS CORP,16029,1016
AT&T INC,17722184,621518
ATHENAHEALTH INC,16854,2701
ATHERSYS INC,22964,74
ATHLON ENERGY INC,154066,5462
ATLANTIC PWR CORP,82401,239
ATLANTIC TELE NETWORK INC,31141,2053
ATLAS ENERGY LP,1386157,59660
ATLAS PIPELINE PARTNERS LP,3086060,99093
ATLAS RESOURCE PARTNERS LP,557659,11650
ATMEL CORP,15539494,129910
ATMOS ENERGY CORP,149972,7068
ATOSSA GENETICS INC,40063,68
ATRICURE INC,19377,364
ATRION CORP,5195,1590
ATWOOD OCEANICS INC,454258,22890
AU OPTRONICS CORP,75820,264
AUDIENCE INC,25615,320
AURICO GOLD INC,399525,1738
AUTODESK INC,1368543,67305
AUTOHOME INC,6444,248
AUTOLIV INC,126818,12726
AUTOMATIC DATA PROCESSING IN,1758411,135855
AUTONATION INC,420668,22392
AUTONAVI HLDGS LTD,16164,324
AUTOZONE INC,237127,127361
AUXILIUM PHARMACEUTICALS INC,433383,11779
AVAGO TECHNOLOGIES LTD,407647,26257
AVALONBAY CMNTYS INC,5049757,663135
AVANIR PHARMACEUTICALS INC,1553682,5702
AVEO PHARMACEUTICALS INC,220384,329
AVERY DENNISON CORP,1314636,66612
AVG TECHNOLOGIES N V,176189,3693
AVIAT NETWORKS INC,75752,120
AVIS BUDGET GROUP,49776,2424
AVISTA CORP,56092,1719
AVIV REIT INC MD,1006439,24607
AVIVA PLC,258592,4143
AVNET INC,387564,18034
AVON PRODS INC,979717,14343
AVX CORP NEW,68564,904
AXCELIS TECHNOLOGIES INC,139465,300
AXIALL CORP,787980,35396
AXIS CAPITAL HOLDINGS LTD,367123,16832
AXOGEN INC,103295,315
AXT INC,10440,23
AZZ INC,26930,1203
B & G FOODS INC NEW,23298,702
B2GOLD CORP,994696,2676
BABCOCK & WILCOX CO NEW,279604,9283
BADGER METER INC,129051,7111
BAIDU INC,535074,81476
BAKER HUGHES INC,1565665,101798
BALCHEM CORP,29813,1554
BALL CORP,446224,24457
BALLY TECHNOLOGIES INC,144396,9569
BALTIC TRADING LIMITED,59815,377
BANCFIRST CORP,22606,1280
BANCO BILBAO VIZCAYA ARGENTA,1270617,15261
BANCO BRADESCO S A,2413811,33015
BANCO DE CHILE,62227,4685
BANCO MACRO SA,25102,707
BANCO SANTANDER BRASIL S A,397898,2216
BANCO SANTANDER CHILE NEW,202121,4738
BANCO SANTANDER SA,2052963,19667
BANCOLOMBIA S A,158980,8979
BANCORPSOUTH INC,3212888,80194
BANK HAWAII CORP,95406,5782
BANK MONTREAL QUE,1194844,80067
BANK MUTUAL CORP NEW,12599,80
BANK N S HALIFAX,1474209,85533
BANK NEW YORK MELLON CORP,3516275,124089
BANK OF AMERICA CORPORATION,79174594,1366512
BANK OF THE OZARKS INC,1485331,101092
BANKFINANCIAL CORP,26337,263
BANKRATE INC DEL,151010,2559
BANKUNITED INC,149629,5203
BANNER CORP,1020426,42052
BARCLAYS BANK PLC,133770,4600
BARCLAYS BK PLC,1378179,50262
BARCLAYS PLC,743664,11676
BARD C R INC,3248658,480736
BARNES & NOBLE INC,219052,4578
BARNES GROUP INC,1438596,55343
BARRACUDA NETWORKS INC,14130,480
BARRETT BILL CORP,262927,6731
BARRETT BUSINESS SERVICES IN,43042,2564
BARRICK GOLD CORP,7383497,131648
BASIC ENERGY SVCS INC NEW,98746,2707
BAXTER INTL INC,1728498,127183
BAYLAKE CORP,17139,217
BAYTEX ENERGY CORP,69044,2840
BAZAARVOICE INC,42799,312
BB&T CORP,2241986,90060
BBCN BANCORP INC,123731,2121
BBVA BANCO FRANCES S A,21457,180
BCE INC,1248782,53873
BE AEROSPACE INC,296508,25734
BEACON ROOFING SUPPLY INC,98893,3823
BEAM INC,404571,33700
BEAZER HOMES USA INC,255390,5128
BEBE STORES INC,67279,412
BECTON DICKINSON & CO,1105275,129405
BED BATH & BEYOND INC,1203338,82789
BELDEN INC,610705,42505
BELLATRIX EXPLORATION LTD,261694,2206
BEMIS INC,301154,11818
BENCHMARK ELECTRS INC,355077,8043
BENEFICIAL MUTUAL BANCORP IN,33538,442
BENEFITFOCUS INC,11380601,534547
BERKLEY W R CORP,229182,9539
BERKSHIRE HATHAWAY INC DEL,4981865,680061
BERKSHIRE HILLS BANCORP INC,18987,491
BERRY PLASTICS GROUP INC,380286,8804
BEST BUY INC,1188125,31378
BGC PARTNERS INC,671022,4388
BHP BILLITON LTD,4026259,272859
BHP BILLITON PLC,188409,11637
BIG 5 SPORTING GOODS CORP,102527,1646
BIG LOTS INC,218581,8278
BIGLARI HLDGS INC,1073,523
BIO PATH HOLDINGS INC,70345,186
BIO RAD LABS INC,28733,3681
BIO-REFERENCE LABS INC,16148,447
BIOAMBER INC,17433,199
BIOCRYST PHARMACEUTICALS,26341,279
BIODEL INC,115723,316
BIODELIVERY SCIENCES INTL IN,35615,301
BIOGEN IDEC INC,1237049,378376
BIOLASE INC,10556,25
BIOMARIN PHARMACEUTICAL INC,597114,40729
BIOMED REALTY TRUST INC,4042277,82826
BIOSCRIP INC,25946,181
BIOTA PHARMACEUTIALS INC,69808,427
BIOTELEMETRY INC,15615,158
BIOTIME INC,69065,227
BITAUTO HLDGS LTD,942378,33775
BJS RESTAURANTS INC,8246,270
BLACK DIAMOND INC,1154093,14115
BLACK HILLS CORP,797858,45996
BLACKBAUD INC,105138,3291
BLACKBERRY LTD,1742200,14077
BLACKROCK BUILD AMER BD TR,233465,4725
BLACKROCK CORE BD TR,11347,153
BLACKROCK CORPOR HI YLD FD V,117900,1445
BLACKROCK CR ALLCTN INC TR,19381,262
BLACKROCK DEBT STRAT FD INC,232103,951
BLACKROCK ENERGY & RES TR,10546,255
BLACKROCK ENH CAP & INC FD I,11665,163
BLACKROCK ENHANCED EQT DIV T,16764,133
BLACKROCK GLOBAL OPP EQTY TR,13845,203
BLACKROCK INC,438872,138017
BLACKROCK INCOME OPP TRUST I,20290,210
BLACKROCK INCOME TR INC,28266,184
BLACKROCK INTL GRWTH & INC T,15069,121
BLACKROCK KELSO CAPITAL CORP,284389,2608
BLACKROCK LONG-TERM MUNI ADV,36972,401
BLACKROCK MUNI INCOME INV QL,27497,378
BLACKROCK MUNI INTER DR FD I,101684,1444
BLACKROCK MUNIHLDGS NJ QLTY,46084,637
BLACKROCK MUNIHLDGS NY QLTY,59622,797
BLACKROCK MUNIHLDNGS CALI QL,120908,1683
BLACKROCK MUNIY QUALITY FD I,57520,719
BLACKROCK MUNIYIELD CALIF FD,59502,875
BLACKROCK MUNIYIELD NY QLTY,75800,984
BLACKROCK MUNIYIELD PA QLTY,28559,398
BLACKROCK MUNIYLD INVST QLTY,29657,389
BLACKROCK MUNIYLD MICH QLTY,96275,1251
BLACKROCK REAL ASSET EQUITY,20227,180
BLACKSTONE GROUP L P,2098274,69768
BLACKSTONE MTG TR INC,2329534,66974
BLDRS INDEX FDS TR,20940,761
BLOCK H & R INC,2519675,76069
BLOOMIN BRANDS INC,2084201,50229
BLOUNT INTL INC NEW,70170,835
BLUCORA INC,335957,6615
BLUE NILE INC,4773,166
BLUELINX HLDGS INC,13412,17
BLYTH INC,182761,1961
BOARDWALK PIPELINE PARTNERS,1536693,20607
BOB EVANS FARMS INC,59014,2953
BODY CENT CORP,138148,148
BOEING CO,6647543,834200
BOFI HLDG INC,13385,1148
BOINGO WIRELESS INC,27522,187
BOISE CASCADE CO DEL,51178,1466
BOK FINL CORP,140520,9703
BON-TON STORES INC,15886,174
BONA FILM GROUP LTD,31688,199
BONANZA CREEK ENERGY INC,130238,5783
BOOZ ALLEN HAMILTON HLDG COR,236642,5206
BORGWARNER INC,795061,48872
BOSTON BEER INC,28049,6865
BOSTON PRIVATE FINL HLDGS IN,3310440,44790
BOSTON PROPERTIES INC,855534,97984
BOSTON SCIENTIFIC CORP,5983566,80898
BOTTOMLINE TECH DEL INC,28249,993
BOULDER BRANDS INC,66244,1167
BOULDER GROWTH & INCOME FD I,349248,2839
BOULDER TOTAL RETURN FD INC,335202,8155
BOYD GAMING CORP,123089,1625
BP PLC,5302967,255072
BP PRUDHOE BAY RTY TR,8918,753
BPZ RESOURCES INC,26496,84
BRADY CORP,21509,584
BRANDYWINE RLTY TR,4734599,68462
BRASKEM S A,23635,369
BRAVO BRIO RESTAURANT GROUP,1415141,19968
BRE PROPERTIES INC,421847,26484
BREITBURN ENERGY PARTNERS LP,542211,10828
BRF SA,1095302,21884
BRIDGE CAP HLDGS,552936,13138
BRIDGEPOINT ED INC,140413,2091
BRIGHT HORIZONS FAM SOL IN D,55900,2186
BRIGHTCOVE INC,23549,231
BRINKER INTL INC,92280,4841
BRINKS CO,59821,1708
BRISTOL MYERS SQUIBB CO,6697273,347923
BRISTOW GROUP INC,31550,2383
BRITISH AMERN TOB PLC,167401,18654
BRIXMOR PPTY GROUP INC,710503,15155
BROADCOM CORP,1807714,56889
BROADRIDGE FINL SOLUTIONS IN,406608,15101
BROADSOFT INC,41037,1097
BROCADE COMMUNICATIONS SYS I,1627613,17269
BROOKDALE SR LIVING INC,234036,7843
BROOKFIELD ASSET MGMT INC,924215,37755
BROOKFIELD OFFICE PPTYS INC,265183,5131
BROOKFIELD PPTY PARTNERS L P,851973,15932
BROOKLINE BANCORP INC DEL,1590624,14984
BROOKS AUTOMATION INC,101449,1109
BROWN & BROWN INC,205091,6308
BROWN FORMAN CORP,561180,50316
BROWN SHOE INC NEW,291983,7749
BRUKER CORP,619402,14116
BRUNSWICK CORP,664177,30081
BRYN MAWR BK CORP,17062,490
BT GROUP PLC,140055,8943
BUCKEYE PARTNERS L P,2471449,185483
BUCKLE INC,135253,6194
BUFFALO WILD WINGS INC,90515,13478
BUILD A BEAR WORKSHOP,27904,269
BUILDERS FIRSTSOURCE INC,10849,99
BUNGE LIMITED,191980,15264
BURGER KING WORLDWIDE INC,335142,8898
BURLINGTON STORES INC,681451,20116
C D I CORP,74486,1277
C H ROBINSON WORLDWIDE INC,2547871,133483
C&J ENERGY SVCS INC,50681,1478
CA INC,1848230,57258
CABELAS INC,175185,11477
CABLEVISION SYS CORP,924779,15601
CABOT CORP,189923,11216
CABOT MICROELECTRONICS CORP,1114742,49049
CABOT OIL & GAS CORP,1528473,51784
CACI INTL INC,555695,41011
CADENCE DESIGN SYSTEM INC,563958,8764
CAE INC,206425,2721
CAESARS ACQUISITION CO,1367386,19431
CAESARS ENTMT CORP,33656,640
CAESARSTONE SDOT-YAM LTD,414,23
CAL DIVE INTL INC DEL,64477,110
CAL MAINE FOODS INC,4515,283
CALAMOS ASSET MGMT INC,49844,645
CALAMOS GBL DYN INCOME FUND,15295,138
CALAMOS STRATEGIC TOTL RETN,21538,240
CALAMP CORP,138288,3854
CALGON CARBON CORP,43126,941
CALIFORNIA WTR SVC GROUP,52064,1246
CALIX INC,1924148,16221
CALLAWAY GOLF CO,89556,915
CALLIDUS SOFTWARE INC,19563,245
CALLON PETE CO DEL,158544,1327
CALPINE CORP,8061266,168561
CALUMET SPECIALTY PRODS PTNR,34501,892
CAMAC ENERGY INC,33327,26
CAMBREX CORP,77656,1465
CAMDEN PPTY TR,5001822,336823
CAMECO CORP,355620,8144
CAMERON INTERNATIONAL CORP,5474944,338188
CAMPBELL SOUP CO,733915,32938
CAMPUS CREST CMNTYS INC,57300,497
CANADIAN NAT RES LTD,1463127,56140
CANADIAN NATL RY CO,1115824,62731
CANADIAN PAC RY LTD,161784,24337
CANADIAN SOLAR INC,156223,5006
CANCER GENETICS INC,12472,188
CANON INC,916063,28453
CANTEL MEDICAL CORP,48417,1633
CAPE BANCORP INC,10068,111
CAPELLA EDUCATION COMPANY,34510,2180
CAPITAL ONE FINL CORP,5214700,402366
CAPITAL PRODUCT PARTNERS L P,2046700,22411
CAPITAL SOUTHWEST CORP,44025,1528
CAPITAL SR LIVING CORP,46074,1197
CAPITALSOURCE INC,808568,11797
CAPITOL FED FINL INC,83469,1049
CAPSTEAD MTG CORP,691654,8756
CAPSTONE TURBINE CORP,1739900,3706
CARBO CERAMICS INC,37689,5200
CARDINAL FINL CORP,36970,659
CARDINAL HEALTH INC,5787666,405021
CARDIOVASCULAR SYS INC DEL,44521,1415
CARDTRONICS INC,13349,519
CARE COM INC,91167,1509
CAREER EDUCATION CORP,55039,411
CAREFUSION CORP,6722195,270367
CARLISLE COS INC,3173148,251757
CARLYLE GROUP L P,126118,4432
CARMAX INC,795123,37212
CARMIKE CINEMAS INC,28218,843
CARNIVAL CORP,3118676,118073
CARNIVAL PLC,144704,5551
CARPENTER TECHNOLOGY CORP,96219,6355
CARRIAGE SVCS INC,18440,336
CARRIZO OIL & GAS INC,328165,17544
CARROLS RESTAURANT GROUP INC,47195,338
CARTER INC,873523,67829
CARVER BANCORP INC,181033,2303
CASELLA WASTE SYS INC,102485,524
CASEYS GEN STORES INC,84584,5717
CASH AMER INTL INC,94959,3677
CASS INFORMATION SYS INC,14353,740
CASTLE A M & CO,40327,592
CASTLE BRANDS INC,10347,12
CASTLIGHT HEALTH INC,21732,461
CATAMARAN CORP,315502,14122
CATERPILLAR INC DEL,6057394,601924
CATHAY GEN BANCORP,186981,4710
CATO CORP NEW,96447,2608
CAVCO INDS INC DEL,18591,1458
CAVIUM INC,255156,11158
CBEYOND INC,126766,919
CBIZ INC,31391,288
CBL & ASSOC PPTYS INC,7431247,131904
CBOE HLDGS INC,179385,10153
CBRE GROUP INC,25089681,688211
CBS CORP NEW,7279465,449871
CDN IMPERIAL BK OF COMMERCE,658549,56760
CDW CORP,27818,763
CECO ENVIRONMENTAL CORP,1164805,19324
CEDAR FAIR L P,1392549,70923
CEDAR REALTY TRUST INC,159590,975
CELADON GROUP INC,461541,11096
CELANESE CORP DEL,3054920,169578
CELESTICA INC,41400,453
CELGENE CORP,2017617,281659
CELL THERAPEUTICS INC,461940,1571
CELLADON CORP,33815,403
CELLCOM ISRAEL LTD,10904,150
CELLDEX THERAPEUTICS INC NEW,231726,4094
CELSION CORPORATION,7240,24
CEMEX SAB DE CV,13746320,173616
CEMPRA INC,14413,166
CENCOSUD S A,60145,589
CENOVUS ENERGY INC,744525,21561
CENTENE CORP DEL,77162,4804
CENTERPOINT ENERGY INC,2476968,58679
CENTRAIS ELETRICAS BRASILEIR,43062,122
CENTRAL EUROPEAN MEDIA ENTRP,110971,330
CENTRAL FD CDA LTD,99104,1364
CENTRAL GARDEN & PET CO,31103,257
CENTRAL PAC FINL CORP,120974,2444
CENTURY ALUM CO,91680,1211
CENTURYLINK INC,2432146,79872
CENVEO INC,58608,178
CEPHEID,2068387,106688
CERNER CORP,2247698,126433
CERUS CORP,50540,243
CEVA INC,12150,213
CF INDS HLDGS INC,307818,80230
CHAMBERS STR PPTYS,439464,3414
CHANNELADVISOR CORP,8316,314
CHARLES RIV LABS INTL INC,120418,7266
CHART INDS INC,19269,1531
CHARTER COMMUNICATIONS INC D,167591,20647
CHATHAM LODGING TR,121678,2460
CHC GROUP LTD,55803,412
CHECK POINT SOFTWARE TECH LT,1869949,126465
CHECKPOINT SYS INC,98146,1317
CHEESECAKE FACTORY INC,145828,6946
CHEFS WHSE INC,36091,772
CHEGG INC,17910,125
CHELSEA THERAPEUTICS INTL LT,53345,294
CHEMED CORP NEW,20726,1854
CHEMICAL FINL CORP,58923,1912
CHEMTURA CORP,401339,10150
CHENIERE ENERGY INC,1086558,60141
CHENIERE ENERGY PARTNERS LP,435624,13069
CHENIERE ENERGY PTNRS LP HLD,586194,12656
CHEROKEE INC DEL NEW,10704,149
CHESAPEAKE ENERGY CORP,11818729,302796
CHESAPEAKE LODGING TR,3950472,101645
