nameOfIssuer,sshPrnamt,value
1 800 FLOWERS COM,37785,213
1ST SOURCE CORP,50336,1615
1ST UNITED BANCORP INC FLA,12585,96
21VIANET GROUP INC,8474,243
3-D SYS CORP DEL,1404531,83078
3M CO,2373330,321966
500 COM LTD,46473,1715
51JOB INC,3173,226
58 COM INC,45447,1892
8X8 INC NEW,17497,189
A H BELO CORP,30368,352
AAON INC,114896,3203
AAR CORP,156653,4065
AARONS INC,355951,10763
ABB LTD,775640,20003
ABBOTT LABS,16706160,643354
ABBVIE INC,7306466,375553
ABERCROMBIE & FITCH CO,511414,19689
ABIOMED INC,82266,2142
ABM INDS INC,44348,1275
ABRAXAS PETE CORP,15900,63
ACACIA RESH CORP,22468,343
ACADIA HEALTHCARE COMPANY IN,431884,19487
ACADIA PHARMACEUTICALS INC,297680,7242
ACADIA RLTY TR,2520375,66487
ACCELERATE DIAGNOSTICS INC,210963,4601
ACCELRYS INC,117829,1468
ACCENTURE PLC IRELAND,2244485,178931
ACCESS MIDSTREAM PARTNERS L,8784949,505574
ACCO BRANDS CORP,122203,753
ACCRETIVE HEALTH INC,418418,3347
ACCURAY INC,998501,9586
ACCURIDE CORP NEW,65726,291
ACE LTD,2417656,239493
ACETO CORP,46025,924
ACHILLION PHARMACEUTICALS IN,2410132,7930
ACI WORLDWIDE INC,83035,4915
ACORDA THERAPEUTICS INC,1155415,43802
ACORN ENERGY INC,11434,39
ACTAVIS PLC,1331972,274187
ACTIVISION BLIZZARD INC,2035065,41597
ACTUANT CORP,1564177,53417
ACTUATE CORP,285240,1718
ACUITY BRANDS INC,126144,16723
ACURA PHARMACEUTICALS INC,22029,32
ACXIOM CORP,138984,4780
ADAMIS PHARMACEUTICALS CORP,65894,419
ADAMS EXPRESS CO,306731,3981
ADOBE SYS INC,4147760,272674
ADTRAN INC,1300435,31744
ADVANCE AUTO PARTS INC,165652,20955
ADVANCED EMISSIONS SOLUTS IN,8294,204
ADVANCED ENERGY INDS,92216,2259
ADVANCED MICRO DEVICES INC,2595381,10407
ADVANTAGE OIL & GAS LTD,58240,287
ADVENT SOFTWARE INC,135476,3977
ADVISORY BRD CO,46440,2984
AECOM TECHNOLOGY CORP DELAWA,174510,5614
AEGERION PHARMACEUTICALS INC,182029,8406
AEGION CORP,24145,611
AEGON N V,491332,4520
AEP INDS INC,13013,483
AERCAP HOLDINGS NV,403609,17029
AEROFLEX HLDG CORP,13047975,108429
AEROPOSTALE,47205,237
AEROVIRONMENT INC,535734,21564
AES CORP,3669527,52401
AETNA INC NEW,2882140,216074
AFFILIATED MANAGERS GROUP,170095,34028
AFFYMETRIX INC,287441,2049
AFLAC INC,1280743,80738
AG MTG INVT TR INC,11537,202
AGCO CORP,406575,22427
AGENUS INC,169926,539
AGILENT TECHNOLOGIES INC,12582022,703588
AGILYSYS INC,32301,433
AGL RES INC,399813,19575
AGNICO EAGLE MINES LTD,523272,15829
AGREE REALTY CORP,19155,583
AGRIUM INC,325226,31716
AIR LEASE CORP,421196,15706
AIR METHODS CORP,212190,11337
AIR PRODS & CHEMS INC,717402,85399
AIR TRANSPORT SERVICES GRP I,11165,88
AIRCASTLE LTD,136369,2642
AIRGAS INC,2234651,238013
AIXTRON SE,142584,2324
AK STL HLDG CORP,808404,5837
AKAMAI TECHNOLOGIES INC,569704,33163
AKORN INC,311215,6846
ALAMO GROUP INC,4043,220
ALAMOS GOLD INC,275948,2488
ALASKA AIR GROUP INC,648305,60494
ALASKA COMMUNICATIONS SYS GR,97268,188
ALBANY INTL CORP,75704,2691
ALBANY MOLECULAR RESH INC,96347,1791
ALBEMARLE CORP,353087,23452
ALCATEL-LUCENT,925417,3609
ALCOA INC,3154344,40596
ALERE INC,722154,24806
ALEXANDER & BALDWIN INC NEW,62581,2664
ALEXANDERS INC,3308,1194
ALEXANDRIA REAL ESTATE EQ IN,216187,15686
ALEXCO RESOURCE CORP,48155,72
ALEXION PHARMACEUTICALS INC,1086415,165277
ALEXZA PHARMACEUTICALS INC,457694,2028
ALIGN TECHNOLOGY INC,147294,7629
ALIMERA SCIENCES INC,138002,1089
ALKERMES PLC,491942,21690
ALLEGHANY CORP DEL,28318,11536
ALLEGHENY TECHNOLOGIES INC,307001,11568
ALLEGIANT TRAVEL CO,54537,6104
ALLEGION PUB LTD CO,550858,28739
ALLERGAN INC,1097050,136144
ALLETE INC,1098807,57600
ALLIANCE DATA SYSTEMS CORP,122743,33442
ALLIANCE FIBER OPTIC PRODS I,16099,233
ALLIANCE HEALTHCARE SRVCS IN,8310,279
ALLIANCE HOLDINGS GP LP,329822,20489
ALLIANCE NEW YORK MUN INC FD,13822,173
ALLIANCE ONE INTL INC,312091,911
ALLIANCE RES PARTNER L P,187270,15757
ALLIANCEBERNSTEIN GBL HGH IN,12602,186
ALLIANCEBERNSTEIN HOLDING LP,633851,15827
ALLIANCEBERNSTEIN INCOME FUN,363104,2665
ALLIANT ENERGY CORP,263946,14995
ALLIANT TECHSYSTEMS INC,91147,12956
ALLIANZGI NFJ DIVID INT & PR,11033,203
ALLIED NEVADA GOLD CORP,967768,4171
ALLIED WRLD ASSUR COM HLDG A,200301,20669
