nameOfIssuer,sshPrnamt,value
AMERICAN FINL GROUP INC OHIO,177236,10230
AMERICAN HOMES 4 RENT,46152,748
AMERICAN INTL GROUP INC,14217693,725360
AMERICAN MIDSTREAM PARTNERS,673000,18225
AMERICAN NATL INS CO,7706,883
AMERICAN PAC CORP,13779,513
AMERICAN PUBLIC EDUCATION IN,80723,3509
AMERICAN RAILCAR INDS INC,12593,576
AMERICAN RLTY CAP PPTYS INC,459067,5900
AMERICAN SCIENCE & ENGR INC,60371,4341
AMERICAN SOFTWARE INC,47752,471
AMERICAN STS WTR CO,179626,5161
AMERICAN SUPERCONDUCTOR CORP,265548,435
AMERICAN TOWER CORP NEW,11272436,899765
AMERICAN VANGUARD CORP,55052,1337
AMERICAN WOODMARK CORP,56933,2251
AMERICAN WTR WKS CO INC NEW,238699,10088
AMERICAS CAR MART INC,21092,891
AMERIGAS PARTNERS L P,123741,5515
AMERIPRISE FINL INC,1454035,167287
AMERIS BANCORP,27185,574
AMERISAFE INC,44101,1863
AMERISERV FINL INC,12532,38
AMERISOURCEBERGEN CORP,1077779,75778
AMETEK INC NEW,1671575,88042
AMGEN INC,3459430,394651
AMICUS THERAPEUTICS INC,52524,123
AMKOR TECHNOLOGY INC,293708,1800
AMN HEALTHCARE SERVICES INC,304920,4482
AMPCO-PITTSBURGH CORP,15261,297
AMPHENOL CORP NEW,2414708,215344
AMPIO PHARMACEUTICALS INC,39760,283
AMSURG CORP,86685,3981
AMTRUST FINL SVCS INC,254893,8333
ANACOR PHARMACEUTICALS INC,11063,186
ANADARKO PETE CORP,4957702,393246
ANADIGICS INC,44234,81
ANALOG DEVICES INC,1387903,70686
ANALOGIC CORP,32519,2880
ANAREN INC,78903,2209
ANDERSONS INC,80062,7139
ANGIES LIST INC,14806,224
ANGIODYNAMICS INC,141382,2426
ANGLOGOLD ASHANTI LTD,164569,1929
ANHEUSER BUSCH INBEV SA/NV,1282523,136538
ANIKA THERAPEUTICS INC,24187,923
ANIXTER INTL INC,798221,71713
ANN INC,134430,4915
ANNALY CAP MGMT INC,2379221,23721
ANNIES INC,38124,1641
ANSYS INC,240198,20945
ANTARES PHARMA INC,130978,586
ANTERO RES CORP,1209290,76718
ANWORTH MORTGAGE ASSET CP,109749,462
AOL INC,345377,16101
AON PLC,1498729,125729
APACHE CORP,2427454,208615
APARTMENT INVT & MGMT CO,1015648,26315
APCO OIL & GAS INTERNATIONAL,24589,383
API TECHNOLOGIES CORP,14661,50
APOGEE ENTERPRISES INC,99880,3587
APOLLO COML REAL EST FIN INC,3178746,51655
APOLLO ED GROUP INC,2302407,62902
APOLLO GLOBAL MGMT LLC,770136,24344
APOLLO INVT CORP,535470,4538
APOLLO RESIDENTIAL MTG INC,23335,345
APPLE INC,6984868,3918651
APPLIED INDL TECHNOLOGIES IN,1056735,51875
APPLIED MATLS INC,17422062,308022
APPROACH RESOURCES INC,1296908,25031
APTARGROUP INC,96175,6521
AQUA AMERICA INC,404783,9548
ARABIAN AMERN DEV CO,30537,383
ARAMARK HLDGS CORP,39866922,1045311
ARATANA THERAPEUTICS INC,35343,675
ARBOR RLTY TR INC,72236,481
ARC DOCUMENT SOLUTIONS INC,34717,285
ARCELORMITTAL SA LUXEMBOURG,9308611,183488
ARCH CAP GROUP LTD,124423,7427
ARCH COAL INC,3308527,14722
ARCHER DANIELS MIDLAND CO,3121250,135462
ARCOS DORADOS HOLDINGS INC,1141507,13835
ARCTIC CAT INC,699080,39833
ARDEN GROUP INC,6414,811
ARENA PHARMACEUTICALS INC,500504,2928
ARES CAP CORP,856119,15213
ARGAN INC,8340,230
ARGO GROUP INTL HLDGS LTD,99615,4631
ARIAD PHARMACEUTICALS INC,919346,6270
ARKANSAS BEST CORP DEL,125679,4233
ARLINGTON ASSET INVT CORP,13525,357
ARM HLDGS PLC,286687,15690
ARMOUR RESIDENTIAL REIT INC,1184959,4751
ARMSTRONG WORLD INDS INC NEW,2143590,123492
ARQULE INC,263805,567
ARRAY BIOPHARMA INC,31305,157
ARRIS GROUP INC NEW,571071,13900
ARROW ELECTRS INC,269045,14596
ARROW FINL CORP,26780,711
ARROWHEAD RESH CORP,14087,153
ARTHROCARE CORP,50633,2037
ARTISAN PARTNERS ASSET MGMT,9821,640
ARUBA NETWORKS INC,173717,3110
ASBURY AUTOMOTIVE GROUP INC,746541,40119
ASCENA RETAIL GROUP INC,309178,6542
ASCENT CAP GROUP INC,5451,466
ASHFORD HOSPITALITY PRIME IN,73099,1330
ASHFORD HOSPITALITY TR INC,184633,1529
ASHLAND INC NEW,1201858,116628
ASIAINFO-LINKAGE INC,11900,142
ASML HOLDING N V,332567,31162
ASPEN INSURANCE HOLDINGS LTD,331534,13696
ASPEN TECHNOLOGY INC,320625,13403
ASSOCIATED BANC CORP,1201920,14144
ASSOCIATED ESTATES RLTY CORP,196601,3156
ASSURANT INC,679983,45130
ASSURED GUARANTY LTD,589870,13915
ASTEC INDS INC,65922,2547
ASTORIA FINL CORP,140479,1942
ASTRAZENECA PLC,197796,11743
ASTRONICS CORP,20061,1023
AT&T INC,20167079,709074
ATHENAHEALTH INC,7758,1043
ATHLON ENERGY INC,77080,2332
ATLANTIC PWR CORP,165417,576
ATLANTIC TELE NETWORK INC,46979,2657
ATLANTICUS HLDGS CORP,16980,60
ATLAS AIR WORLDWIDE HLDGS IN,50653,2084
ATLAS ENERGY LP,2079650,97432
ATLAS PIPELINE PARTNERS LP,2946848,103287
ATLAS RESOURCE PARTNERS LP,1236087,25315
ATMEL CORP,760785,5957
ATMI INC,74587,2253
ATMOS ENERGY CORP,183450,8332
ATOSSA GENETICS INC,35346,82
ATRICURE INC,25869,483
ATRION CORP,3495,1035
ATWOOD OCEANICS INC,129365,6907
AU OPTRONICS CORP,44568,139
AUDIENCE INC,33170,386
AURICO GOLD INC,477609,1749
AUTODESK INC,833771,41954
AUTOHOME INC,10476,383
AUTOLIV INC,206499,18957
AUTOMATIC DATA PROCESSING IN,2024467,163575
AUTONATION INC,456045,22661
AUTONAVI HLDGS LTD,19414,277
AUTOZONE INC,239703,114563
AUXILIUM PHARMACEUTICALS INC,245398,5087
AVAGO TECHNOLOGIES LTD,404571,21394
AVALONBAY CMNTYS INC,5208833,615841
AVANIR PHARMACEUTICALS INC,1085141,3646
AVEO PHARMACEUTICALS INC,244448,447
AVERY DENNISON CORP,978232,49097
AVG TECHNOLOGIES N V,171292,2948
AVIAT NETWORKS INC,95788,216
AVID TECHNOLOGY INC,87233,711
AVIS BUDGET GROUP,69997,2830
AVISTA CORP,173397,4888
AVIV REIT INC MD,952565,22576
AVIVA PLC,223241,3382
AVNET INC,397882,17550
AVON PRODS INC,1400536,24118
AVX CORP NEW,212594,2961
AXCELIS TECHNOLOGIES INC,70655,172
AXIALL CORP,854309,40528
AXIS CAPITAL HOLDINGS LTD,375077,17842
AXOGEN INC,103295,464
AZZ INC,57929,2830
B & G FOODS INC NEW,126343,4284
B2GOLD CORP,1241029,2507
BABCOCK & WILCOX CO NEW,410201,14025
BADGER METER INC,39293,2141
BAIDU INC,402124,71529
BAKER HUGHES INC,1962983,108475
BALCHEM CORP,86606,5084
BALL CORP,521647,26949
BALLARD PWR SYS INC NEW,300459,455
BALLY TECHNOLOGIES INC,213250,16729
BALTIC TRADING LIMITED,70860,456
BANCFIRST CORP,34853,1953
BANCO BILBAO VIZCAYA ARGENTA,1062968,13170
BANCO BRADESCO S A,2790364,34987
BANCO DE CHILE,10404,913
BANCO MACRO SA,25156,611
BANCO SANTANDER BRASIL S A,116366,710
BANCO SANTANDER CHILE NEW,40652,958
BANCO SANTANDER SA,2338662,21211
BANCOLOMBIA S A,17812,873
BANCORP INC DEL,11496,206
BANCORPSOUTH INC,2865643,72844
BANK HAWAII CORP,81568,4824
BANK MONTREAL QUE,968073,64532
BANK MUTUAL CORP NEW,154536,1083
BANK N S HALIFAX,1058195,66189
BANK NEW YORK MELLON CORP,4154203,145147
BANK OF AMERICA CORPORATION,81809932,1282805
BANK OF THE OZARKS INC,1495267,84617
BANKFINANCIAL CORP,27088,248
BANKRATE INC DEL,324537,5822
BANKUNITED INC,141298,4651
BANNER CORP,910507,40809
BANRO CORP,25893,14
BARCLAYS BANK PLC,150965,4767
BARCLAYS BK PLC,1417961,44670
BARCLAYS PLC,475172,8614
BARD C R INC,4695925,628972
BARNES & NOBLE INC,778112,11633
BARNES GROUP INC,1755197,67242
BARRACUDA NETWORKS INC,15451,613
BARRETT BILL CORP,299026,8008
BARRETT BUSINESS SERVICES IN,22323,2070
BARRICK GOLD CORP,6297425,111023
BASIC ENERGY SVCS INC NEW,237551,3748
BAXTER INTL INC,1819130,126521
BAYTEX ENERGY CORP,96429,3776
BAZAARVOICE INC,15035,119
BB&T CORP,2215326,82676
BBCN BANCORP INC,175645,2914
BBVA BANCO FRANCES S A,19259,134
BCE INC,641047,27750
BE AEROSPACE INC,239474,20841
BEACON ROOFING SUPPLY INC,94087,3790
BEAM INC,3611281,245784
BEAZER HOMES USA INC,145948,3564
BEBE STORES INC,68693,365
BECTON DICKINSON & CO,1473659,162825
BED BATH & BEYOND INC,1491770,119789
BEL FUSE INC,28305,603
BELDEN INC,620594,43721
BELLATRIX EXPLORATION LTD,281884,2066
BEMIS INC,244093,9998
BENCHMARK ELECTRS INC,467483,10789
BENEFICIAL MUTUAL BANCORP IN,37999,415
BENEFITFOCUS INC,11388078,657548
BERKLEY W R CORP,1248429,54169
BERKSHIRE HATHAWAY INC DEL,5602086,732097
BERKSHIRE HILLS BANCORP INC,18714,510
BERRY PLASTICS GROUP INC,189614,4511
BEST BUY INC,5518096,220062
BGC PARTNERS INC,565861,3424
BHP BILLITON LTD,2685327,183139
BHP BILLITON PLC,150766,9366
BIG 5 SPORTING GOODS CORP,128271,2542
BIG LOTS INC,169954,5488
BIGLARI HLDGS INC,3716,1883
BIO RAD LABS INC,24447,3022
BIO-REFERENCE LABS INC,72470,1851
BIOAMBER INC,15833,118
BIOCRYST PHARMACEUTICALS,98802,751
BIODEL INC,113611,259
BIOGEN IDEC INC,1148026,320957
BIOMARIN PHARMACEUTICAL INC,726956,51141
BIOMED REALTY TRUST INC,5252830,95181
BIOSCRIP INC,20103,149
BIOTA PHARMACEUTIALS INC,63444,266
BIOTELEMETRY INC,14336,114
BIOTIME INC,27002,97
BITAUTO HLDGS LTD,898846,28727
BJS RESTAURANTS INC,56118,1743
BLACK BOX CORP DEL,56103,1672
BLACK DIAMOND INC,1073710,14313
BLACK HILLS CORP,402108,21115
BLACKBAUD INC,248607,9360
BLACKBERRY LTD,5146435,38290
BLACKROCK BUILD AMER BD TR,240853,4612
BLACKROCK CORE BD TR,30456,392
BLACKROCK CORPOR HI YLD FD V,130270,1585
BLACKROCK CR ALLCTN INC TR,74548,974
BLACKROCK DEBT STRAT FD INC,150769,602
BLACKROCK ENERGY & RES TR,21920,533
BLACKROCK ENH CAP & INC FD I,11637,159
BLACKROCK ENHANCED EQT DIV T,19970,159
BLACKROCK GLOBAL OPP EQTY TR,18133,271
BLACKROCK INC,495336,156759
BLACKROCK INCOME OPP TRUST I,34593,336
BLACKROCK INCOME TR INC,49199,319
BLACKROCK INTL GRWTH & INC T,17049,139
BLACKROCK KELSO CAPITAL CORP,241851,2257
BLACKROCK LONG-TERM MUNI ADV,37590,383
BLACKROCK MUNI INCOME INV QL,27497,354
BLACKROCK MUNI INTER DR FD I,101710,1414
BLACKROCK MUNIHLDGS NJ QLTY,46230,607
BLACKROCK MUNIHLDGS NY QLTY,59598,744
BLACKROCK MUNIHLDNGS CALI QL,121034,1600
BLACKROCK MUNIY QUALITY FD I,58964,689
BLACKROCK MUNIYIELD CALIF FD,59502,820
BLACKROCK MUNIYIELD INVST FD,16924,232
BLACKROCK MUNIYIELD NY QLTY,76737,927
BLACKROCK MUNIYIELD PA QLTY,29159,374
BLACKROCK MUNIYLD INVST QLTY,29907,366
BLACKROCK MUNIYLD MICH QLTY,96771,1176
BLACKROCK REAL ASSET EQUITY,61240,533
BLACKSTONE GROUP L P,2707539,85287
BLACKSTONE MTG TR INC,2288904,62098
BLDRS INDEX FDS TR,20941,778
BLOCK H & R INC,1158266,33636
BLOOMIN BRANDS INC,1956523,46976
BLOUNT INTL INC NEW,64762,937
BLUCORA INC,317027,9244
BLUE NILE INC,30973,1458
BLUEBIRD BIO INC,36149,758
BLUELINX HLDGS INC,11717,23
BLYTH INC,229526,2497
BOARDWALK PIPELINE PARTNERS,121627,3104
BOB EVANS FARMS INC,52195,2640
BODY CENT CORP,143833,567
BOEING CO,8406928,1147462
BOFI HLDG INC,24341,1909
BOINGO WIRELESS INC,24102,154
BOISE CASCADE CO DEL,9687,286
BOK FINL CORP,138457,9183
BONA FILM GROUP LTD,30942,178
BONANZA CREEK ENERGY INC,198203,8616
BOOZ ALLEN HAMILTON HLDG COR,27232,521
BORGWARNER INC,997575,55775
BOSTON BEER INC,49577,11988
BOSTON PRIVATE FINL HLDGS IN,3220277,40640
BOSTON PROPERTIES INC,997757,100146
BOSTON SCIENTIFIC CORP,17290383,207830
BOTTOMLINE TECH DEL INC,106807,3862
BOULDER BRANDS INC,87368,1386
BOULDER GROWTH & INCOME FD I,347219,2792
BOULDER TOTAL RETURN FD INC,329485,7581
BOX SHIPS INCORPORATED,14612,48
BOYD GAMING CORP,433936,4886
BP PLC,6666551,324061
BPZ RESOURCES INC,58834,107
BRADY CORP,188561,5832
BRANDYWINE RLTY TR,4835954,68139
BRASKEM S A,28104,502
BRAVO BRIO RESTAURANT GROUP,1194716,19438
BRE PROPERTIES INC,630017,34468
BREITBURN ENERGY PARTNERS LP,591552,12032
BRF SA,187628,3916
BRIDGE BANCORP INC,12363,321
BRIDGE CAP HLDGS,533920,10967
BRIDGEPOINT ED INC,120823,2140
BRIGGS & STRATTON CORP,92808,2020
BRIGHT HORIZONS FAM SOL IN D,23990,881
BRIGHTCOVE INC,26589,376
BRIGUS GOLD CORP,352122,275
BRINKER INTL INC,226719,10506
BRINKS CO,81046,2767
BRISTOL MYERS SQUIBB CO,5987665,318245
BRISTOW GROUP INC,143240,10752
BRITISH AMERN TOB PLC,136713,14686
BRIXMOR PPTY GROUP INC,270773,5505
BROADCOM CORP,3743284,110970
BROADRIDGE FINL SOLUTIONS IN,352272,13922
BROADSOFT INC,152264,4160
BROCADE COMMUNICATIONS SYS I,975258,8645
BROOKDALE SR LIVING INC,102934,2798
BROOKFIELD ASSET MGMT INC,511224,19851
BROOKFIELD INFRAST PARTNERS,21654,849
BROOKFIELD OFFICE PPTYS INC,972863,18728
BROOKFIELD PPTY PARTNERS L P,499211,9954
BROOKLINE BANCORP INC DEL,1761417,16821
BROOKS AUTOMATION INC,188241,1975
BROWN & BROWN INC,212745,6678
BROWN FORMAN CORP,527066,39786
BROWN SHOE INC NEW,417448,11746
BRUKER CORP,652014,12890
BRUNSWICK CORP,815487,37561
BRYN MAWR BK CORP,15618,471
BT GROUP PLC,122002,7702
BUCKEYE PARTNERS L P,1991096,141388
BUCKLE INC,162571,8545
BUFFALO WILD WINGS INC,56429,8306
BUILD A BEAR WORKSHOP,13802,104
BUILDERS FIRSTSOURCE INC,46643,333
BUNGE LIMITED,610779,50151
BURGER KING WORLDWIDE INC,287773,6578
BURLINGTON STORES INC,655614,20980
C D I CORP,96888,1795
C H ROBINSON WORLDWIDE INC,704674,41117
C&J ENERGY SVCS INC,176394,4075
CA INC,1905405,64117
CABELAS INC,191767,12784
CABLEVISION SYS CORP,1029438,18458
CABOT CORP,128272,6594
CABOT MICROELECTRONICS CORP,1075196,49136
CABOT OIL & GAS CORP,1484515,57540
CACI INTL INC,116123,8503
CADENCE DESIGN SYSTEM INC,530453,7437
CADENCE PHARMACEUTICALS INC,14364,130
CAE INC,127705,1627
CAESARS ACQUISITION CO,1595334,19240
CAESARS ENTMT CORP,54738,1179
CAESARSTONE SDOT-YAM LTD,3661,182
CAI INTERNATIONAL INC,8616,203
CAL DIVE INTL INC DEL,110470,222
CAL MAINE FOODS INC,33098,1993
CALAMOS ASSET MGMT INC,115792,1371
CALAMOS GBL DYN INCOME FUND,14178,127
CALAMOS STRATEGIC TOTL RETN,18074,197
CALAMP CORP,82639,2311
CALAVO GROWERS INC,30594,926
CALGON CARBON CORP,150292,3092
CALIFORNIA WTR SVC GROUP,126288,2913
CALIX INC,1620950,15625
CALLAWAY GOLF CO,242869,2047
CALLIDUS SOFTWARE INC,17950,246
CALLON PETE CO DEL,61106,399
CALPINE CORP,7068083,137898
CALUMET SPECIALTY PRODS PTNR,35188,915
CAMBREX CORP,154825,2760
CAMDEN PPTY TR,5175369,294375
CAMECO CORP,189957,3946
CAMERON INTERNATIONAL CORP,6774222,403270
CAMPBELL SOUP CO,518813,22454
CAMPUS CREST CMNTYS INC,31568,297
CANADIAN NAT RES LTD,975289,33004
CANADIAN NATL RY CO,794860,45323
CANADIAN PAC RY LTD,101035,15288
CANADIAN SOLAR INC,133522,3982
CANCER GENETICS INC,16743,231
CANON INC,908979,29087
CANTEL MEDICAL CORP,81925,2778
CAPE BANCORP INC,10056,102
CAPELLA EDUCATION COMPANY,54062,3592
CAPITAL ONE FINL CORP,5198056,398223
CAPITAL PRODUCT PARTNERS L P,1127275,11803
CAPITAL SOUTHWEST CORP,41464,1446
CAPITAL SR LIVING CORP,49398,1185
CAPITALSOURCE INC,258706,3717
CAPITOL FED FINL INC,90952,1101
CAPSTEAD MTG CORP,404361,4884
CAPSTONE TURBINE CORP,109114,140
CARBO CERAMICS INC,32074,3737
CARDINAL FINL CORP,120025,2159
CARDINAL HEALTH INC,5791797,386950
CARDIOVASCULAR SYS INC DEL,16286,558
CARDTRONICS INC,94169,4091
CAREER EDUCATION CORP,224651,1281
CAREFUSION CORP,7812473,311093
CARLISLE COS INC,3114693,247306
CARLYLE GROUP L P,32670,1164
CARMAX INC,1166086,54829
CARMIKE CINEMAS INC,27720,772
CARNIVAL CORP,2910164,116900
CARNIVAL PLC,131882,5466
CARPENTER TECHNOLOGY CORP,444819,27668
CARRIZO OIL & GAS INC,562273,25173
CARROLS RESTAURANT GROUP INC,38842,257
CARTER INC,984281,70662
CARVER BANCORP INC,181033,1265
CASELLA WASTE SYS INC,105168,610
CASEYS GEN STORES INC,158216,11114
CASH AMER INTL INC,176913,6776
CASS INFORMATION SYS INC,15065,1015
CASTLE A M & CO,77249,1141
CATAMARAN CORP,239215,11354
CATERPILLAR INC DEL,5921782,537757
CATHAY GENERAL BANCORP,184233,4925
CATO CORP NEW,169455,5389
CAVCO INDS INC DEL,7304,502
CAVIUM INC,134837,4653
CBEYOND INC,113555,782
CBIZ INC,26434,241
CBL & ASSOC PPTYS INC,5602017,100612
CBOE HLDGS INC,165914,8621
CBRE GROUP INC,26595463,699461
CBS CORP NEW,3538076,225516
CDN IMPERIAL BK OF COMMERCE,532850,45511
CDW CORP,47536,1110
CEC ENTMT INC,52451,2323
CECO ENVIRONMENTAL CORP,1006295,16254
CEDAR FAIR L P,1275403,63234
CEDAR REALTY TRUST INC,234899,1470
CELADON GROUP INC,655050,12760
CELANESE CORP DEL,2146970,118749
CELESTICA INC,40900,425
CELGENE CORP,2099304,354714
CELL THERAPEUTICS INC,862433,1647
CELLCOM ISRAEL LTD,76603,1066
CELLDEX THERAPEUTICS INC NEW,220997,5350
CELLULAR DYNAMICS INTL INC,10089,166
CELSION CORPORATION,4178,16
CEMEX SAB DE CV,5562071,65799
CEMPRA INC,26035,323
CENCOSUD S A,54597,594
CENOVUS ENERGY INC,490515,14054
CENTENE CORP DEL,178580,10527
CENTERPOINT ENERGY INC,1270142,29441
CENTRAIS ELETRICAS BRASILEIR,10419,27
CENTRAL EUROPEAN MEDIA ENTRP,107154,411
CENTRAL FD CDA LTD,103312,1369
CENTRAL GARDEN & PET CO,115153,777
CENTRAL PAC FINL CORP,94734,1902
CENTURY ALUM CO,257700,2695
CENTURYLINK INC,2627715,83694
CENVEO INC,30279,104
CEPHEID,2464315,115015
CERNER CORP,938526,52314
CERUS CORP,65661,424
CEVA INC,50328,766
CF INDS HLDGS INC,611505,142505
CHAMBERS STR PPTYS,237681,1818
CHANGYOU COM LTD,5465,175
CHARLES RIV LABS INTL INC,118661,6294
CHART INDS INC,7123,682
CHARTER COMMUNICATIONS INC D,91871,12564
CHASE CORP,9572,338
CHATHAM LODGING TR,51528,1054
CHECK POINT SOFTWARE TECH LT,258441,16669
CHECKPOINT SYS INC,141181,2227
CHEESECAKE FACTORY INC,156036,7532
CHEFS WHSE INC,9022,263
CHELSEA THERAPEUTICS INTL LT,156136,692
CHEMED CORP NEW,105500,8083
