nameOfIssuer,sshPrnamt,value
1 800 FLOWERS COM,48430,262
1ST SOURCE CORP,60448,1930
3-D SYS CORP DEL,158059,14689
3M CO,1904593,267119
51JOB INC,1057,82
58 COM INC,16240,623
8X8 INC NEW,21224,215
AAON INC,181991,5815
AAR CORP,307412,8610
AARONS INC,145828,4287
ABAXIS INC,41870,1675
ABB LTD,450620,11968
ABBOTT LABS,14397197,551844
ABBVIE INC,8415806,444439
ABERCROMBIE & FITCH CO,812630,26744
ABIOMED INC,97188,2599
ABM INDS INC,157193,4494
ABRAXAS PETE CORP,49329,161
ACACIA RESH CORP,23608,343
ACADIA HEALTHCARE COMPANY IN,395477,18718
ACADIA PHARMACEUTICALS INC,499530,12483
ACADIA RLTY TR,1838724,45656
ACCELERATE DIAGNOSTICS INC,336609,4107
ACCELRYS INC,170384,1625
ACCENTURE PLC IRELAND,2822956,232103
ACCESS MIDSTREAM PARTNERS L,6020992,340668
ACCO BRANDS CORP,158435,1065
ACCRETIVE HEALTH INC,125512,1150
ACCURAY INC,111015,965
ACCURIDE CORP NEW,57743,215
ACE LTD,1000412,103573
ACELRX PHARMACEUTICALS INC,13902,157
ACETO CORP,45715,1143
ACHILLION PHARMACEUTICALS IN,2396761,7955
ACI WORLDWIDE INC,149259,9702
ACORDA THERAPEUTICS INC,1493239,43603
ACORN ENERGY INC,79591,324
ACTAVIS PLC,1072529,180185
ACTIVISION BLIZZARD INC,2403919,42863
ACTUANT CORP,1490832,54624
ACTUATE CORP,291459,2248
ACUITY BRANDS INC,101857,11135
ACURA PHARMACEUTICALS INC,22230,37
ACXIOM CORP,241950,8947
ADAMS EXPRESS CO,279085,3648
ADDUS HOMECARE CORP,15540,349
ADOBE SYS INC,5166176,309347
ADTRAN INC,1227215,33147
ADVANCE AUTO PARTS INC,126926,14049
ADVANCED EMISSIONS SOLUTS IN,10098,548
ADVANCED ENERGY INDS,152018,3475
ADVANCED MICRO DEVICES INC,2903390,11236
ADVANCED SEMICONDUCTOR ENGR,40445,194
ADVANTAGE OIL & GAS LTD,60121,261
ADVENT SOFTWARE INC,109610,3831
ADVISORY BRD CO,94787,6035
AECOM TECHNOLOGY CORP DELAWA,224401,6604
AEGERION PHARMACEUTICALS INC,155668,11046
AEGION CORP,115997,2539
AEGON N V,463570,4394
AERCAP HOLDINGS NV,693080,26579
AEROFLEX HLDG CORP,14328213,93133
AEROPOSTALE,202338,1839
AEROVIRONMENT INC,525873,15324
AES CORP,3847865,55832
AETNA INC NEW,4920961,337529
AFC ENTERPRISES INC,79266,3052
AFFILIATED MANAGERS GROUP,193262,41915
AFFYMETRIX INC,301238,2582
AFLAC INC,1638218,109432
AG MTG INVT TR INC,12136,190
AGCO CORP,458699,27150
AGILENT TECHNOLOGIES INC,13087839,748493
AGILYSYS INC,82618,1150
AGIOS PHARMACEUTICALS INC,10812,259
AGL RES INC,337678,15948
AGNICO EAGLE MINES LTD,365590,9644
AGREE REALTY CORP,43402,1259
AGRIUM INC,237380,21716
AIR LEASE CORP,227075,7058
AIR METHODS CORP,73995,4311
AIR PRODS & CHEMS INC,683370,76387
AIR TRANSPORT SERVICES GRP I,20639,167
AIRCASTLE LTD,176776,3387
AIRGAS INC,2205725,246711
AIXTRON SE,140004,2033
AK STL HLDG CORP,887793,7280
AKAMAI TECHNOLOGIES INC,933789,44056
AKORN INC,235262,5792
ALAMOS GOLD INC,184840,2242
ALASKA AIR GROUP INC,806218,59153
ALASKA COMMUNICATIONS SYS GR,98066,207
ALBANY INTL CORP,171476,6161
ALBANY MOLECULAR RESH INC,180758,1822
ALBEMARLE CORP,254821,16153
ALCATEL-LUCENT,664011,2922
ALCOA INC,3751092,39874
ALERE INC,612139,22159
ALEXANDER & BALDWIN INC NEW,113945,4755
ALEXANDERS INC,3026,999
ALEXANDRIA REAL ESTATE EQ IN,253536,16129
ALEXCO RESOURCE CORP,46992,59
ALEXION PHARMACEUTICALS INC,1075982,142981
ALEXZA PHARMACEUTICALS INC,468954,2218
ALICO INC,6403,249
ALIGN TECHNOLOGY INC,263256,15042
ALIMERA SCIENCES INC,48288,227
ALKERMES PLC,320693,13040
ALLEGHANY CORP DEL,23179,9271
ALLEGHENY TECHNOLOGIES INC,420493,14982
ALLEGIANT TRAVEL CO,99823,10525
ALLEGION PUB LTD CO,1186737,52441
ALLERGAN INC,1866073,207283
ALLETE INC,928694,46323
ALLIANCE DATA SYSTEMS CORP,126041,33139
ALLIANCE FIBER OPTIC PRODS I,33025,497
ALLIANCE HEALTHCARE SRVCS IN,19138,473
ALLIANCE HOLDINGS GP LP,332528,19496
ALLIANCE NEW YORK MUN INC FD,13822,164
ALLIANCE ONE INTL INC,1188658,3625
ALLIANCE RES PARTNER L P,51823,3991
ALLIANCEBERNSTEIN GBL HGH IN,17419,249
ALLIANCEBERNSTEIN HOLDING LP,291088,6212
ALLIANCEBERNSTEIN INCOME FUN,587557,4189
ALLIANT ENERGY CORP,273393,14107
ALLIANT TECHSYSTEMS INC,136742,16639
ALLIANZGI NFJ DIVID INT & PR,18560,329
ALLIED NEVADA GOLD CORP,145646,517
ALLIED WRLD ASSUR COM HLDG A,174286,19662
ALLISON TRANSMISSION HLDGS I,58677,1620
ALLSCRIPTS HEALTHCARE SOLUTN,7970007,123216
ALLSTATE CORP,1731042,94411
ALMOST FAMILY INC,130561,4221
ALNYLAM PHARMACEUTICALS INC,440750,28340
ALON USA ENERGY INC,1179916,19516
ALON USA PARTNERS LP,16780,280
ALPHA & OMEGA SEMICONDUCTOR,62279,480
ALPHA NATURAL RESOURCES INC,1539087,10989
ALPHATEC HOLDINGS INC,13129,26
ALPINE GLOBAL PREMIER PPTYS,13768,99
ALPINE TOTAL DYNAMIC DIVID F,17368,73
ALPS ETF TR,6384522,115714
ALTERA CORP,19353086,629188
ALTISOURCE PORTFOLIO SOLNS S,3724,591
ALTISOURCE RESIDENTIAL CORP,11116,335
ALTRA INDL MOTION CORP,72514,2481
ALTRIA GROUP INC,8433287,323754
ALUMINA LTD,35122,140
ALUMINUM CORP CHINA LTD,19214,167
AMAG PHARMACEUTICALS INC,132331,3213
AMARIN CORP PLC,225296,444
AMAZON COM INC,3318091,1323220
AMBAC FINL GROUP INC,21865,537
AMBARELLA INC,20361,690
AMBEV SA,5638995,41446
AMC NETWORKS INC,117063,7973
AMCOL INTL CORP,52562,1786
AMDOCS LTD,213193,8792
AMEDISYS INC,96771,1415
AMERCO,9486,2256
AMEREN CORP,1228193,44411
AMERESCO INC,18145,175
AMERICA MOVIL SAB DE CV,4905596,114644
AMERICAN AIRLS GROUP INC,1564789,39511
AMERICAN APPAREL INC,14975,18
AMERICAN ASSETS TR INC,186176,5851
AMERICAN AXLE & MFG HLDGS IN,2343889,47933
AMERICAN CAMPUS CMNTYS INC,3250094,104685
AMERICAN CAP LTD,686833,10743
AMERICAN CAP MTG INVT CORP,365578,6383
AMERICAN CAPITAL AGENCY CORP,2077288,40070
AMERICAN EAGLE OUTFITTERS NE,589419,8488
AMERICAN ELEC PWR INC,1615304,75500
AMERICAN EQTY INVT LIFE HLD,3936485,103844
AMERICAN EXPRESS CO,3692685,335038
