nameOfIssuer,value,sshPrnamt,Sole,Shared,None
BOSTON BEER INC,11988,49577,49077,0,500
BOSTON PRIVATE FINL HLDGS IN,40640,3220277,3044767,0,175510
BOSTON PROPERTIES INC,100146,997757,949113,405,48239
BOSTON SCIENTIFIC CORP,207830,17290383,16381101,142020,767262
BOTTOMLINE TECH DEL INC,3862,106807,106807,0,0
BOULDER BRANDS INC,1386,87368,87368,0,0
BOULDER GROWTH & INCOME FD I,2792,347219,347219,0,0
BOULDER TOTAL RETURN FD INC,7581,329485,329485,0,0
BOX SHIPS INCORPORATED,48,14612,14612,0,0
BOYD GAMING CORP,4886,433936,433936,0,0
BP PLC,324061,6666551,6005883,80051,580617
BPZ RESOURCES INC,107,58834,58834,0,0
BRADY CORP,5832,188561,188561,0,0
BRANDYWINE RLTY TR,68139,4835954,4835471,483,0
BRASKEM S A,502,28104,28104,0,0
BRAVO BRIO RESTAURANT GROUP,19438,1194716,1194716,0,0
BRE PROPERTIES INC,34468,630017,604556,203,25258
BREITBURN ENERGY PARTNERS LP,12032,591552,591552,0,0
BRF SA,3916,187628,187628,0,0
BRIDGE BANCORP INC,321,12363,12363,0,0
BRIDGE CAP HLDGS,10967,533920,501317,0,32603
BRIDGEPOINT ED INC,2140,120823,120823,0,0
BRIGGS & STRATTON CORP,2020,92808,92808,0,0
BRIGHT HORIZONS FAM SOL IN D,881,23990,23990,0,0
BRIGHTCOVE INC,376,26589,26589,0,0
BRIGUS GOLD CORP,275,352122,352122,0,0
BRINKER INTL INC,10506,226719,226719,0,0
BRINKS CO,2767,81046,81046,0,0
BRISTOL MYERS SQUIBB CO,318245,5987665,5346540,5298,635827
BRISTOW GROUP INC,10752,143240,143240,0,0
BRITISH AMERN TOB PLC,14686,136713,136713,0,0
BRIXMOR PPTY GROUP INC,5505,270773,270773,0,0
BROADCOM CORP,110970,3743284,3144652,32463,566169
BROADRIDGE FINL SOLUTIONS IN,13922,352272,351868,0,404
BROADSOFT INC,4160,152264,150864,0,1400
BROCADE COMMUNICATIONS SYS I,8645,975258,974783,0,475
BROOKDALE SR LIVING INC,2798,102934,102234,0,700
BROOKFIELD ASSET MGMT INC,19851,511224,509733,1491,0
BROOKFIELD INFRAST PARTNERS,849,21654,21654,0,0
BROOKFIELD OFFICE PPTYS INC,18728,972863,819178,585,153100
BROOKFIELD PPTY PARTNERS L P,9954,499211,499211,0,0
BROOKLINE BANCORP INC DEL,16821,1761417,1686661,0,74756
BROOKS AUTOMATION INC,1975,188241,188241,0,0
BROWN & BROWN INC,6678,212745,212745,0,0
BROWN FORMAN CORP,39786,527066,526368,0,698
BROWN SHOE INC NEW,11746,417448,417448,0,0
BRUKER CORP,12890,652014,652014,0,0
BRUNSWICK CORP,37561,815487,780459,0,35028
BRYN MAWR BK CORP,471,15618,15618,0,0
BT GROUP PLC,7702,122002,122002,0,0
BUCKEYE PARTNERS L P,141388,1991096,1744223,0,246873
BUCKLE INC,8545,162571,162571,0,0
BUFFALO WILD WINGS INC,8306,56429,56429,0,0
BUILD A BEAR WORKSHOP,104,13802,13802,0,0
BUILDERS FIRSTSOURCE INC,333,46643,46643,0,0
BUNGE LIMITED,50151,610779,475562,9312,125905
BURGER KING WORLDWIDE INC,6578,287773,287773,0,0
BURLINGTON STORES INC,20980,655614,655614,0,0
C D I CORP,1795,96888,96888,0,0
C H ROBINSON WORLDWIDE INC,41117,704674,701094,0,3580
C&J ENERGY SVCS INC,4075,176394,170694,0,5700
CA INC,64117,1905405,1900836,0,4569
CABELAS INC,12784,191767,191767,0,0
CABLEVISION SYS CORP,18458,1029438,1029438,0,0
CABOT CORP,6594,128272,127347,0,925
CABOT MICROELECTRONICS CORP,49136,1075196,1016352,0,58844
CABOT OIL & GAS CORP,57540,1484515,1456618,0,27897
CACI INTL INC,8503,116123,116123,0,0
CADENCE DESIGN SYSTEM INC,7437,530453,530453,0,0
CADENCE PHARMACEUTICALS INC,130,14364,14364,0,0
CAE INC,1627,127705,127705,0,0
CAESARS ACQUISITION CO,19240,1595334,1595334,0,0
CAESARS ENTMT CORP,1179,54738,54738,0,0
CAESARSTONE SDOT-YAM LTD,182,3661,3661,0,0
CAI INTERNATIONAL INC,203,8616,8616,0,0
CAL DIVE INTL INC DEL,222,110470,110470,0,0
CAL MAINE FOODS INC,1993,33098,33098,0,0
CALAMOS ASSET MGMT INC,1371,115792,115792,0,0
CALAMOS GBL DYN INCOME FUND,127,14178,14178,0,0
CALAMOS STRATEGIC TOTL RETN,197,18074,18074,0,0
CALAMP CORP,2311,82639,82639,0,0
CALAVO GROWERS INC,926,30594,30594,0,0
CALGON CARBON CORP,3092,150292,150292,0,0
CALIFORNIA WTR SVC GROUP,2913,126288,126288,0,0
CALIX INC,15625,1620950,1620734,0,216
CALLAWAY GOLF CO,2047,242869,242869,0,0
CALLIDUS SOFTWARE INC,246,17950,17950,0,0
CALLON PETE CO DEL,399,61106,61106,0,0
CALPINE CORP,137898,7068083,6982947,0,85136
CALUMET SPECIALTY PRODS PTNR,915,35188,27493,0,7695
CAMBREX CORP,2760,154825,154825,0,0
CAMDEN PPTY TR,294375,5175369,5131166,223,43980
CAMECO CORP,3946,189957,189957,0,0
CAMERON INTERNATIONAL CORP,403270,6774222,6506964,19973,247285
CAMPBELL SOUP CO,22454,518813,508086,0,10727
CAMPUS CREST CMNTYS INC,297,31568,31568,0,0
CANADIAN NAT RES LTD,33004,975289,927564,0,47725
CANADIAN NATL RY CO,45323,794860,777394,0,17466
CANADIAN PAC RY LTD,15288,101035,98635,0,2400
CANADIAN SOLAR INC,3982,133522,133522,0,0
CANCER GENETICS INC,231,16743,16743,0,0
CANON INC,29087,908979,908979,0,0
CANTEL MEDICAL CORP,2778,81925,81925,0,0
CAPE BANCORP INC,102,10056,10056,0,0
CAPELLA EDUCATION COMPANY,3592,54062,54062,0,0
CAPITAL ONE FINL CORP,398223,5198056,4627446,71861,498749
CAPITAL PRODUCT PARTNERS L P,11803,1127275,1127275,0,0
CAPITAL SOUTHWEST CORP,1446,41464,41464,0,0
CAPITAL SR LIVING CORP,1185,49398,49398,0,0
CAPITALSOURCE INC,3717,258706,258706,0,0
CAPITOL FED FINL INC,1101,90952,90952,0,0
CAPSTEAD MTG CORP,4884,404361,404361,0,0
CAPSTONE TURBINE CORP,140,109114,109114,0,0
CARBO CERAMICS INC,3737,32074,32074,0,0
CARDINAL FINL CORP,2159,120025,120025,0,0
CARDINAL HEALTH INC,386950,5791797,5636077,26396,129324
CARDIOVASCULAR SYS INC DEL,558,16286,16286,0,0
CARDTRONICS INC,4091,94169,94169,0,0
CAREER EDUCATION CORP,1281,224651,224651,0,0
CAREFUSION CORP,311093,7812473,7677086,18447,116940
CARLISLE COS INC,247306,3114693,3049312,0,65381
CARLYLE GROUP L P,1164,32670,32670,0,0
CARMAX INC,54829,1166086,1141353,0,24733
CARMIKE CINEMAS INC,772,27720,27720,0,0
CARNIVAL CORP,116900,2910164,2672051,23959,214154
CARNIVAL PLC,5466,131882,131882,0,0
CARPENTER TECHNOLOGY CORP,27668,444819,422681,0,22138
CARRIZO OIL & GAS INC,25173,562273,562273,0,0
CARROLS RESTAURANT GROUP INC,257,38842,38842,0,0
CARTER INC,70662,984281,953903,0,30378
CARVER BANCORP INC,1265,181033,181033,0,0
CASELLA WASTE SYS INC,610,105168,105168,0,0
CASEYS GEN STORES INC,11114,158216,156528,0,1688
CASH AMER INTL INC,6776,176913,176913,0,0
CASS INFORMATION SYS INC,1015,15065,15065,0,0
CASTLE A M & CO,1141,77249,77249,0,0
CATAMARAN CORP,11354,239215,220260,0,18955
CATERPILLAR INC DEL,537757,5921782,5544483,23827,353472
CATHAY GENERAL BANCORP,4925,184233,184233,0,0
CATO CORP NEW,5389,169455,169455,0,0
CAVCO INDS INC DEL,502,7304,7304,0,0
CAVIUM INC,4653,134837,134837,0,0
CBEYOND INC,782,113555,113555,0,0
CBIZ INC,241,26434,26434,0,0
CBL & ASSOC PPTYS INC,100612,5602017,5457582,463,143972
CBOE HLDGS INC,8621,165914,165914,0,0
CBRE GROUP INC,699461,26595463,21504394,118739,4972330
CBS CORP NEW,225516,3538076,3500874,28398,8804
CDN IMPERIAL BK OF COMMERCE,45511,532850,471599,0,61251
CDW CORP,1110,47536,47536,0,0
CEC ENTMT INC,2323,52451,52451,0,0
CECO ENVIRONMENTAL CORP,16254,1006295,949213,0,57082
CEDAR FAIR L P,63234,1275403,1275403,0,0
CEDAR REALTY TRUST INC,1470,234899,234899,0,0
CELADON GROUP INC,12760,655050,616188,0,38862
CELANESE CORP DEL,118749,2146970,2132550,0,14420
CELESTICA INC,425,40900,40900,0,0
CELGENE CORP,354714,2099304,1887464,15266,196574
CELL THERAPEUTICS INC,1647,862433,862433,0,0
CELLCOM ISRAEL LTD,1066,76603,76603,0,0
CELLDEX THERAPEUTICS INC NEW,5350,220997,220997,0,0
CELLULAR DYNAMICS INTL INC,166,10089,10089,0,0
CELSION CORPORATION,16,4178,4178,0,0
CEMEX SAB DE CV,65799,5562071,5562071,0,0
CEMPRA INC,323,26035,26035,0,0
CENCOSUD S A,594,54597,54597,0,0
CENOVUS ENERGY INC,14054,490515,451206,0,39309
CENTENE CORP DEL,10527,178580,178580,0,0
CENTERPOINT ENERGY INC,29441,1270142,1270142,0,0
CENTRAIS ELETRICAS BRASILEIR,27,10419,10419,0,0
CENTRAL EUROPEAN MEDIA ENTRP,411,107154,107154,0,0
CENTRAL FD CDA LTD,1369,103312,4262,0,99050
CENTRAL GARDEN & PET CO,777,115153,115153,0,0
CENTRAL PAC FINL CORP,1902,94734,94734,0,0
CENTURY ALUM CO,2695,257700,257700,0,0
CENTURYLINK INC,83694,2627715,2529672,0,98043
CENVEO INC,104,30279,30279,0,0
CEPHEID,115015,2464315,2389241,13918,61156
CERNER CORP,52314,938526,842826,0,95700
CERUS CORP,424,65661,65661,0,0
CEVA INC,766,50328,50328,0,0
CF INDS HLDGS INC,142505,611505,611505,0,0
CHAMBERS STR PPTYS,1818,237681,237681,0,0
CHANGYOU COM LTD,175,5465,5465,0,0
CHARLES RIV LABS INTL INC,6294,118661,118661,0,0
CHART INDS INC,682,7123,7123,0,0
CHARTER COMMUNICATIONS INC D,12564,91871,91871,0,0
CHASE CORP,338,9572,9572,0,0
CHATHAM LODGING TR,1054,51528,51528,0,0
CHECK POINT SOFTWARE TECH LT,16669,258441,240206,0,18235
CHECKPOINT SYS INC,2227,141181,141181,0,0
CHEESECAKE FACTORY INC,7532,156036,156036,0,0
CHEFS WHSE INC,263,9022,9022,0,0
CHELSEA THERAPEUTICS INTL LT,692,156136,156136,0,0
CHEMED CORP NEW,8083,105500,105500,0,0
CHEMICAL FINL CORP,2974,93912,93912,0,0
CHEMTURA CORP,5670,203061,203061,0,0
CHENIERE ENERGY INC,15755,365378,365378,0,0
CHENIERE ENERGY PARTNERS LP,18370,641193,641193,0,0
CHENIERE ENERGY PTNRS LP HLD,21329,1137531,1128681,0,8850
CHEROKEE INC DEL NEW,155,11234,11234,0,0
CHERRY HILL MTG INVT CORP,206,11564,11564,0,0
CHESAPEAKE ENERGY CORP,281931,10388034,10324291,0,63743
CHESAPEAKE LODGING TR,83397,3297609,3143451,0,154158
CHESAPEAKE UTILS CORP,1120,18664,18664,0,0
CHEVRON CORP NEW,780429,6247923,5927117,11232,309574
CHICAGO BRIDGE & IRON CO N V,11677,140442,131569,0,8873
CHICOS FAS INC,21011,1115242,1069265,0,45977
CHILDRENS PL RETAIL STORES I,3384,59402,59402,0,0
CHIMERA INVT CORP,53434,17236856,17236856,0,0
CHIMERIX INC,650,43015,43015,0,0
CHINA FD INC,433,20808,3226,0,17582
CHINA HGS REAL ESTATE INC,133,22320,22320,0,0
CHINA LIFE INS CO LTD,4516,95581,95581,0,0
CHINA MING YANG WIND PWR GRO,73,29772,29772,0,0
CHINA MOBILE LIMITED,13373,255754,241474,0,14280
CHINA NEPSTAR CHAIN DRUGSTOR,46000,25000000,25000000,0,0
CHINA PETE & CHEM CORP,4293,52237,49669,0,2568
CHINA TELECOM CORP LTD,464,9174,9174,0,0
CHINA UNICOM (HONG KONG) LTD,1389,92247,92247,0,0
CHINDEX INTERNATIONAL INC,298,17095,17095,0,0
CHIPMOS TECH BERMUDA LTD,371,19267,19267,0,0
CHIPOTLE MEXICAN GRILL INC,334761,628329,399137,1770,227422
CHIQUITA BRANDS INTL INC,334,28515,28515,0,0
CHOICE HOTELS INTL INC,1155,23510,23510,0,0
CHRISTOPHER & BANKS CORP,910,106530,106530,0,0
CHUBB CORP,78808,815562,787097,0,28465
CHUNGHWA TELECOM CO LTD,1926,62197,62197,0,0
CHURCH & DWIGHT INC,167083,2520872,2399999,11663,109210
CHURCHILL DOWNS INC,566,6311,6311,0,0
CHUYS HLDGS INC,15426,428266,428266,0,0
CIBER INC,1502,362864,362864,0,0
CIENA CORP,11265,470779,470779,0,0
CIGNA CORPORATION,66542,760654,751469,0,9185
CIMAREX ENERGY CO,220633,2103069,2092015,0,11054
CINCINNATI BELL INC NEW,3640,1022344,831114,0,191230
CINCINNATI FINL CORP,23479,448329,434955,0,13374
CINEDIGM CORP,128,63484,63484,0,0
CINEMARK HOLDINGS INC,4310,129290,129290,0,0
CINTAS CORP,16445,275954,275954,0,0
CIRCOR INTL INC,47735,590925,557568,0,33357
CIRRUS LOGIC INC,15319,750016,750016,0,0
CISCO SYS INC,543419,24227367,22073975,21474,2131918
CIT GROUP INC,180857,3469350,3448948,0,20402
CITIGROUP INC,1237736,50177720,48820417,228120,1129183
CITIZENS INC,180,20615,20615,0,0
CITRIX SYS INC,257722,4074654,4045731,0,28923
CITY HLDG CO,4784,103242,103242,0,0
CITY NATL CORP,11679,147418,147418,0,0
CLARCOR INC,4035,62706,62706,0,0
CLAYMORE EXCHANGE TRD FD TR,68837,1848746,1597976,0,250770
CLEAN ENERGY FUELS CORP,2262,175595,175595,0,0
CLEAN HARBORS INC,4041,67392,67392,0,0
CLEAR CHANNEL OUTDOOR HLDGS,874,86175,86175,0,0
CLEARWATER PAPER CORP,2226,42392,42392,0,0
CLECO CORP NEW,94092,2018271,1904175,0,114096
CLIFFS NAT RES INC,36239,1382610,1235208,0,147402
CLOROX CO DEL,33728,363601,346026,0,17575
CLOUD PEAK ENERGY INC,6963,386848,386848,0,0
CLOVIS ONCOLOGY INC,7365,122198,122198,0,0
CME GROUP INC,135978,1733090,1307464,0,425626
CMS ENERGY CORP,22769,850534,850534,0,0
CNA FINL CORP,2870,66920,66920,0,0
CNH INDL N V,27696,2440236,2440236,0,0
CNO FINL GROUP INC,91204,5155699,4897515,0,258184
CNOOC LTD,7460,39753,36979,0,2774
COACH INC,98320,1751646,1749581,0,2065
COBALT INTL ENERGY INC,572891,34826204,34826204,0,0
COBIZ FINANCIAL INC,14054,1175081,1105827,0,69254
COCA COLA BOTTLING CO CONS,836,11425,11425,0,0
COCA COLA CO,614124,14866245,14031826,0,834419
COCA COLA ENTERPRISES INC NE,106326,2409385,2360406,0,48979
COCA COLA FEMSA S A B DE C V,1935,15886,15886,0,0
CODEXIS INC,74,53076,53076,0,0
COEUR MNG INC,416,38275,38275,0,0
COGENT COMM GROUP INC,1102,27273,27273,0,0
COGNEX CORP,8021,210088,210088,0,0
COGNIZANT TECHNOLOGY SOLUTIO,174673,1729780,1728101,0,1679
COHEN & STEERS INC,13994,349320,330653,0,18667
COHEN & STEERS INFRASTRUCTUR,1917,93069,91469,0,1600
COHERENT INC,5913,79485,79485,0,0
COHU INC,799,76128,76128,0,0
COLE REAL ESTATE INVTS INC,40852,2909669,2909669,0,0
COLFAX CORP,1500,23555,23555,0,0
COLGATE PALMOLIVE CO,345487,5298054,4564283,14699,719072
COLONY FINL INC,7579,373569,373569,0,0
COLUMBIA BKG SYS INC,8888,323300,323300,0,0
COLUMBIA PPTY TR INC,4017,160679,160679,0,0
COLUMBIA SPORTSWEAR CO,7050,89528,89528,0,0
COLUMBUS MCKINNON CORP N Y,929,34231,34231,0,0
COMCAST CORP NEW,753541,14556514,13818819,73641,664054
COMERICA INC,164140,3452663,3423609,23641,5413
COMFORT SYS USA INC,27067,1395899,1316969,0,78930
COMMERCE BANCSHARES INC,11055,246163,246163,0,0
COMMERCIAL METALS CO,34569,1700367,1636779,0,63588
COMMERCIAL VEH GROUP INC,194,26718,26718,0,0
COMMONWEALTH REIT,26478,1135901,1135613,288,0
COMMSCOPE HLDG CO INC,39767,2100743,1976542,0,124201
COMMUNITY BK SYS INC,45838,1155183,1093470,0,61713
COMMUNITY HEALTH SYS INC NEW,6022,153347,151847,0,1500
COMMUNITY TR BANCORP INC,358,7919,7919,0,0
COMMVAULT SYSTEMS INC,40306,538413,538413,0,0
COMPANHIA BRASILEIRA DE DIST,6959,155787,155787,0,0
COMPANHIA DE SANEAMENTO BASI,1885,166177,166177,0,0
COMPANHIA ENERGETICA DE MINA,4665,598798,598798,0,0
COMPANHIA PARANAENSE ENERG C,1302,99034,99034,0,0
COMPANHIA SIDERURGICA NACION,20132,3247063,3247063,0,0
COMPANIA DE MINAS BUENAVENTU,5267,469432,469432,0,0
COMPASS DIVERSIFIED HOLDINGS,1473,75058,75058,0,0
COMPASS MINERALS INTL INC,2813,35145,35145,0,0
COMPUGEN LTD,198,22175,22175,0,0
COMPUTER PROGRAMS & SYS INC,2172,35145,35145,0,0
COMPUTER SCIENCES CORP,46170,826243,826243,0,0
COMPUTER TASK GROUP INC,394,20908,20908,0,0
COMPUWARE CORP,19147,1708089,1704091,0,3998
COMSCORE INC,4133,144444,144444,0,0
COMSTOCK RES INC,5496,300493,300493,0,0
COMTECH TELECOMMUNICATIONS C,2085,66158,66158,0,0
COMVERSE INC,480,12370,12370,0,0
CON-WAY INC,6034,151952,151952,0,0
CONAGRA FOODS INC,195903,5813180,5734927,64018,14235
CONATUS PHARMACEUTICALS INC,142,22068,22068,0,0
CONCHO RES INC,46901,434273,223847,0,210426
CONCUR TECHNOLOGIES INC,63027,610849,610849,0,0
CONMED CORP,2511,59081,59081,0,0
CONNECTICUT WTR SVC INC,1213,34162,34162,0,0
CONNS INC,1832,23275,23275,0,0
CONOCOPHILLIPS,389812,5517517,5135292,40712,341513
CONSOL ENERGY INC,33368,877186,862286,0,14900
CONSOLIDATED COMM HLDGS INC,1003,51063,51063,0,0
CONSOLIDATED EDISON INC,70129,1268610,1259043,0,9567
CONSOLIDATED GRAPHICS INC,6303,93456,93456,0,0
CONSOLIDATED TOMOKA LD CO,433,11928,11928,0,0
CONSOLIDATED WATER CO INC,230,16302,16302,0,0
CONSTANT CONTACT INC,5644,181670,181670,0,0
CONSTELLATION BRANDS INC,168126,2388827,2375601,0,13226
CONTAINER STORE GROUP INC,336,7214,7214,0,0
CONTANGO OIL & GAS COMPANY,3721,78735,78735,0,0
CONTINENTAL RESOURCES INC,8410,74735,72722,0,2013
CONTROL4 CORP,339,19158,19158,0,0
CONTROLADORA VUELA CIA DE AV,1179,86977,86977,0,0
CONVERGYS CORP,46800,2223290,2094840,0,128450
COOPER COS INC,15652,126388,125341,0,1047
COOPER TIRE & RUBR CO,3652,151909,151570,0,339
COPA HOLDINGS SA,37973,237162,235984,0,1178
COPART INC,4688,127894,127894,0,0
CORCEPT THERAPEUTICS INC,70,21775,21775,0,0
CORE LABORATORIES N V,89548,468957,444750,6540,17667
CORE MARK HOLDING CO INC,923,12162,12162,0,0
CORELOGIC INC,9947,279984,279984,0,0
CORENERGY INFRASTRUCTURE TR,2876,403966,403966,0,0
CORESITE RLTY CORP,21700,674126,639551,0,34575
CORINTHIAN COLLEGES INC,78,43565,43565,0,0
CORNERSTONE ONDEMAND INC,38326,718899,718899,0,0
CORNING INC,121740,6831698,6202714,56470,572514
CORONADO BIOSCIENCES INC,409,155359,155359,0,0
CORP RES SVCS INC,138,52319,52319,0,0
CORPORATE EXECUTIVE BRD CO,3455,44616,44616,0,0
CORPORATE OFFICE PPTYS TR,17136,723341,723040,301,0
CORRECTIONS CORP AMER NEW,22342,696651,662971,0,33680
CORVEL CORP,4144,88727,88727,0,0
COSAN LTD,14782,1077346,1077346,0,0
COSTA INC,268,12345,12345,0,0
COSTAMARE INC,3086,168895,168895,0,0
COSTAR GROUP INC,17893,96940,96940,0,0
COSTCO WHSL CORP NEW,731123,6142861,4277620,10696,1854545
COTT CORP QUE,236,29328,29328,0,0
COTY INC,620,40633,40633,0,0
COUSINS PPTYS INC,8864,860558,860139,419,0
COVANCE INC,12488,141817,141735,0,82
COVANTA HLDG CORP,12427,700107,700107,0,0
COVIDIEN PLC,268645,3944846,3871948,53491,19407
COWEN GROUP INC NEW,438,111987,111987,0,0
CPFL ENERGIA S A,9112,569154,569154,0,0
CRA INTL INC,342,17250,17250,0,0
CRACKER BARREL OLD CTRY STOR,6895,62638,62638,0,0
CRANE CO,125335,1863720,1818288,0,45432
CRAWFORD & CO,125,13582,13582,0,0
CRAY INC,2678,97511,97511,0,0
CREDICORP LTD,17753,133754,133754,0,0
CREDIT ACCEP CORP MICH,1083,8332,8332,0,0
CREDIT SUISSE GROUP,17321,558043,556432,0,1611
CREDIT SUISSE NASSAU BRH,1115,35500,33800,0,1700
CREE INC,19688,314916,295516,0,19400
CRESTWOOD EQUITY PARTNERS LP,5675,410349,410349,0,0
CRESTWOOD MIDSTREAM PARTNERS,35773,1437225,1428665,0,8560
CRH PLC,2710,106049,106049,0,0
CRITEO S A,2366,69180,69180,0,0
CROCS INC,3463,217546,217546,0,0
CROSS CTRY HEALTHCARE INC,1201,120365,120365,0,0
CROSSTEX ENERGY INC,3583,99084,99084,0,0
CROSSTEX ENERGY L P,377,13673,13673,0,0
CROWN CASTLE INTL CORP,92928,1193788,1142466,0,51322
CROWN HOLDINGS INC,9541,214089,186559,0,27530
CRYOLIFE INC,939,84633,84633,0,0
CSG SYS INTL INC,3088,105059,105059,0,0
CSS INDS INC,1970,68703,68120,0,583
CST BRANDS INC,16969,462101,461879,0,222
CSX CORP,95736,3327622,3298762,0,28860
CTC MEDIA INC,683,49124,49124,0,0
CTRIP COM INTL LTD,688,13859,13859,0,0
CTS CORP,31770,1595683,1502057,0,93626
CUBESMART,64499,4046348,3861554,323,184471
CUBIC CORP,37760,717054,676407,0,40647
CUBIST PHARMACEUTICALS INC,19678,390860,390860,0,0
CULLEN FROST BANKERS INC,11580,155582,155169,0,413
CULP INC,342,16725,16725,0,0
CUMMINS INC,130793,927805,750667,0,177138
CURIS INC,359,127227,127227,0,0
CURRENCYSHARES AUSTRALIAN DL,29174,326217,324217,0,2000
CURRENCYSHARES CDN DLR TR,6703,71604,71604,0,0
CURRENCYSHARES EURO TR,72183,530800,530800,0,0
CURRENCYSHARES SWEDISH KRONA,861,5571,5571,0,0
CURRENCYSHARES SWISS FRANC T,2521,22953,22953,0,0
CURRENCYSHS BRIT POUND STER,3258,19953,19953,0,0
CURRENCYSHS JAPANESE YEN TR,6370,68677,68677,0,0
CURTISS WRIGHT CORP,8540,137224,137224,0,0
CVB FINL CORP,12390,725799,725799,0,0
CVENT INC,329,9044,9044,0,0
CVR ENERGY INC,33450,770199,770199,0,0
CVR PARTNERS LP,549,33336,236,0,33100
CVR REFNG LP,37737,1668302,1668302,0,0
CVS CAREMARK CORPORATION,317707,4439098,4251256,35610,152232
CYAN INC,180,34007,34007,0,0
CYBERONICS INC,7051,107768,107768,0,0
CYCLACEL PHARMACEUTICALS INC,590,146880,146880,0,0
CYNOSURE INC,1237,46445,46445,0,0
CYPRESS SEMICONDUCTOR CORP,3131,298159,298159,0,0
CYS INVTS INC,2420,326578,326578,0,0
CYTEC INDS INC,8625,92578,92053,0,525
CYTORI THERAPEUTICS INC,58,22433,22433,0,0
CYTRX CORP,137,21894,21894,0,0
D R HORTON INC,70207,3145496,3137376,0,8120
DAKTRONICS INC,2650,169013,169013,0,0
DANA HLDG CORP,3144,160221,148645,0,11576
DANAHER CORP DEL,496716,6434136,5164393,25001,1244742
DARA BIOSCIENCES INC,6,11482,11482,0,0
DARDEN RESTAURANTS INC,27562,506938,446813,0,60125
DARLING INTL INC,8046,385356,385356,0,0
DAVITA HEALTHCARE PARTNERS I,108997,1720015,1579215,0,140800
DAWSON GEOPHYSICAL CO,1199,35428,35428,0,0
DBX ETF TR,52758,2120858,2088413,0,32445
DCP MIDSTREAM PARTNERS LP,188260,3739032,3739032,0,0
DCT INDUSTRIAL TRUST INC,21323,2990525,2838501,640,151384
DDR CORP,156153,10159617,10044047,667,114903
DEALERTRACK TECHNOLOGIES INC,7061,146870,146870,0,0
DEAN FOODS CO NEW,10728,624051,623695,0,356
DECKERS OUTDOOR CORP,105098,1244360,1202422,7782,34156
DEERE & CO,162390,1778052,1765441,0,12611
DELEK LOGISTICS PARTNERS LP,51389,1623685,1617815,0,5870
DELEK US HLDGS INC,18978,551544,527459,0,24085
DELHAIZE GROUP,1466,24681,24681,0,0
DELIA'S INC NEW,112,127079,127079,0,0
DELPHI AUTOMOTIVE PLC,246449,4098602,4071899,0,26703
DELTA AIR LINES INC DEL,192820,7019334,6487960,63978,467396
DELTA APPAREL INC,267,15751,15751,0,0
DELTIC TIMBER CORP,1818,26763,26763,0,0
DELUXE CORP,7403,141849,141849,0,0
DEMAND MEDIA INC,33658,5833333,5833333,0,0
DEMANDWARE INC,5653,88155,13374,0,74781
DENALI FD INC,2268,117195,117195,0,0
DENBURY RES INC,27054,1646625,1636625,0,10000
DENDREON CORP,4165,1393040,1393040,0,0
DENISON MINES CORP,50,41628,41628,0,0
DENNYS CORP,1841,256009,57849,0,198160
DENTSPLY INTL INC NEW,32295,666160,666160,0,0
DEPOMED INC,3404,321734,321734,0,0
DESARROLLADORA HOMEX S A DE,411,351304,351304,0,0
DESTINATION MATERNITY CORP,505,16916,16916,0,0
DESTINATION XL GROUP INC,183,27997,27997,0,0
DEUTSCHE BANK AG,286798,5945222,5945222,0,0
DEVON ENERGY CORP NEW,717463,11596292,8822638,119634,2654020
DEVRY ED GROUP INC,5293,149094,146213,0,2881
DEX MEDIA INC NEW,2996,442398,442398,0,0
DEXCOM INC,21705,612953,612953,0,0
DFC GLOBAL CORP,489,42669,42669,0,0
DIAGEO P L C,15822,119480,99127,0,20353
DIAMOND FOODS INC,1536,59453,59453,0,0
DIAMOND OFFSHORE DRILLING IN,43153,758146,755986,0,2160
DIAMOND RESORTS INTL INC,24563,1330581,1250932,0,79649
DIAMONDBACK ENERGY INC,62450,1180954,1126579,0,54375
DIAMONDROCK HOSPITALITY CO,10976,950304,949827,477,0
DIANA CONTAINERSHIPS INC,614,151520,151520,0,0
DIANA SHIPPING INC,1388,104461,104461,0,0
DICE HLDGS INC,707,97529,97529,0,0
DICKS SPORTING GOODS INC,96596,1662580,1604848,9593,48139
DIEBOLD INC,5220,158144,158144,0,0
DIGI INTL INC,14738,1216024,1146162,0,69862
DIGITAL GENERATION INC,641,50310,50310,0,0
DIGITAL RIV INC,3028,163947,163947,0,0
DIGITAL RLTY TR INC,173245,3526969,3499933,341,26695
DIGITALGLOBE INC,8136,197733,197733,0,0
DILLARDS INC,5737,59020,59020,0,0
DIME CMNTY BANCSHARES,15084,891511,839767,0,51744
DINEEQUITY INC,3348,40074,40074,0,0
DIODES INC,2227,94560,94560,0,0
DIRECTV,179330,2596740,2453614,29732,113394
DIREXION SHS ETF TR,146419,3052047,3052047,0,0
DISCOVER FINL SVCS,126428,2259651,2112713,14406,132532
DISCOVERY COMMUNICATNS NEW,232392,2610541,2521440,7283,81818
DISCOVERY LABORATORIES INC N,360,160108,160108,0,0
DISH NETWORK CORP,91076,1572453,1572453,0,0
DISNEY WALT CO,439469,5752208,5445213,0,306995
DOLAN CO,29,41794,41794,0,0
DOLBY LABORATORIES INC,4958,128578,128578,0,0
